time,gFx,gFy,gFz,TgF
0.1720,0.1937,0.9677,-0.0491,0.99
0.1730,0.1933,0.9675,-0.0488,0.99
0.1730,0.1930,0.9675,-0.0482,0.99
0.1730,0.1928,0.9674,-0.0476,0.99
0.1740,0.1926,0.9674,-0.0468,0.99
0.1740,0.1925,0.9674,-0.0462,0.99
0.1750,0.1922,0.9674,-0.0457,0.99
0.1750,0.1919,0.9674,-0.0453,0.99
0.1760,0.1918,0.9674,-0.0452,0.99
0.1760,0.1917,0.9676,-0.0454,0.99
0.1760,0.1912,0.9676,-0.0456,0.99
0.1760,0.1904,0.9676,-0.0459,0.99
0.1770,0.1897,0.9675,-0.0462,0.99
0.1770,0.1891,0.9675,-0.0465,0.99
0.1770,0.1884,0.9673,-0.0466,0.99
0.1770,0.1877,0.9671,-0.0466,0.99
0.1780,0.1869,0.9669,-0.0464,0.99
0.1780,0.1860,0.9667,-0.0463,0.99
0.1780,0.1852,0.9665,-0.0463,0.99
0.1780,0.1847,0.9664,-0.0464,0.99
0.1790,0.1845,0.9662,-0.0465,0.98
0.1790,0.1845,0.9659,-0.0462,0.98
0.1790,0.1844,0.9657,-0.0459,0.98
0.1790,0.1845,0.9655,-0.0454,0.98
0.1800,0.1846,0.9653,-0.0451,0.98
0.1800,0.1846,0.9652,-0.0447,0.98
0.1800,0.1847,0.9651,-0.0444,0.98
0.1800,0.1848,0.9650,-0.0441,0.98
0.1810,0.1849,0.9651,-0.0438,0.98
0.1810,0.1849,0.9652,-0.0435,0.98
0.1810,0.1847,0.9655,-0.0433,0.98
0.1810,0.1845,0.9658,-0.0433,0.98
0.1820,0.1841,0.9663,-0.0433,0.98
0.1820,0.1837,0.9670,-0.0436,0.99
0.1850,0.1834,0.9676,-0.0438,0.99
0.1850,0.1831,0.9683,-0.0440,0.99
0.1860,0.1829,0.9689,-0.0442,0.99
0.1860,0.1826,0.9694,-0.0444,0.99
0.1860,0.1821,0.9695,-0.0446,0.99
0.1870,0.1816,0.9695,-0.0450,0.99
0.1870,0.1811,0.9692,-0.0454,0.99
0.1870,0.1807,0.9687,-0.0457,0.99
0.1880,0.1802,0.9681,-0.0459,0.99
0.1880,0.1798,0.9675,-0.0459,0.99
0.1890,0.1796,0.9670,-0.0458,0.98
0.1890,0.1794,0.9667,-0.0457,0.98
0.1890,0.1798,0.9663,-0.0454,0.98
0.1900,0.1800,0.9662,-0.0448,0.98
0.1900,0.1801,0.9662,-0.0444,0.98
0.1910,0.1801,0.9663,-0.0441,0.98
0.1910,0.1801,0.9665,-0.0440,0.98
0.1910,0.1799,0.9668,-0.0438,0.98
0.1920,0.1797,0.9671,-0.0438,0.98
0.1970,0.1796,0.9674,-0.0438,0.98
0.2050,0.1794,0.9676,-0.0438,0.99
0.2050,0.1792,0.9678,-0.0436,0.99
0.2090,0.1788,0.9680,-0.0434,0.99
0.2110,0.1784,0.9681,-0.0434,0.99
0.2150,0.1780,0.9680,-0.0434,0.99
0.2190,0.1776,0.9680,-0.0434,0.99
0.2360,0.1772,0.9679,-0.0435,0.98
0.2360,0.1768,0.9676,-0.0435,0.98
0.2370,0.1762,0.9674,-0.0435,0.98
0.2370,0.1756,0.9672,-0.0433,0.98
0.2390,0.1748,0.9670,-0.0430,0.98
0.2430,0.1737,0.9669,-0.0426,0.98
0.2500,0.1729,0.9668,-0.0422,0.98
0.2510,0.1720,0.9668,-0.0417,0.98
0.2540,0.1712,0.9666,-0.0412,0.98
0.2660,0.1704,0.9666,-0.0406,0.98
0.2670,0.1697,0.9667,-0.0400,0.98
0.2670,0.1690,0.9669,-0.0395,0.98
0.2700,0.1683,0.9673,-0.0391,0.98
0.2760,0.1678,0.9678,-0.0389,0.98
0.2780,0.1673,0.9683,-0.0387,0.98
0.2820,0.1670,0.9689,-0.0386,0.98
0.2860,0.1668,0.9696,-0.0386,0.98
0.2920,0.1666,0.9703,-0.0385,0.99
0.2940,0.1665,0.9709,-0.0386,0.99
0.2980,0.1663,0.9715,-0.0387,0.99
0.3020,0.1662,0.9719,-0.0386,0.99
0.3060,0.1662,0.9723,-0.0384,0.99
0.3170,0.1661,0.9725,-0.0382,0.99
0.3170,0.1658,0.9728,-0.0380,0.99
0.3180,0.1656,0.9731,-0.0379,0.99
0.3220,0.1654,0.9734,-0.0378,0.99
0.3260,0.1652,0.9738,-0.0377,0.99
0.3310,0.1652,0.9742,-0.0376,0.99
0.3330,0.1653,0.9747,-0.0375,0.99
0.3370,0.1654,0.9750,-0.0373,0.99
0.3570,0.1655,0.9754,-0.0371,0.99
0.3590,0.1656,0.9758,-0.0370,0.99
0.3590,0.1658,0.9760,-0.0371,0.99
0.3590,0.1661,0.9762,-0.0372,0.99
0.3600,0.1664,0.9764,-0.0374,0.99
0.3610,0.1666,0.9766,-0.0376,0.99
0.3670,0.1667,0.9769,-0.0380,0.99
0.3690,0.1669,0.9771,-0.0384,0.99
0.3730,0.1671,0.9773,-0.0388,0.99
0.3780,0.1672,0.9774,-0.0393,0.99
0.3800,0.1673,0.9774,-0.0397,0.99
0.3840,0.1674,0.9774,-0.0400,0.99
0.3880,0.1672,0.9772,-0.0401,0.99
0.3930,0.1669,0.9770,-0.0401,0.99
0.3960,0.1665,0.9767,-0.0400,0.99
0.4000,0.1660,0.9763,-0.0398,0.99
0.4040,0.1656,0.9759,-0.0395,0.99
0.4080,0.1653,0.9754,-0.0391,0.99
0.4120,0.1650,0.9748,-0.0388,0.99
0.4160,0.1647,0.9743,-0.0384,0.99
0.4200,0.1644,0.9737,-0.0381,0.99
0.4250,0.1641,0.9733,-0.0378,0.99
0.4280,0.1638,0.9728,-0.0376,0.99
0.4320,0.1634,0.9724,-0.0374,0.99
0.4360,0.1629,0.9720,-0.0372,0.99
0.4490,0.1624,0.9717,-0.0371,0.99
0.4490,0.1618,0.9714,-0.0371,0.99
0.4490,0.1613,0.9711,-0.0370,0.99
0.4520,0.1607,0.9708,-0.0369,0.98
0.4550,0.1599,0.9704,-0.0369,0.98
0.4750,0.1591,0.9700,-0.0369,0.98
0.4760,0.1581,0.9696,-0.0368,0.98
0.4760,0.1571,0.9691,-0.0368,0.98
0.4770,0.1560,0.9686,-0.0368,0.98
0.4770,0.1549,0.9681,-0.0367,0.98
0.4790,0.1538,0.9677,-0.0365,0.98
0.4830,0.1529,0.9674,-0.0363,0.98
0.4870,0.1522,0.9671,-0.0360,0.98
0.4950,0.1517,0.9671,-0.0357,0.98
0.4950,0.1515,0.9672,-0.0353,0.98
0.4980,0.1516,0.9675,-0.0349,0.98
0.5020,0.1518,0.9677,-0.0346,0.98
0.5070,0.1523,0.9681,-0.0343,0.98
0.5110,0.1528,0.9685,-0.0340,0.98
0.5330,0.1534,0.9690,-0.0337,0.98
0.5340,0.1542,0.9694,-0.0333,0.98
0.5340,0.1549,0.9699,-0.0330,0.98
0.5340,0.1557,0.9705,-0.0327,0.98
0.5340,0.1566,0.9710,-0.0324,0.98
0.5350,0.1574,0.9715,-0.0320,0.98
0.5380,0.1581,0.9719,-0.0317,0.99
0.5450,0.1587,0.9723,-0.0315,0.99
0.5460,0.1593,0.9726,-0.0312,0.99
0.5500,0.1598,0.9729,-0.0310,0.99
0.5540,0.1602,0.9731,-0.0307,0.99
0.5590,0.1606,0.9733,-0.0305,0.99
0.5620,0.1609,0.9735,-0.0302,0.99
0.5660,0.1611,0.9736,-0.0302,0.99
0.5690,0.1613,0.9737,-0.0303,0.99
0.5740,0.1613,0.9737,-0.0302,0.99
0.5860,0.1614,0.9738,-0.0302,0.99
0.5860,0.1615,0.9738,-0.0302,0.99
0.5860,0.1614,0.9738,-0.0301,0.99
0.5900,0.1613,0.9738,-0.0301,0.99
0.6110,0.1613,0.9737,-0.0301,0.99
0.6120,0.1612,0.9736,-0.0300,0.99
0.6120,0.1611,0.9735,-0.0301,0.99
0.6120,0.1609,0.9735,-0.0301,0.99
0.6130,0.1606,0.9733,-0.0301,0.99
0.6190,0.1601,0.9731,-0.0301,0.99
0.6200,0.1596,0.9729,-0.0300,0.99
0.6210,0.1590,0.9727,-0.0300,0.99
0.6340,0.1583,0.9724,-0.0301,0.99
0.6350,0.1575,0.9721,-0.0300,0.99
0.6350,0.1566,0.9719,-0.0300,0.98
0.6360,0.1557,0.9716,-0.0299,0.98
0.6410,0.1548,0.9713,-0.0299,0.98
0.6510,0.1538,0.9710,-0.0297,0.98
0.6510,0.1530,0.9708,-0.0293,0.98
0.6520,0.1522,0.9704,-0.0289,0.98
