time,gFx,gFy,gFz,TgF
0.0270,-0.0952,0.9651,0.1316,0.98
0.0270,-0.0958,0.9649,0.1317,0.98
0.0270,-0.0962,0.9647,0.1317,0.98
0.0280,-0.0963,0.9645,0.1319,0.98
0.0280,-0.0963,0.9645,0.1321,0.98
0.0280,-0.0961,0.9647,0.1323,0.98
0.0280,-0.0958,0.9651,0.1324,0.98
0.0290,-0.0953,0.9655,0.1325,0.98
0.0290,-0.0948,0.9659,0.1327,0.98
0.0290,-0.0943,0.9662,0.1330,0.98
0.0340,-0.0939,0.9665,0.1333,0.98
0.0350,-0.0934,0.9667,0.1336,0.98
0.0440,-0.0932,0.9668,0.1340,0.98
0.0440,-0.0931,0.9667,0.1343,0.98
0.0470,-0.0930,0.9664,0.1344,0.98
0.0530,-0.0929,0.9661,0.1345,0.98
0.0550,-0.0928,0.9655,0.1345,0.98
0.0600,-0.0928,0.9648,0.1343,0.98
0.0630,-0.0928,0.9639,0.1341,0.98
0.0690,-0.0929,0.9628,0.1338,0.98
0.0710,-0.0932,0.9616,0.1334,0.98
0.0750,-0.0936,0.9605,0.1328,0.97
0.0790,-0.0944,0.9594,0.1322,0.97
0.0940,-0.0951,0.9585,0.1308,0.97
0.0940,-0.0950,0.9585,0.1275,0.97
0.0950,-0.0942,0.9590,0.1246,0.97
0.0950,-0.0932,0.9594,0.1239,0.97
0.0990,-0.0930,0.9593,0.1255,0.97
0.1020,-0.0930,0.9589,0.1280,0.97
0.1070,-0.0927,0.9585,0.1304,0.97
0.1100,-0.0923,0.9582,0.1322,0.97
0.1140,-0.0920,0.9580,0.1334,0.97
0.1340,-0.0917,0.9580,0.1338,0.97
0.1340,-0.0914,0.9581,0.1336,0.97
0.1340,-0.0914,0.9583,0.1331,0.97
0.1350,-0.0916,0.9585,0.1323,0.97
0.1350,-0.0919,0.9584,0.1314,0.97
0.1440,-0.0925,0.9581,0.1307,0.97
0.1440,-0.0933,0.9575,0.1301,0.97
0.1470,-0.0942,0.9566,0.1296,0.97
