time,gFx,gFy,gFz,TgF
0.2640,-0.0560,0.9788,0.0535,0.98
0.2650,-0.0557,0.9782,0.0531,0.98
0.2650,-0.0554,0.9776,0.0530,0.98
0.2650,-0.0551,0.9770,0.0531,0.98
0.2650,-0.0550,0.9765,0.0532,0.98
0.2660,-0.0547,0.9759,0.0532,0.98
0.2660,-0.0544,0.9756,0.0529,0.98
0.2660,-0.0542,0.9754,0.0525,0.98
0.2660,-0.0539,0.9752,0.0519,0.98
0.2670,-0.0535,0.9752,0.0512,0.98
0.2670,-0.0530,0.9752,0.0504,0.98
0.2670,-0.0525,0.9752,0.0496,0.98
0.2670,-0.0519,0.9750,0.0489,0.98
0.2680,-0.0513,0.9748,0.0484,0.98
0.2680,-0.0506,0.9747,0.0478,0.98
0.2680,-0.0499,0.9746,0.0473,0.98
0.2680,-0.0493,0.9743,0.0470,0.98
0.2690,-0.0486,0.9741,0.0467,0.98
0.2690,-0.0479,0.9740,0.0466,0.98
0.2690,-0.0473,0.9739,0.0464,0.98
0.2700,-0.0467,0.9739,0.0461,0.98
0.2700,-0.0462,0.9738,0.0460,0.98
0.2700,-0.0456,0.9737,0.0456,0.98
0.2700,-0.0449,0.9737,0.0451,0.98
0.2710,-0.0443,0.9738,0.0445,0.98
0.2710,-0.0435,0.9737,0.0441,0.98
0.2710,-0.0426,0.9740,0.0433,0.98
0.2710,-0.0422,0.9737,0.0431,0.98
0.2720,-0.0420,0.9734,0.0426,0.98
0.2720,-0.0422,0.9729,0.0428,0.97
0.2720,-0.0420,0.9724,0.0435,0.97
0.2720,-0.0419,0.9718,0.0439,0.97
0.2730,-0.0416,0.9713,0.0444,0.97
0.2730,-0.0413,0.9710,0.0449,0.97
0.2730,-0.0409,0.9709,0.0452,0.97
0.2730,-0.0403,0.9709,0.0454,0.97
0.2740,-0.0396,0.9711,0.0454,0.97
0.2740,-0.0390,0.9714,0.0454,0.97
0.2740,-0.0384,0.9718,0.0454,0.97
0.2740,-0.0380,0.9723,0.0454,0.97
0.2750,-0.0376,0.9727,0.0456,0.97
