time,gFx,gFy,gFz,TgF
0.1780,0.0927,0.9593,-0.1726,0.98
0.1790,0.0929,0.9591,-0.1728,0.98
0.1790,0.0926,0.9588,-0.1723,0.98
0.1790,0.0917,0.9584,-0.1711,0.98
0.1790,0.0903,0.9579,-0.1695,0.98
0.1800,0.0884,0.9575,-0.1674,0.98
0.1800,0.0864,0.9574,-0.1652,0.98
0.1800,0.0843,0.9575,-0.1629,0.97
0.1800,0.0825,0.9579,-0.1607,0.97
0.1810,0.0809,0.9585,-0.1588,0.97
0.1810,0.0798,0.9592,-0.1571,0.98
0.1820,0.0790,0.9602,-0.1553,0.98
0.1820,0.0784,0.9612,-0.1535,0.98
0.1820,0.0779,0.9622,-0.1518,0.98
0.1820,0.0772,0.9630,-0.1504,0.98
0.1820,0.0765,0.9636,-0.1488,0.98
0.1830,0.0757,0.9642,-0.1471,0.98
0.1830,0.0749,0.9645,-0.1454,0.98
0.1830,0.0745,0.9647,-0.1441,0.98
0.1840,0.0742,0.9646,-0.1429,0.98
0.1840,0.0740,0.9646,-0.1417,0.98
0.1840,0.0738,0.9645,-0.1407,0.98
0.1840,0.0736,0.9643,-0.1397,0.98
0.1850,0.0733,0.9642,-0.1389,0.98
0.1850,0.0729,0.9644,-0.1381,0.98
0.1850,0.0725,0.9646,-0.1375,0.98
0.1850,0.0722,0.9648,-0.1368,0.98
0.1860,0.0720,0.9652,-0.1365,0.98
0.1860,0.0720,0.9656,-0.1362,0.98
0.1860,0.0723,0.9662,-0.1359,0.98
0.1860,0.0729,0.9668,-0.1357,0.98
0.1870,0.0736,0.9675,-0.1355,0.98
0.1870,0.0745,0.9682,-0.1356,0.98
0.1870,0.0756,0.9689,-0.1356,0.98
0.1870,0.0768,0.9694,-0.1359,0.98
0.1880,0.0782,0.9699,-0.1363,0.98
0.1880,0.0801,0.9703,-0.1372,0.98
0.1880,0.0822,0.9708,-0.1381,0.98
0.1880,0.0846,0.9709,-0.1392,0.98
0.1890,0.0872,0.9711,-0.1404,0.99
0.1890,0.0899,0.9712,-0.1415,0.99
0.1890,0.0926,0.9711,-0.1430,0.99
0.1900,0.0954,0.9710,-0.1446,0.99
0.1900,0.0980,0.9706,-0.1463,0.99
0.1900,0.1004,0.9700,-0.1478,0.99
0.1910,0.1026,0.9693,-0.1495,0.99
0.1910,0.1045,0.9686,-0.1510,0.99
0.1910,0.1060,0.9677,-0.1526,0.99
0.1920,0.1072,0.9668,-0.1540,0.98
0.1930,0.1081,0.9659,-0.1553,0.98
0.1930,0.1088,0.9652,-0.1565,0.98
0.1940,0.1094,0.9645,-0.1575,0.98
0.1970,0.1101,0.9638,-0.1586,0.98
0.2010,0.1108,0.9633,-0.1596,0.98
0.2050,0.1117,0.9628,-0.1606,0.98
0.2090,0.1126,0.9624,-0.1614,0.98
0.2130,0.1136,0.9621,-0.1620,0.98
0.2170,0.1146,0.9619,-0.1625,0.98
0.2210,0.1159,0.9617,-0.1629,0.98
0.2360,0.1171,0.9616,-0.1630,0.98
0.2370,0.1184,0.9615,-0.1628,0.98
0.2370,0.1199,0.9615,-0.1624,0.98
0.2380,0.1213,0.9616,-0.1618,0.98
0.2400,0.1228,0.9616,-0.1612,0.98
0.2440,0.1241,0.9618,-0.1604,0.98
0.2510,0.1253,0.9621,-0.1594,0.98
0.2520,0.1265,0.9626,-0.1584,0.98
0.2560,0.1275,0.9634,-0.1574,0.98
0.2610,0.1284,0.9644,-0.1565,0.99
0.2640,0.1291,0.9657,-0.1558,0.99
0.2680,0.1298,0.9671,-0.1552,0.99
0.2720,0.1303,0.9686,-0.1551,0.99
0.2770,0.1308,0.9700,-0.1554,0.99
0.2800,0.1314,0.9714,-0.1558,0.99
0.2840,0.1319,0.9726,-0.1563,0.99
0.2870,0.1322,0.9738,-0.1568,1.00
0.2940,0.1322,0.9747,-0.1570,1.00
0.2960,0.1319,0.9755,-0.1569,1.00
0.3010,0.1314,0.9763,-0.1564,1.00
0.3030,0.1307,0.9770,-0.1558,1.00
0.3100,0.1298,0.9776,-0.1551,1.00
0.3110,0.1288,0.9782,-0.1542,1.00
0.3250,0.1276,0.9787,-0.1532,1.00
0.3250,0.1263,0.9791,-0.1523,1.00
0.3260,0.1248,0.9794,-0.1515,1.00
0.3270,0.1235,0.9797,-0.1506,1.00
0.3350,0.1222,0.9798,-0.1498,1.00
0.3350,0.1210,0.9798,-0.1487,1.00
0.3390,0.1200,0.9796,-0.1475,1.00
0.3530,0.1192,0.9791,-0.1462,1.00
0.3530,0.1184,0.9783,-0.1449,1.00
0.3540,0.1176,0.9773,-0.1436,0.99
0.3540,0.1170,0.9760,-0.1422,0.99
0.3610,0.1165,0.9746,-0.1408,0.99
0.3630,0.1161,0.9730,-0.1395,0.99
0.3670,0.1158,0.9713,-0.1383,0.99
0.3700,0.1157,0.9696,-0.1375,0.99
0.3740,0.1156,0.9680,-0.1367,0.98
0.3790,0.1156,0.9665,-0.1363,0.98
0.3820,0.1157,0.9652,-0.1363,0.98
0.3860,0.1157,0.9640,-0.1366,0.98
0.3900,0.1156,0.9631,-0.1372,0.98
0.3950,0.1154,0.9623,-0.1382,0.98
0.3970,0.1151,0.9619,-0.1393,0.98
0.4020,0.1148,0.9616,-0.1407,0.98
0.4060,0.1148,0.9616,-0.1423,0.98
0.4100,0.1148,0.9618,-0.1440,0.98
0.4130,0.1150,0.9622,-0.1456,0.98
0.4170,0.1152,0.9628,-0.1468,0.98
0.4220,0.1154,0.9635,-0.1478,0.98
0.4270,0.1157,0.9644,-0.1485,0.98
0.4290,0.1160,0.9653,-0.1492,0.98
0.4330,0.1164,0.9662,-0.1496,0.98
0.4380,0.1168,0.9672,-0.1496,0.99
0.4410,0.1175,0.9681,-0.1494,0.99
0.4450,0.1183,0.9689,-0.1489,0.99
0.4490,0.1191,0.9695,-0.1481,0.99
0.4530,0.1200,0.9699,-0.1471,0.99
0.4580,0.1210,0.9700,-0.1458,0.99
0.4680,0.1219,0.9701,-0.1441,0.99
0.4690,0.1228,0.9701,-0.1420,0.99
0.4690,0.1235,0.9701,-0.1398,0.99
0.4750,0.1240,0.9700,-0.1375,0.99
0.4830,0.1243,0.9699,-0.1352,0.99
0.4830,0.1244,0.9699,-0.1331,0.99
0.4840,0.1243,0.9699,-0.1311,0.99
0.4880,0.1239,0.9699,-0.1293,0.99
0.4930,0.1231,0.9701,-0.1277,0.99
0.4960,0.1221,0.9702,-0.1261,0.99
0.5000,0.1209,0.9702,-0.1247,0.99
0.5040,0.1193,0.9703,-0.1233,0.99
0.5100,0.1174,0.9703,-0.1215,0.98
0.5120,0.1152,0.9702,-0.1200,0.98
0.5160,0.1128,0.9699,-0.1186,0.98
0.5200,0.1103,0.9696,-0.1172,0.98
0.5250,0.1076,0.9692,-0.1158,0.98
0.5280,0.1049,0.9689,-0.1144,0.98
0.5310,0.1021,0.9685,-0.1132,0.98
0.5360,0.0994,0.9682,-0.1120,0.98
