time,gFx,gFy,gFz,TgF
0.0040,0.1811,0.9800,-0.0384,1.00
0.0040,0.1794,0.9800,-0.0390,1.00
0.0050,0.1776,0.9797,-0.0393,1.00
0.0120,0.1757,0.9793,-0.0394,1.00
0.0120,0.1740,0.9788,-0.0393,0.99
0.0160,0.1725,0.9784,-0.0390,0.99
0.0310,0.1712,0.9781,-0.0387,0.99
0.0320,0.1699,0.9779,-0.0385,0.99
0.0320,0.1686,0.9779,-0.0383,0.99
0.0320,0.1675,0.9779,-0.0382,0.99
0.0420,0.1665,0.9781,-0.0380,0.99
0.0430,0.1651,0.9784,-0.0378,0.99
0.0430,0.1639,0.9788,-0.0375,0.99
0.0470,0.1631,0.9790,-0.0371,0.99
0.0590,0.1626,0.9791,-0.0367,0.99
0.0590,0.1621,0.9791,-0.0363,0.99
0.0590,0.1614,0.9791,-0.0361,0.99
0.0630,0.1607,0.9791,-0.0361,0.99
0.0670,0.1600,0.9791,-0.0361,0.99
0.0750,0.1591,0.9790,-0.0360,0.99
0.0760,0.1581,0.9789,-0.0361,0.99
0.0790,0.1571,0.9787,-0.0361,0.99
0.0820,0.1562,0.9786,-0.0361,0.99
0.0920,0.1557,0.9784,-0.0361,0.99
0.0920,0.1553,0.9781,-0.0361,0.99
0.0950,0.1553,0.9779,-0.0362,0.99
0.0990,0.1553,0.9776,-0.0363,0.99
0.1090,0.1552,0.9773,-0.0365,0.99
0.1100,0.1551,0.9769,-0.0367,0.99
0.1100,0.1551,0.9766,-0.0371,0.99
0.1140,0.1551,0.9763,-0.0374,0.99
0.1250,0.1552,0.9760,-0.0377,0.99
0.1260,0.1552,0.9756,-0.0383,0.99
0.1260,0.1551,0.9753,-0.0391,0.99
0.1300,0.1550,0.9751,-0.0399,0.99
0.1340,0.1551,0.9748,-0.0409,0.99
0.1470,0.1553,0.9745,-0.0420,0.99
0.1470,0.1555,0.9741,-0.0429,0.99
0.1470,0.1556,0.9737,-0.0439,0.99
0.1490,0.1555,0.9732,-0.0448,0.99
0.1590,0.1555,0.9727,-0.0456,0.99
0.1600,0.1553,0.9722,-0.0464,0.99
0.1610,0.1551,0.9718,-0.0473,0.99
0.1660,0.1549,0.9713,-0.0481,0.98
0.1760,0.1549,0.9707,-0.0489,0.98
0.1760,0.1548,0.9703,-0.0496,0.98
0.1760,0.1548,0.9699,-0.0502,0.98
0.1810,0.1548,0.9696,-0.0509,0.98
0.1920,0.1549,0.9695,-0.0515,0.98
0.1930,0.1551,0.9695,-0.0519,0.98
0.1930,0.1554,0.9694,-0.0525,0.98
0.1970,0.1559,0.9694,-0.0531,0.98
0.2010,0.1564,0.9693,-0.0535,0.98
0.2090,0.1570,0.9691,-0.0539,0.98
0.2090,0.1574,0.9688,-0.0541,0.98
0.2120,0.1575,0.9684,-0.0542,0.98
0.2170,0.1575,0.9679,-0.0545,0.98
0.2250,0.1572,0.9674,-0.0546,0.98
0.2250,0.1566,0.9668,-0.0547,0.98
0.2280,0.1563,0.9663,-0.0547,0.98
0.2320,0.1561,0.9660,-0.0547,0.98
0.2430,0.1558,0.9658,-0.0549,0.98
0.2430,0.1557,0.9659,-0.0551,0.98
0.2430,0.1558,0.9660,-0.0554,0.98
0.2480,0.1560,0.9663,-0.0557,0.98
0.2600,0.1563,0.9665,-0.0560,0.98
0.2610,0.1566,0.9667,-0.0561,0.98
0.2610,0.1570,0.9670,-0.0560,0.98
0.2640,0.1575,0.9671,-0.0557,0.98
0.2670,0.1579,0.9671,-0.0552,0.98
0.2800,0.1584,0.9670,-0.0547,0.98
0.2800,0.1587,0.9670,-0.0540,0.98
0.2800,0.1592,0.9668,-0.0532,0.98
0.2830,0.1595,0.9666,-0.0525,0.98
0.2960,0.1600,0.9661,-0.0518,0.98
0.2960,0.1605,0.9655,-0.0508,0.98
0.2960,0.1610,0.9650,-0.0496,0.98
0.2990,0.1614,0.9647,-0.0483,0.98
0.3100,0.1619,0.9645,-0.0468,0.98
0.3100,0.1626,0.9645,-0.0455,0.98
0.3110,0.1634,0.9649,-0.0445,0.98
0.3140,0.1641,0.9656,-0.0437,0.98
0.3280,0.1647,0.9662,-0.0432,0.98
0.3280,0.1652,0.9668,-0.0428,0.98
0.3280,0.1655,0.9672,-0.0425,0.98
0.3300,0.1654,0.9674,-0.0421,0.98
0.3340,0.1651,0.9675,-0.0418,0.98
0.3420,0.1646,0.9675,-0.0416,0.98
0.3430,0.1642,0.9674,-0.0411,0.98
0.3460,0.1636,0.9674,-0.0408,0.98
0.3500,0.1630,0.9676,-0.0402,0.98
0.3590,0.1624,0.9680,-0.0399,0.98
0.3600,0.1620,0.9687,-0.0398,0.98
0.3620,0.1619,0.9694,-0.0398,0.98
0.3660,0.1619,0.9701,-0.0399,0.98
0.3770,0.1619,0.9707,-0.0402,0.98
0.3770,0.1619,0.9712,-0.0406,0.99
0.3770,0.1619,0.9716,-0.0410,0.99
0.3820,0.1621,0.9721,-0.0413,0.99
0.3930,0.1622,0.9725,-0.0416,0.99
0.3940,0.1624,0.9728,-0.0418,0.99
0.3940,0.1627,0.9732,-0.0420,0.99
0.3970,0.1631,0.9736,-0.0422,0.99
0.4010,0.1633,0.9739,-0.0426,0.99
0.4140,0.1636,0.9742,-0.0431,0.99
0.4140,0.1637,0.9745,-0.0436,0.99
0.4140,0.1638,0.9747,-0.0441,0.99
0.4170,0.1639,0.9748,-0.0446,0.99
0.4260,0.1639,0.9749,-0.0450,0.99
0.4270,0.1639,0.9750,-0.0454,0.99
0.4290,0.1640,0.9752,-0.0458,0.99
0.4330,0.1641,0.9754,-0.0461,0.99
0.4430,0.1642,0.9756,-0.0463,0.99
0.4430,0.1643,0.9759,-0.0464,0.99
0.4440,0.1645,0.9760,-0.0466,0.99
0.4490,0.1647,0.9761,-0.0466,0.99
0.4570,0.1649,0.9762,-0.0466,0.99
0.4580,0.1651,0.9761,-0.0464,0.99
0.4600,0.1651,0.9759,-0.0459,0.99
0.4650,0.1650,0.9757,-0.0452,0.99
0.4680,0.1649,0.9752,-0.0444,0.99
0.4730,0.1647,0.9749,-0.0437,0.99
0.4760,0.1645,0.9746,-0.0430,0.99
0.4800,0.1644,0.9743,-0.0424,0.99
0.4850,0.1644,0.9741,-0.0417,0.99
0.4900,0.1644,0.9740,-0.0410,0.99
0.4920,0.1646,0.9741,-0.0402,0.99
0.4960,0.1650,0.9742,-0.0394,0.99
0.5000,0.1655,0.9744,-0.0387,0.99
0.5070,0.1662,0.9746,-0.0379,0.99
0.5070,0.1668,0.9748,-0.0372,0.99
0.5120,0.1675,0.9749,-0.0366,0.99
0.5160,0.1681,0.9748,-0.0362,0.99
0.5240,0.1686,0.9747,-0.0358,0.99
0.5240,0.1690,0.9744,-0.0354,0.99
0.5270,0.1692,0.9742,-0.0351,0.99
0.5310,0.1693,0.9739,-0.0348,0.99
0.5350,0.1695,0.9736,-0.0347,0.99
0.5400,0.1695,0.9735,-0.0347,0.99
0.5430,0.1695,0.9734,-0.0348,0.99
0.5470,0.1694,0.9733,-0.0349,0.99
0.5510,0.1693,0.9732,-0.0352,0.99
0.5610,0.1693,0.9730,-0.0354,0.99
0.5620,0.1694,0.9728,-0.0355,0.99
0.5620,0.1694,0.9727,-0.0359,0.99
0.5670,0.1695,0.9726,-0.0362,0.99
0.5770,0.1695,0.9725,-0.0366,0.99
0.5770,0.1693,0.9724,-0.0370,0.99
0.5780,0.1691,0.9724,-0.0374,0.99
0.5820,0.1690,0.9724,-0.0378,0.99
0.5940,0.1689,0.9725,-0.0380,0.99
0.5940,0.1680,0.9733,-0.0386,0.99
0.5940,0.1674,0.9740,-0.0392,0.99
0.5980,0.1675,0.9746,-0.0395,0.99
0.6020,0.1678,0.9751,-0.0398,0.99
0.6080,0.1679,0.9756,-0.0401,0.99
0.6100,0.1678,0.9762,-0.0406,0.99
0.6140,0.1681,0.9768,-0.0411,0.99
0.6180,0.1688,0.9772,-0.0415,0.99
0.6240,0.1698,0.9776,-0.0416,0.99
0.6250,0.1709,0.9779,-0.0417,0.99
0.6300,0.1722,0.9779,-0.0417,0.99
0.6340,0.1729,0.9777,-0.0416,0.99
0.6410,0.1734,0.9773,-0.0415,0.99
0.6410,0.1737,0.9769,-0.0413,0.99
0.6450,0.1734,0.9765,-0.0410,0.99
0.6490,0.1714,0.9763,-0.0410,0.99
0.6570,0.1691,0.9759,-0.0413,0.99
0.6570,0.1686,0.9752,-0.0415,0.99
0.6620,0.1681,0.9747,-0.0415,0.99
0.6660,0.1667,0.9746,-0.0413,0.99
0.6740,0.1661,0.9746,-0.0416,0.99
0.6740,0.1670,0.9746,-0.0414,0.99
0.6780,0.1682,0.9745,-0.0409,0.99
0.6980,0.1687,0.9742,-0.0404,0.99
0.6980,0.1684,0.9739,-0.0402,0.99
0.6980,0.1678,0.9735,-0.0402,0.99
0.7000,0.1669,0.9732,-0.0402,0.99
0.7000,0.1660,0.9729,-0.0399,0.99
0.7010,0.1650,0.9728,-0.0397,0.99
0.7060,0.1641,0.9726,-0.0394,0.99
0.7080,0.1633,0.9726,-0.0394,0.99
0.7120,0.1627,0.9727,-0.0396,0.99
0.7160,0.1624,0.9728,-0.0398,0.99
0.7210,0.1621,0.9729,-0.0398,0.99
0.7240,0.1619,0.9730,-0.0398,0.99
0.7280,0.1619,0.9729,-0.0397,0.99
0.7320,0.1620,0.9727,-0.0399,0.99
0.7360,0.1623,0.9725,-0.0401,0.99
0.7400,0.1627,0.9723,-0.0402,0.99
0.7430,0.1632,0.9720,-0.0401,0.99
0.7470,0.1639,0.9717,-0.0400,0.99
0.7520,0.1645,0.9714,-0.0400,0.99
0.7570,0.1651,0.9711,-0.0399,0.99
0.7590,0.1657,0.9709,-0.0399,0.99
0.7630,0.1664,0.9709,-0.0400,0.99
0.7670,0.1669,0.9709,-0.0402,0.99
0.7720,0.1674,0.9710,-0.0403,0.99
0.7750,0.1677,0.9711,-0.0404,0.99
0.7800,0.1679,0.9714,-0.0404,0.99
0.7830,0.1681,0.9716,-0.0403,0.99
0.7880,0.1682,0.9719,-0.0404,0.99
0.7910,0.1682,0.9722,-0.0404,0.99
0.7950,0.1682,0.9725,-0.0405,0.99
0.7990,0.1681,0.9728,-0.0405,0.99
0.8020,0.1681,0.9730,-0.0406,0.99
0.8070,0.1680,0.9732,-0.0406,0.99
0.8110,0.1678,0.9733,-0.0406,0.99
0.8150,0.1677,0.9733,-0.0406,0.99
0.8190,0.1676,0.9733,-0.0405,0.99
0.8230,0.1675,0.9732,-0.0404,0.99
0.8270,0.1673,0.9730,-0.0402,0.99
0.8310,0.1673,0.9727,-0.0399,0.99
0.8350,0.1671,0.9724,-0.0396,0.99
0.8390,0.1671,0.9722,-0.0393,0.99
0.8420,0.1671,0.9719,-0.0390,0.99
0.8460,0.1673,0.9718,-0.0387,0.99
0.8500,0.1676,0.9717,-0.0382,0.99
0.8550,0.1680,0.9718,-0.0378,0.99
0.8580,0.1684,0.9719,-0.0375,0.99
0.8620,0.1687,0.9720,-0.0374,0.99
0.8660,0.1691,0.9721,-0.0373,0.99
0.8710,0.1694,0.9722,-0.0372,0.99
0.8740,0.1697,0.9723,-0.0370,0.99
0.8780,0.1700,0.9723,-0.0369,0.99
0.8820,0.1702,0.9723,-0.0369,0.99
0.8850,0.1703,0.9724,-0.0369,0.99
0.8890,0.1705,0.9724,-0.0371,0.99
0.8940,0.1707,0.9725,-0.0372,0.99
0.8970,0.1708,0.9725,-0.0374,0.99
0.9020,0.1709,0.9726,-0.0376,0.99
0.9080,0.1710,0.9727,-0.0377,0.99
0.9080,0.1710,0.9728,-0.0378,0.99
0.9130,0.1712,0.9727,-0.0380,0.99
0.9170,0.1713,0.9727,-0.0381,0.99
0.9220,0.1714,0.9726,-0.0381,0.99
0.9240,0.1715,0.9724,-0.0381,0.99
0.9280,0.1717,0.9724,-0.0380,0.99
0.9330,0.1718,0.9722,-0.0377,0.99
0.9380,0.1718,0.9720,-0.0376,0.99
0.9410,0.1719,0.9719,-0.0373,0.99
0.9440,0.1718,0.9720,-0.0369,0.99
0.9490,0.1716,0.9720,-0.0364,0.99
0.9520,0.1713,0.9720,-0.0358,0.99
0.9570,0.1707,0.9720,-0.0351,0.99
0.9600,0.1700,0.9718,-0.0344,0.99
0.9640,0.1691,0.9715,-0.0336,0.99
0.9690,0.1682,0.9712,-0.0330,0.99
0.9730,0.1671,0.9708,-0.0321,0.99
0.9760,0.1659,0.9704,-0.0313,0.98
0.9800,0.1645,0.9701,-0.0305,0.98
0.9840,0.1634,0.9699,-0.0300,0.98
0.9880,0.1624,0.9699,-0.0296,0.98
0.9910,0.1617,0.9699,-0.0293,0.98
0.9960,0.1614,0.9703,-0.0291,0.98
1.0000,0.1615,0.9707,-0.0290,0.98
1.0050,0.1620,0.9711,-0.0287,0.98
1.0070,0.1628,0.9716,-0.0285,0.99
1.0120,0.1638,0.9721,-0.0282,0.99
1.0150,0.1650,0.9725,-0.0279,0.99
1.0220,0.1663,0.9727,-0.0276,0.99
1.0230,0.1674,0.9727,-0.0272,0.99
1.0270,0.1686,0.9727,-0.0268,0.99
1.0310,0.1700,0.9727,-0.0263,0.99
1.0350,0.1713,0.9726,-0.0258,0.99
1.0380,0.1725,0.9724,-0.0253,0.99
1.0430,0.1737,0.9722,-0.0247,0.99
1.0470,0.1747,0.9720,-0.0241,0.99
1.0510,0.1754,0.9719,-0.0234,0.99
1.0580,0.1758,0.9717,-0.0228,0.99
1.0590,0.1759,0.9715,-0.0225,0.99
1.0620,0.1756,0.9713,-0.0224,0.99
1.0660,0.1749,0.9710,-0.0223,0.99
1.0720,0.1739,0.9708,-0.0224,0.99
1.0920,0.1726,0.9705,-0.0226,0.99
1.0920,0.1709,0.9702,-0.0228,0.99
1.0930,0.1688,0.9698,-0.0229,0.98
1.0930,0.1667,0.9695,-0.0229,0.98
1.0940,0.1644,0.9692,-0.0228,0.98
1.0940,0.1619,0.9689,-0.0228,0.98
1.0980,0.1594,0.9688,-0.0229,0.98
1.1010,0.1570,0.9687,-0.0229,0.98
1.1070,0.1546,0.9689,-0.0230,0.98
1.1090,0.1522,0.9692,-0.0228,0.98
1.1130,0.1499,0.9697,-0.0224,0.98
1.1170,0.1476,0.9704,-0.0217,0.98
1.1220,0.1450,0.9712,-0.0211,0.98
1.1250,0.1423,0.9722,-0.0207,0.98
1.1290,0.1391,0.9732,-0.0206,0.98
1.1330,0.1357,0.9740,-0.0208,0.98
1.1390,0.1320,0.9745,-0.0210,0.98
1.1410,0.1285,0.9748,-0.0210,0.98
1.1450,0.1253,0.9747,-0.0207,0.98
1.1500,0.1227,0.9741,-0.0200,0.98
1.1530,0.1208,0.9733,-0.0187,0.98
1.1570,0.1195,0.9723,-0.0170,0.98
1.1610,0.1186,0.9713,-0.0151,0.98
1.1650,0.1183,0.9705,-0.0133,0.98
1.1690,0.1189,0.9701,-0.0118,0.98
1.1760,0.1202,0.9701,-0.0104,0.98
1.1760,0.1224,0.9706,-0.0090,0.98
1.1800,0.1254,0.9716,-0.0075,0.98
1.1840,0.1288,0.9731,-0.0061,0.98
1.1890,0.1328,0.9747,-0.0050,0.98
1.1920,0.1369,0.9765,-0.0042,0.99
1.1970,0.1411,0.9784,-0.0036,0.99
1.2000,0.1450,0.9801,-0.0033,0.99
1.2050,0.1485,0.9817,-0.0035,0.99
1.2080,0.1516,0.9831,-0.0040,0.99
1.2120,0.1541,0.9840,-0.0050,1.00
1.2160,0.1562,0.9846,-0.0064,1.00
1.2200,0.1578,0.9849,-0.0079,1.00
1.2240,0.1591,0.9850,-0.0095,1.00
1.2270,0.1601,0.9848,-0.0113,1.00
1.2320,0.1608,0.9843,-0.0130,1.00
1.2360,0.1611,0.9836,-0.0147,1.00
1.2400,0.1612,0.9829,-0.0165,1.00
1.2430,0.1613,0.9822,-0.0184,1.00
1.2480,0.1616,0.9814,-0.0203,0.99
1.2520,0.1618,0.9806,-0.0221,0.99
1.2550,0.1620,0.9801,-0.0239,0.99
1.2590,0.1624,0.9799,-0.0256,0.99
1.2630,0.1625,0.9797,-0.0271,0.99
1.2670,0.1623,0.9797,-0.0286,0.99
1.2720,0.1618,0.9797,-0.0302,0.99
1.2750,0.1609,0.9799,-0.0317,0.99
1.2790,0.1597,0.9800,-0.0333,0.99
1.2830,0.1585,0.9801,-0.0347,0.99
1.2870,0.1573,0.9802,-0.0360,0.99
1.2910,0.1558,0.9801,-0.0373,0.99
1.2950,0.1543,0.9799,-0.0384,0.99
1.2990,0.1526,0.9795,-0.0396,0.99
1.3030,0.1509,0.9791,-0.0404,0.99
1.3070,0.1491,0.9787,-0.0405,0.99
1.3110,0.1474,0.9783,-0.0403,0.99
1.3150,0.1457,0.9781,-0.0401,0.99
1.3190,0.1443,0.9781,-0.0400,0.99
1.3260,0.1433,0.9783,-0.0399,0.99
1.3260,0.1429,0.9787,-0.0398,0.99
1.3310,0.1429,0.9791,-0.0393,0.99
1.3340,0.1436,0.9798,-0.0386,0.99
1.3390,0.1447,0.9804,-0.0378,0.99
1.3420,0.1465,0.9812,-0.0373,0.99
1.3450,0.1488,0.9820,-0.0369,0.99
1.3500,0.1514,0.9827,-0.0365,0.99
1.3540,0.1543,0.9833,-0.0360,1.00
1.3580,0.1573,0.9839,-0.0354,1.00
1.3610,0.1603,0.9845,-0.0349,1.00
1.3660,0.1634,0.9851,-0.0344,1.00
1.3700,0.1661,0.9857,-0.0340,1.00
1.3740,0.1686,0.9863,-0.0338,1.00
1.3770,0.1706,0.9868,-0.0339,1.00
1.3820,0.1720,0.9873,-0.0341,1.00
1.3850,0.1731,0.9877,-0.0341,1.00
1.3900,0.1739,0.9881,-0.0342,1.00
1.3930,0.1746,0.9884,-0.0343,1.00
1.3970,0.1751,0.9887,-0.0345,1.00
1.4010,0.1751,0.9890,-0.0347,1.01
1.4060,0.1748,0.9895,-0.0351,1.01
1.4080,0.1745,0.9899,-0.0357,1.01
1.4130,0.1741,0.9904,-0.0363,1.01
1.4160,0.1737,0.9909,-0.0366,1.01
1.4210,0.1734,0.9915,-0.0368,1.01
1.4240,0.1728,0.9920,-0.0368,1.01
1.4280,0.1722,0.9926,-0.0368,1.01
1.4330,0.1713,0.9933,-0.0371,1.01
1.4370,0.1703,0.9938,-0.0379,1.01
1.4460,0.1690,0.9944,-0.0392,1.01
1.4460,0.1675,0.9949,-0.0405,1.01
1.4470,0.1661,0.9954,-0.0417,1.01
1.4510,0.1648,0.9959,-0.0426,1.01
1.4570,0.1633,0.9964,-0.0436,1.01
1.4590,0.1618,0.9970,-0.0448,1.01
1.4640,0.1604,0.9976,-0.0463,1.01
1.4860,0.1591,0.9984,-0.0481,1.01
1.4870,0.1580,0.9991,-0.0498,1.01
1.4870,0.1572,0.9997,-0.0513,1.01
1.4880,0.1567,1.0003,-0.0528,1.01
1.4880,0.1569,1.0010,-0.0539,1.01
1.4910,0.1575,1.0015,-0.0549,1.02
1.4910,0.1586,1.0021,-0.0555,1.02
1.4950,0.1599,1.0026,-0.0560,1.02
1.4990,0.1614,1.0032,-0.0566,1.02
1.5030,0.1631,1.0039,-0.0571,1.02
1.5070,0.1649,1.0050,-0.0574,1.02
1.5110,0.1669,1.0064,-0.0573,1.02
1.5150,0.1692,1.0082,-0.0571,1.02
1.5180,0.1717,1.0106,-0.0572,1.03
1.5230,0.1747,1.0132,-0.0575,1.03
1.5260,0.1781,1.0162,-0.0580,1.03
1.5300,0.1820,1.0192,-0.0586,1.04
1.5340,0.1861,1.0220,-0.0591,1.04
1.5400,0.1900,1.0244,-0.0597,1.04
1.5420,0.1933,1.0263,-0.0602,1.05
1.5460,0.1958,1.0276,-0.0605,1.05
1.5500,0.1976,1.0283,-0.0607,1.05
1.5570,0.1988,1.0284,-0.0608,1.05
1.5590,0.1994,1.0280,-0.0605,1.05
1.5620,0.1994,1.0271,-0.0600,1.05
1.5660,0.1990,1.0258,-0.0591,1.05
1.5700,0.1983,1.0244,-0.0580,1.05
