time,gFx,gFy,gFz,TgF
0.0460,0.0811,0.9762,0.0099,0.98
0.0460,0.0835,0.9767,0.0123,0.98
0.0460,0.0860,0.9772,0.0145,0.98
0.0470,0.0883,0.9776,0.0167,0.98
0.0470,0.0906,0.9779,0.0188,0.98
0.0470,0.0925,0.9780,0.0207,0.98
0.0470,0.0943,0.9779,0.0225,0.98
0.0470,0.0959,0.9776,0.0240,0.98
0.0480,0.0971,0.9773,0.0250,0.98
0.0480,0.0981,0.9768,0.0259,0.98
0.0480,0.0987,0.9763,0.0264,0.98
0.0480,0.0990,0.9759,0.0266,0.98
0.0490,0.0989,0.9755,0.0264,0.98
0.0490,0.0986,0.9751,0.0260,0.98
0.0490,0.0981,0.9747,0.0255,0.98
0.0500,0.0975,0.9745,0.0251,0.98
0.0500,0.0968,0.9743,0.0248,0.98
0.0500,0.0962,0.9742,0.0247,0.98
0.0500,0.0958,0.9743,0.0247,0.98
0.0510,0.0957,0.9745,0.0248,0.98
0.0510,0.0958,0.9748,0.0248,0.98
0.0510,0.0962,0.9752,0.0249,0.98
0.0510,0.0969,0.9756,0.0251,0.98
0.0510,0.0979,0.9760,0.0256,0.98
0.0520,0.0992,0.9762,0.0261,0.98
0.0520,0.1007,0.9762,0.0264,0.98
0.0520,0.1023,0.9761,0.0266,0.98
0.0520,0.1040,0.9758,0.0267,0.98
0.0530,0.1059,0.9755,0.0270,0.98
0.0530,0.1078,0.9753,0.0270,0.98
0.0530,0.1097,0.9754,0.0266,0.98
0.0530,0.1112,0.9758,0.0255,0.98
0.0540,0.1124,0.9764,0.0240,0.98
0.0540,0.1132,0.9771,0.0221,0.98
0.0540,0.1137,0.9778,0.0199,0.98
0.0540,0.1140,0.9784,0.0176,0.99
0.0550,0.1140,0.9788,0.0156,0.99
0.0550,0.1138,0.9790,0.0140,0.99
0.0550,0.1134,0.9789,0.0131,0.99
0.0550,0.1128,0.9784,0.0124,0.98
0.0550,0.1119,0.9776,0.0118,0.98
0.0560,0.1111,0.9766,0.0111,0.98
0.0560,0.1104,0.9754,0.0102,0.98
0.0560,0.1100,0.9741,0.0090,0.98
0.0560,0.1098,0.9728,0.0077,0.98
0.0570,0.1096,0.9716,0.0063,0.98
0.0570,0.1095,0.9704,0.0048,0.98
0.0570,0.1094,0.9694,0.0032,0.98
0.0580,0.1095,0.9685,0.0016,0.97
0.0580,0.1104,0.9677,0.0001,0.97
