time,gFx,gFy,gFz,TgF
0.0290,0.4224,0.8290,0.3360,0.99
0.0300,0.4220,0.8290,0.3357,0.99
0.0300,0.4215,0.8290,0.3354,0.99
0.0300,0.4212,0.8289,0.3351,0.99
0.0310,0.4210,0.8288,0.3348,0.99
0.0310,0.4210,0.8287,0.3346,0.99
0.0310,0.4211,0.8286,0.3344,0.99
0.0310,0.4213,0.8285,0.3343,0.99
0.0310,0.4216,0.8285,0.3343,0.99
0.0320,0.4220,0.8284,0.3343,0.99
0.0320,0.4225,0.8283,0.3345,0.99
0.0320,0.4230,0.8283,0.3347,0.99
0.0320,0.4236,0.8282,0.3349,0.99
0.0330,0.4242,0.8282,0.3352,0.99
0.0330,0.4249,0.8283,0.3355,0.99
0.0330,0.4255,0.8283,0.3358,0.99
0.0330,0.4263,0.8283,0.3359,0.99
0.0340,0.4270,0.8284,0.3363,0.99
0.0340,0.4277,0.8285,0.3365,0.99
0.0340,0.4284,0.8286,0.3366,0.99
0.0340,0.4289,0.8287,0.3368,0.99
0.0350,0.4295,0.8287,0.3371,0.99
0.0350,0.4298,0.8287,0.3373,0.99
0.0350,0.4300,0.8287,0.3374,0.99
0.0350,0.4301,0.8288,0.3375,0.99
0.0360,0.4300,0.8290,0.3376,0.99
0.0360,0.4298,0.8290,0.3377,0.99
0.0360,0.4295,0.8292,0.3376,0.99
0.0370,0.4290,0.8293,0.3375,0.99
0.0370,0.4284,0.8295,0.3373,0.99
0.0370,0.4279,0.8296,0.3371,0.99
0.0380,0.4275,0.8298,0.3368,0.99
0.0380,0.4271,0.8299,0.3366,0.99
0.0380,0.4267,0.8301,0.3363,0.99
0.0380,0.4262,0.8303,0.3359,0.99
0.0390,0.4258,0.8305,0.3356,0.99
0.0390,0.4255,0.8307,0.3353,0.99
0.0390,0.4252,0.8308,0.3350,0.99
0.0390,0.4248,0.8310,0.3348,0.99
0.0390,0.4245,0.8310,0.3346,0.99
0.0400,0.4242,0.8311,0.3344,0.99
0.0400,0.4239,0.8310,0.3344,0.99
0.0400,0.4235,0.8309,0.3343,0.99
0.0400,0.4232,0.8308,0.3343,0.99
0.0410,0.4228,0.8306,0.3344,0.99
0.0410,0.4227,0.8303,0.3345,0.99
0.0410,0.4225,0.8301,0.3346,0.99
0.0410,0.4226,0.8298,0.3348,0.99
0.0420,0.4226,0.8297,0.3349,0.99
0.0420,0.4227,0.8297,0.3350,0.99
0.0420,0.4228,0.8296,0.3351,0.99
0.0430,0.4229,0.8296,0.3353,0.99
0.0430,0.4230,0.8296,0.3353,0.99
