time,gFx,gFy,gFz,TgF
0.0340,0.2954,0.9241,0.2088,0.99
0.0340,0.2956,0.9243,0.2088,0.99
0.0340,0.2959,0.9248,0.2083,0.99
0.0340,0.2963,0.9255,0.2079,0.99
0.0340,0.2968,0.9261,0.2076,0.99
0.0350,0.2978,0.9265,0.2073,0.99
0.0350,0.2987,0.9268,0.2071,1.00
0.0350,0.2995,0.9269,0.2073,1.00
0.0350,0.3001,0.9269,0.2078,1.00
0.0360,0.3006,0.9267,0.2084,1.00
0.0360,0.3010,0.9266,0.2090,1.00
0.0360,0.3010,0.9266,0.2094,1.00
0.0360,0.3008,0.9266,0.2100,1.00
0.0370,0.3006,0.9266,0.2104,1.00
0.0370,0.3004,0.9265,0.2108,1.00
0.0370,0.3002,0.9263,0.2111,1.00
0.0380,0.3000,0.9262,0.2115,1.00
0.0380,0.2998,0.9259,0.2121,1.00
0.0380,0.2995,0.9256,0.2125,1.00
0.0380,0.2992,0.9254,0.2126,1.00
0.0380,0.2991,0.9257,0.2127,1.00
0.0390,0.2995,0.9265,0.2118,1.00
0.0390,0.2993,0.9270,0.2110,1.00
0.0390,0.2992,0.9275,0.2105,1.00
0.0390,0.2989,0.9276,0.2102,1.00
0.0400,0.2986,0.9276,0.2102,1.00
0.0400,0.2983,0.9277,0.2103,1.00
0.0400,0.2980,0.9275,0.2105,1.00
0.0400,0.2976,0.9273,0.2109,1.00
0.0410,0.2972,0.9272,0.2116,1.00
0.0410,0.2969,0.9272,0.2123,1.00
0.0410,0.2964,0.9272,0.2133,1.00
0.0420,0.2960,0.9272,0.2143,1.00
0.0420,0.2956,0.9270,0.2151,1.00
0.0420,0.2952,0.9267,0.2159,1.00
0.0420,0.2950,0.9264,0.2166,1.00
0.0430,0.2949,0.9261,0.2173,1.00
0.0430,0.2951,0.9258,0.2178,1.00
0.0430,0.2954,0.9255,0.2184,1.00
0.0430,0.2958,0.9253,0.2188,1.00
0.0440,0.2964,0.9252,0.2192,1.00
0.0440,0.2970,0.9252,0.2195,1.00
0.0440,0.2977,0.9254,0.2198,1.00
0.0450,0.2982,0.9257,0.2201,1.00
0.0450,0.2986,0.9262,0.2204,1.00
0.0450,0.2990,0.9267,0.2208,1.00
0.0450,0.2993,0.9273,0.2212,1.00
0.0460,0.2997,0.9279,0.2217,1.00
0.0460,0.3001,0.9283,0.2222,1.00
0.0460,0.3005,0.9287,0.2227,1.00
0.0460,0.3008,0.9289,0.2232,1.00
0.0470,0.3011,0.9289,0.2237,1.00
0.0470,0.3014,0.9288,0.2243,1.00
0.0470,0.3017,0.9286,0.2248,1.00
0.0470,0.3017,0.9283,0.2253,1.00
0.0470,0.3016,0.9281,0.2258,1.00
0.0480,0.3014,0.9279,0.2262,1.00
0.0480,0.3011,0.9278,0.2265,1.00
0.0480,0.3007,0.9279,0.2267,1.00
0.0480,0.3005,0.9280,0.2266,1.00
0.0490,0.3002,0.9281,0.2266,1.00
0.0490,0.2999,0.9281,0.2264,1.00
0.0510,0.2997,0.9281,0.2262,1.00
0.0520,0.2996,0.9280,0.2259,1.00
0.0560,0.2993,0.9276,0.2257,1.00
0.0600,0.2992,0.9270,0.2255,1.00
0.0640,0.2990,0.9263,0.2254,1.00
0.0680,0.2990,0.9254,0.2257,1.00
0.0720,0.2990,0.9246,0.2261,1.00
0.0760,0.2991,0.9237,0.2269,1.00
0.0900,0.2991,0.9229,0.2277,1.00
0.0900,0.2992,0.9222,0.2287,1.00
0.1150,0.2995,0.9217,0.2299,1.00
0.1160,0.2999,0.9213,0.2310,1.00
0.1160,0.3008,0.9211,0.2321,1.00
0.1160,0.3018,0.9210,0.2330,1.00
0.1170,0.3029,0.9209,0.2338,1.00
0.1170,0.3042,0.9207,0.2345,1.00
0.1170,0.3055,0.9204,0.2352,1.00
0.1180,0.3068,0.9200,0.2359,1.00
0.1230,0.3081,0.9195,0.2365,1.00
0.1230,0.3091,0.9190,0.2372,1.00
