time,gFx,gFy,gFz,TgF
0.0320,0.1082,0.9762,0.0863,0.99
0.0320,0.1076,0.9759,0.0856,0.99
0.0320,0.1068,0.9755,0.0854,0.99
0.0320,0.1060,0.9750,0.0855,0.98
0.0330,0.1052,0.9746,0.0860,0.98
0.0340,0.1044,0.9743,0.0865,0.98
0.0340,0.1038,0.9740,0.0870,0.98
0.0340,0.1033,0.9739,0.0873,0.98
0.0340,0.1029,0.9739,0.0875,0.98
0.0350,0.1027,0.9740,0.0872,0.98
0.0350,0.1027,0.9741,0.0865,0.98
0.0350,0.1028,0.9741,0.0857,0.98
0.0360,0.1030,0.9742,0.0849,0.98
0.0360,0.1032,0.9741,0.0842,0.98
0.0360,0.1033,0.9740,0.0838,0.98
0.0360,0.1032,0.9740,0.0836,0.98
0.0360,0.1030,0.9739,0.0837,0.98
0.0370,0.1026,0.9739,0.0840,0.98
0.0370,0.1021,0.9739,0.0842,0.98
0.0370,0.1016,0.9740,0.0845,0.98
0.0370,0.1011,0.9741,0.0847,0.98
0.0380,0.1006,0.9743,0.0848,0.98
0.0380,0.1001,0.9745,0.0847,0.98
0.0380,0.0996,0.9747,0.0843,0.98
0.0380,0.0990,0.9750,0.0839,0.98
0.0390,0.0984,0.9753,0.0834,0.98
0.0390,0.0979,0.9755,0.0829,0.98
0.0390,0.0974,0.9757,0.0822,0.98
0.0400,0.0971,0.9759,0.0817,0.98
0.0400,0.0967,0.9761,0.0813,0.98
0.0400,0.0965,0.9764,0.0810,0.98
0.0400,0.0964,0.9766,0.0807,0.98
0.0400,0.0963,0.9768,0.0805,0.98
0.0410,0.0962,0.9770,0.0804,0.99
0.0410,0.0961,0.9771,0.0803,0.99
0.0410,0.0960,0.9773,0.0803,0.99
0.0410,0.0959,0.9773,0.0803,0.99
0.0420,0.0958,0.9773,0.0803,0.99
0.0420,0.0956,0.9772,0.0804,0.99
0.0420,0.0954,0.9771,0.0805,0.99
0.0420,0.0952,0.9770,0.0806,0.98
0.0430,0.0949,0.9769,0.0806,0.98
0.0430,0.0945,0.9768,0.0807,0.98
0.0430,0.0942,0.9767,0.0807,0.98
0.0430,0.0938,0.9767,0.0808,0.98
0.0440,0.0935,0.9766,0.0807,0.98
0.0440,0.0931,0.9765,0.0805,0.98
0.0440,0.0928,0.9765,0.0804,0.98
0.0440,0.0925,0.9764,0.0801,0.98
0.0450,0.0923,0.9764,0.0799,0.98
0.0500,0.0921,0.9763,0.0797,0.98
0.0500,0.0920,0.9764,0.0795,0.98
0.0500,0.0921,0.9763,0.0793,0.98
0.0510,0.0921,0.9764,0.0793,0.98
0.0510,0.0922,0.9763,0.0792,0.98
0.0510,0.0922,0.9762,0.0791,0.98
0.0560,0.0924,0.9760,0.0790,0.98
0.0560,0.0925,0.9759,0.0789,0.98
0.0590,0.0925,0.9758,0.0789,0.98
0.0630,0.0925,0.9757,0.0788,0.98
0.0680,0.0924,0.9755,0.0788,0.98
0.0820,0.0923,0.9754,0.0787,0.98
0.0820,0.0921,0.9754,0.0787,0.98
0.0830,0.0920,0.9756,0.0784,0.98
0.0830,0.0919,0.9757,0.0781,0.98
0.1080,0.0918,0.9760,0.0778,0.98
0.1090,0.0916,0.9763,0.0774,0.98
0.1090,0.0916,0.9767,0.0771,0.98
0.1090,0.0916,0.9770,0.0767,0.98
0.1100,0.0918,0.9773,0.0764,0.98
0.1100,0.0919,0.9776,0.0762,0.98
0.1110,0.0922,0.9777,0.0760,0.98
0.1280,0.0924,0.9778,0.0760,0.99
0.1280,0.0926,0.9778,0.0762,0.99
0.1280,0.0927,0.9778,0.0764,0.99
0.1290,0.0929,0.9778,0.0766,0.99
0.1370,0.0930,0.9779,0.0768,0.99
0.1380,0.0931,0.9779,0.0770,0.99
0.1550,0.0931,0.9780,0.0773,0.99
0.1560,0.0931,0.9781,0.0774,0.99
0.1560,0.0931,0.9782,0.0776,0.99
0.1560,0.0930,0.9783,0.0777,0.99
0.1560,0.0929,0.9784,0.0780,0.99
0.1620,0.0929,0.9786,0.0781,0.99
0.1620,0.0928,0.9786,0.0783,0.99
0.1660,0.0927,0.9787,0.0785,0.99
0.1700,0.0927,0.9787,0.0785,0.99
0.1740,0.0927,0.9786,0.0786,0.99
0.1780,0.0927,0.9786,0.0785,0.99
0.1820,0.0927,0.9785,0.0783,0.99
0.1870,0.0927,0.9784,0.0781,0.99
0.1890,0.0929,0.9784,0.0779,0.99
0.1930,0.0930,0.9784,0.0776,0.99
0.1980,0.0931,0.9784,0.0773,0.99
0.2010,0.0932,0.9784,0.0772,0.99
0.2050,0.0934,0.9784,0.0770,0.99
0.2090,0.0935,0.9784,0.0769,0.99
0.2130,0.0935,0.9783,0.0767,0.99
0.2170,0.0934,0.9783,0.0766,0.99
0.2230,0.0933,0.9781,0.0764,0.99
0.2250,0.0931,0.9780,0.0762,0.99
0.2280,0.0929,0.9780,0.0762,0.99
0.2330,0.0927,0.9779,0.0761,0.99
0.2380,0.0925,0.9779,0.0760,0.99
0.2410,0.0922,0.9778,0.0759,0.99
0.2440,0.0920,0.9778,0.0758,0.99
0.2490,0.0918,0.9777,0.0758,0.98
0.2600,0.0916,0.9777,0.0758,0.98
0.2600,0.0913,0.9775,0.0757,0.98
0.2600,0.0911,0.9774,0.0757,0.98
0.2640,0.0907,0.9773,0.0757,0.98
0.2680,0.0905,0.9771,0.0756,0.98
0.2740,0.0901,0.9769,0.0757,0.98
0.2760,0.0897,0.9768,0.0758,0.98
0.2800,0.0892,0.9767,0.0757,0.98
0.2840,0.0887,0.9767,0.0756,0.98
0.2880,0.0881,0.9767,0.0755,0.98
