time,gFx,gFy,gFz,TgF
0.2020,0.0199,0.9786,0.1194,0.99
0.2020,0.0201,0.9783,0.1195,0.99
0.2020,0.0204,0.9781,0.1195,0.99
0.2030,0.0209,0.9779,0.1192,0.99
0.2030,0.0215,0.9778,0.1189,0.99
0.2030,0.0219,0.9778,0.1187,0.99
0.2040,0.0223,0.9778,0.1185,0.99
0.2040,0.0225,0.9778,0.1184,0.99
0.2040,0.0228,0.9779,0.1183,0.99
0.2040,0.0230,0.9781,0.1183,0.99
0.2050,0.0231,0.9782,0.1181,0.99
0.2050,0.0233,0.9783,0.1179,0.99
0.2050,0.0235,0.9783,0.1179,0.99
0.2050,0.0237,0.9783,0.1177,0.99
0.2060,0.0239,0.9781,0.1177,0.99
0.2060,0.0240,0.9779,0.1177,0.99
0.2060,0.0240,0.9777,0.1178,0.99
0.2070,0.0238,0.9775,0.1180,0.98
0.2070,0.0236,0.9773,0.1181,0.98
0.2080,0.0231,0.9772,0.1181,0.98
0.2080,0.0226,0.9772,0.1180,0.98
0.2080,0.0220,0.9773,0.1177,0.98
0.2080,0.0214,0.9773,0.1173,0.98
0.2090,0.0210,0.9775,0.1171,0.98
0.2090,0.0206,0.9775,0.1169,0.98
0.2090,0.0205,0.9775,0.1168,0.98
0.2110,0.0204,0.9775,0.1169,0.98
0.2110,0.0203,0.9774,0.1171,0.98
0.2120,0.0204,0.9773,0.1172,0.98
0.2120,0.0207,0.9771,0.1174,0.98
0.2120,0.0210,0.9769,0.1177,0.98
0.2120,0.0213,0.9767,0.1180,0.98
0.2130,0.0220,0.9764,0.1183,0.98
0.2130,0.0228,0.9762,0.1186,0.98
0.2130,0.0235,0.9760,0.1187,0.98
0.2130,0.0243,0.9759,0.1189,0.98
0.2140,0.0249,0.9759,0.1191,0.98
0.2140,0.0251,0.9759,0.1193,0.98
0.2140,0.0247,0.9761,0.1194,0.98
0.2140,0.0241,0.9764,0.1192,0.98
0.2150,0.0238,0.9766,0.1189,0.98
0.2150,0.0237,0.9768,0.1185,0.98
0.2150,0.0238,0.9768,0.1183,0.98
0.2160,0.0236,0.9765,0.1185,0.98
0.2160,0.0234,0.9762,0.1187,0.98
0.2160,0.0232,0.9757,0.1190,0.98
0.2160,0.0228,0.9752,0.1195,0.98
0.2170,0.0225,0.9749,0.1198,0.98
0.2170,0.0221,0.9748,0.1200,0.98
0.2170,0.0218,0.9749,0.1201,0.98
0.2180,0.0215,0.9752,0.1202,0.98
0.2180,0.0212,0.9755,0.1201,0.98
0.2180,0.0209,0.9759,0.1198,0.98
0.2180,0.0204,0.9763,0.1197,0.98
0.2190,0.0196,0.9767,0.1195,0.98
0.2190,0.0190,0.9770,0.1193,0.98
0.2190,0.0187,0.9772,0.1190,0.98
0.2200,0.0187,0.9771,0.1189,0.98
0.2280,0.0188,0.9768,0.1189,0.98
0.2280,0.0188,0.9766,0.1189,0.98
0.2470,0.0187,0.9763,0.1189,0.98
0.2480,0.0184,0.9761,0.1190,0.98
0.2480,0.0181,0.9760,0.1190,0.98
0.2480,0.0177,0.9761,0.1191,0.98
0.2490,0.0174,0.9762,0.1190,0.98
0.2580,0.0172,0.9763,0.1190,0.98
0.2590,0.0170,0.9765,0.1190,0.98
0.2590,0.0169,0.9766,0.1192,0.98
0.2620,0.0169,0.9766,0.1192,0.98
0.2780,0.0168,0.9766,0.1194,0.98
0.2780,0.0168,0.9766,0.1196,0.98
0.2790,0.0168,0.9764,0.1197,0.98
0.2790,0.0169,0.9764,0.1198,0.98
0.2940,0.0171,0.9763,0.1197,0.98
0.2940,0.0173,0.9763,0.1196,0.98
0.2940,0.0171,0.9765,0.1196,0.98
0.2950,0.0176,0.9767,0.1181,0.98
