time,gFx,gFy,gFz,TgF
0.0550,0.1314,0.9796,-0.0002,0.99
0.0560,0.1321,0.9796,0.0001,0.99
0.0560,0.1327,0.9795,0.0003,0.99
0.0560,0.1333,0.9795,0.0003,0.99
0.0560,0.1340,0.9794,-0.0000,0.99
0.0570,0.1346,0.9792,-0.0004,0.99
0.0570,0.1351,0.9792,-0.0007,0.99
0.0570,0.1354,0.9792,-0.0009,0.99
0.0580,0.1356,0.9792,-0.0009,0.99
0.0580,0.1355,0.9792,-0.0006,0.99
0.0580,0.1353,0.9793,-0.0003,0.99
0.0590,0.1348,0.9794,-0.0000,0.99
0.0590,0.1340,0.9794,-0.0000,0.99
0.0590,0.1330,0.9794,-0.0002,0.99
0.0590,0.1320,0.9795,-0.0005,0.99
0.0600,0.1310,0.9796,-0.0010,0.99
0.0600,0.1300,0.9797,-0.0015,0.99
0.0600,0.1293,0.9798,-0.0021,0.99
0.0600,0.1289,0.9797,-0.0028,0.99
0.0610,0.1286,0.9797,-0.0034,0.99
0.0610,0.1286,0.9796,-0.0038,0.99
0.0610,0.1286,0.9794,-0.0038,0.99
0.0610,0.1287,0.9793,-0.0036,0.99
0.0610,0.1289,0.9792,-0.0033,0.99
0.0620,0.1291,0.9792,-0.0029,0.99
0.0620,0.1295,0.9793,-0.0023,0.99
0.0620,0.1300,0.9793,-0.0019,0.99
0.0620,0.1304,0.9795,-0.0015,0.99
0.0630,0.1309,0.9797,-0.0012,0.99
0.0630,0.1312,0.9800,-0.0008,0.99
0.0630,0.1315,0.9803,-0.0004,0.99
0.0630,0.1315,0.9804,-0.0001,0.99
0.0640,0.1313,0.9806,0.0001,0.99
0.0640,0.1310,0.9806,0.0002,0.99
0.0640,0.1305,0.9806,0.0004,0.99
0.0650,0.1299,0.9806,0.0005,0.99
0.0650,0.1293,0.9805,0.0005,0.99
0.0650,0.1287,0.9806,0.0003,0.99
0.0660,0.1281,0.9806,0.0002,0.99
0.0670,0.1277,0.9806,0.0001,0.99
0.0670,0.1274,0.9806,0.0000,0.99
0.0680,0.1272,0.9805,0.0002,0.99
0.0680,0.1270,0.9803,0.0005,0.99
0.0680,0.1268,0.9802,0.0009,0.99
0.0690,0.1267,0.9801,0.0012,0.99
0.0700,0.1265,0.9799,0.0014,0.99
0.0700,0.1264,0.9798,0.0016,0.99
0.0700,0.1263,0.9797,0.0017,0.99
0.0710,0.1262,0.9797,0.0016,0.99
0.0710,0.1263,0.9797,0.0014,0.99
0.0720,0.1265,0.9797,0.0013,0.99
0.0720,0.1268,0.9798,0.0012,0.99
0.0720,0.1270,0.9797,0.0012,0.99
0.0730,0.1273,0.9797,0.0014,0.99
0.0730,0.1275,0.9795,0.0017,0.99
0.0730,0.1277,0.9793,0.0022,0.99
0.0740,0.1277,0.9790,0.0025,0.99
0.0740,0.1276,0.9787,0.0028,0.99
0.0740,0.1274,0.9784,0.0028,0.99
0.0750,0.1270,0.9781,0.0028,0.99
0.0750,0.1265,0.9780,0.0025,0.99
0.0750,0.1259,0.9779,0.0023,0.99
0.0760,0.1253,0.9779,0.0020,0.99
0.0760,0.1246,0.9779,0.0016,0.99
0.0760,0.1239,0.9779,0.0013,0.99
0.0770,0.1233,0.9779,0.0011,0.99
0.0770,0.1229,0.9780,0.0009,0.99
0.0770,0.1226,0.9780,0.0010,0.99
0.0780,0.1225,0.9781,0.0012,0.99
0.0780,0.1226,0.9782,0.0013,0.99
0.0810,0.1229,0.9782,0.0013,0.99
0.0810,0.1234,0.9783,0.0014,0.99
0.0820,0.1239,0.9785,0.0016,0.99
0.0820,0.1243,0.9786,0.0018,0.99
0.0820,0.1247,0.9786,0.0021,0.99
0.0830,0.1250,0.9786,0.0023,0.99
0.0830,0.1253,0.9786,0.0023,0.99
0.0870,0.1255,0.9785,0.0024,0.99
0.0970,0.1256,0.9785,0.0024,0.99
0.0970,0.1256,0.9785,0.0026,0.99
0.0970,0.1256,0.9786,0.0025,0.99
0.1010,0.1257,0.9788,0.0025,0.99
0.1130,0.1259,0.9790,0.0025,0.99
0.1130,0.1261,0.9791,0.0025,0.99
0.1130,0.1263,0.9793,0.0024,0.99
0.1200,0.1266,0.9794,0.0024,0.99
0.1210,0.1269,0.9794,0.0024,0.99
0.1270,0.1271,0.9793,0.0026,0.99
0.1280,0.1271,0.9792,0.0028,0.99
0.1340,0.1270,0.9790,0.0031,0.99
0.1360,0.1268,0.9788,0.0033,0.99
0.1420,0.1265,0.9787,0.0035,0.99
0.1430,0.1260,0.9786,0.0035,0.99
0.1480,0.1256,0.9785,0.0034,0.99
0.1510,0.1252,0.9785,0.0032,0.99
0.1560,0.1247,0.9786,0.0028,0.99
0.1590,0.1245,0.9788,0.0025,0.99
0.1630,0.1245,0.9789,0.0022,0.99
0.1670,0.1247,0.9790,0.0021,0.99
0.1810,0.1250,0.9790,0.0021,0.99
0.2080,0.1256,0.9790,0.0022,0.99
0.2080,0.1262,0.9789,0.0023,0.99
0.2080,0.1269,0.9789,0.0026,0.99
0.2090,0.1274,0.9789,0.0029,0.99
0.2090,0.1279,0.9790,0.0033,0.99
0.2100,0.1283,0.9790,0.0037,0.99
0.2100,0.1284,0.9790,0.0041,0.99
0.2100,0.1284,0.9790,0.0044,0.99
0.2110,0.1283,0.9790,0.0045,0.99
0.2110,0.1280,0.9789,0.0045,0.99
0.2140,0.1275,0.9789,0.0045,0.99
0.2180,0.1271,0.9789,0.0044,0.99
0.2240,0.1266,0.9789,0.0042,0.99
0.2260,0.1260,0.9790,0.0040,0.99
0.2300,0.1255,0.9791,0.0038,0.99
0.2340,0.1251,0.9792,0.0035,0.99
0.2390,0.1249,0.9792,0.0032,0.99
0.2410,0.1248,0.9792,0.0030,0.99
0.2450,0.1247,0.9792,0.0030,0.99
0.2500,0.1248,0.9791,0.0030,0.99
0.2530,0.1249,0.9789,0.0032,0.99
0.2660,0.1252,0.9787,0.0035,0.99
0.2670,0.1253,0.9785,0.0038,0.99
0.2670,0.1253,0.9783,0.0042,0.99
0.2690,0.1253,0.9781,0.0045,0.99
0.2810,0.1251,0.9780,0.0048,0.99
0.2810,0.1247,0.9779,0.0051,0.99
0.2810,0.1243,0.9778,0.0051,0.99
0.2840,0.1239,0.9776,0.0050,0.99
0.2920,0.1234,0.9775,0.0049,0.99
0.2920,0.1229,0.9774,0.0048,0.99
0.2960,0.1225,0.9773,0.0047,0.98
0.3010,0.1221,0.9772,0.0047,0.98
0.3060,0.1218,0.9770,0.0047,0.98
0.3080,0.1216,0.9768,0.0048,0.98
0.3120,0.1216,0.9766,0.0050,0.98
0.3160,0.1216,0.9764,0.0051,0.98
0.3200,0.1216,0.9762,0.0053,0.98
0.3240,0.1217,0.9760,0.0055,0.98
0.3280,0.1219,0.9759,0.0057,0.98
0.3320,0.1221,0.9757,0.0058,0.98
0.3360,0.1221,0.9756,0.0060,0.98
0.3390,0.1221,0.9755,0.0062,0.98
0.3430,0.1221,0.9753,0.0063,0.98
0.3470,0.1220,0.9752,0.0063,0.98
0.3510,0.1220,0.9752,0.0062,0.98
0.3560,0.1222,0.9754,0.0061,0.98
0.3590,0.1224,0.9755,0.0059,0.98
0.3630,0.1229,0.9758,0.0058,0.98
0.3670,0.1232,0.9760,0.0058,0.98
0.3700,0.1236,0.9761,0.0058,0.98
0.3740,0.1238,0.9762,0.0061,0.98
0.3780,0.1240,0.9763,0.0064,0.98
0.3830,0.1241,0.9763,0.0067,0.98
0.3870,0.1242,0.9765,0.0071,0.98
0.3940,0.1242,0.9767,0.0072,0.98
0.3940,0.1241,0.9768,0.0073,0.98
0.3990,0.1238,0.9770,0.0074,0.98
0.4010,0.1234,0.9770,0.0075,0.98
0.4080,0.1228,0.9771,0.0075,0.98
0.4100,0.1221,0.9770,0.0075,0.98
0.4130,0.1213,0.9770,0.0074,0.98
0.4180,0.1206,0.9770,0.0073,0.98
0.4230,0.1200,0.9771,0.0069,0.98
0.4250,0.1196,0.9772,0.0066,0.98
0.4290,0.1193,0.9774,0.0063,0.98
0.4330,0.1193,0.9775,0.0060,0.98
0.4370,0.1194,0.9777,0.0058,0.98
0.4410,0.1198,0.9778,0.0058,0.99
0.4450,0.1203,0.9778,0.0059,0.99
0.4490,0.1208,0.9777,0.0062,0.99
0.4530,0.1214,0.9777,0.0066,0.99
0.4570,0.1219,0.9775,0.0068,0.99
0.4600,0.1223,0.9774,0.0071,0.99
0.4640,0.1227,0.9774,0.0071,0.99
0.4690,0.1230,0.9775,0.0071,0.99
0.4720,0.1231,0.9776,0.0069,0.99
0.4760,0.1231,0.9778,0.0069,0.99
0.4800,0.1230,0.9779,0.0068,0.99
0.4840,0.1227,0.9779,0.0067,0.99
0.4890,0.1222,0.9779,0.0068,0.99
0.4920,0.1218,0.9779,0.0069,0.99
0.4960,0.1212,0.9778,0.0069,0.99
0.5000,0.1206,0.9778,0.0067,0.99
0.5030,0.1201,0.9777,0.0067,0.99
0.5070,0.1196,0.9777,0.0065,0.98
0.5120,0.1192,0.9778,0.0062,0.99
0.5160,0.1189,0.9779,0.0060,0.99
0.5190,0.1186,0.9781,0.0059,0.99
0.5290,0.1182,0.9784,0.0057,0.99
0.5300,0.1180,0.9787,0.0057,0.99
0.5310,0.1179,0.9789,0.0056,0.99
0.5350,0.1178,0.9791,0.0057,0.99
0.5440,0.1177,0.9792,0.0060,0.99
0.5450,0.1175,0.9792,0.0065,0.99
0.5460,0.1173,0.9792,0.0071,0.99
0.5500,0.1170,0.9792,0.0075,0.99
0.5540,0.1166,0.9792,0.0077,0.99
0.5590,0.1161,0.9794,0.0080,0.99
0.5620,0.1155,0.9796,0.0083,0.99
0.5830,0.1149,0.9799,0.0084,0.99
0.5830,0.1143,0.9802,0.0085,0.99
0.5830,0.1135,0.9805,0.0084,0.99
0.5840,0.1128,0.9808,0.0083,0.99
0.5840,0.1120,0.9811,0.0082,0.99
0.5860,0.1111,0.9813,0.0082,0.99
0.5910,0.1103,0.9816,0.0080,0.99
0.5930,0.1094,0.9819,0.0079,0.99
0.5970,0.1087,0.9822,0.0077,0.99
0.6010,0.1081,0.9826,0.0075,0.99
0.6060,0.1077,0.9829,0.0072,0.99
