time,gFx,gFy,gFz,TgF
0.0230,-0.1990,0.7880,0.5340,0.97
0.0240,-0.1988,0.7882,0.5341,0.97
0.0240,-0.1988,0.7883,0.5341,0.97
0.0240,-0.1990,0.7883,0.5343,0.97
0.0240,-0.1995,0.7884,0.5344,0.97
0.0250,-0.2001,0.7885,0.5344,0.97
0.0250,-0.2016,0.7890,0.5341,0.97
0.0250,-0.2030,0.7895,0.5334,0.97
0.0280,-0.2039,0.7900,0.5325,0.97
0.0320,-0.2045,0.7904,0.5317,0.97
0.0350,-0.2049,0.7907,0.5313,0.97
0.0390,-0.2051,0.7910,0.5309,0.97
0.0430,-0.2050,0.7913,0.5306,0.97
0.0460,-0.2049,0.7914,0.5304,0.97
0.0580,-0.2047,0.7915,0.5304,0.97
0.0580,-0.2049,0.7914,0.5307,0.97
0.0580,-0.2051,0.7914,0.5310,0.97
0.0620,-0.2054,0.7912,0.5313,0.97
0.0660,-0.2059,0.7910,0.5316,0.97
0.0700,-0.2065,0.7907,0.5317,0.97
0.0740,-0.2071,0.7904,0.5316,0.97
0.0770,-0.2078,0.7901,0.5316,0.97
0.0830,-0.2093,0.7901,0.5315,0.97
0.0850,-0.2094,0.7900,0.5309,0.97
0.0900,-0.2091,0.7900,0.5300,0.97
0.0940,-0.2079,0.7899,0.5292,0.97
0.1010,-0.2069,0.7898,0.5290,0.97
0.1010,-0.2060,0.7896,0.5293,0.97
0.1050,-0.2055,0.7895,0.5297,0.97
0.1090,-0.2052,0.7893,0.5301,0.97
0.1130,-0.2050,0.7892,0.5303,0.97
0.1240,-0.2049,0.7891,0.5305,0.97
0.1250,-0.2052,0.7890,0.5306,0.97
0.1250,-0.2057,0.7889,0.5308,0.97
0.1290,-0.2062,0.7888,0.5308,0.97
0.1340,-0.2068,0.7886,0.5307,0.97
0.1360,-0.2075,0.7885,0.5307,0.97
0.1400,-0.2083,0.7884,0.5305,0.97
0.1440,-0.2094,0.7883,0.5304,0.97
0.1510,-0.2105,0.7883,0.5302,0.97
0.1530,-0.2112,0.7884,0.5299,0.97
0.1580,-0.2115,0.7885,0.5295,0.97
0.1610,-0.2115,0.7888,0.5294,0.97
0.1680,-0.2112,0.7892,0.5291,0.97
0.1680,-0.2108,0.7896,0.5290,0.97
0.1720,-0.2102,0.7900,0.5288,0.97
0.1760,-0.2095,0.7902,0.5286,0.97
0.1800,-0.2094,0.7906,0.5289,0.97
0.1910,-0.2094,0.7909,0.5291,0.97
0.1910,-0.2093,0.7910,0.5291,0.97
0.1910,-0.2092,0.7909,0.5290,0.97
0.1960,-0.2090,0.7906,0.5290,0.97
0.2080,-0.2088,0.7903,0.5291,0.97
0.2080,-0.2090,0.7900,0.5291,0.97
0.2080,-0.2093,0.7897,0.5293,0.97
0.2120,-0.2098,0.7894,0.5294,0.97
