time,gFx,gFy,gFz,TgF
0.2130,0.1596,0.8749,0.4225,0.98
0.2130,0.1592,0.8746,0.4219,0.98
0.2140,0.1591,0.8740,0.4214,0.98
0.2140,0.1591,0.8733,0.4211,0.98
0.2140,0.1591,0.8727,0.4208,0.98
0.2150,0.1591,0.8720,0.4207,0.98
0.2150,0.1590,0.8715,0.4207,0.98
0.2150,0.1589,0.8711,0.4208,0.98
0.2150,0.1588,0.8707,0.4208,0.98
0.2150,0.1587,0.8704,0.4209,0.98
0.2160,0.1589,0.8699,0.4210,0.98
0.2160,0.1601,0.8689,0.4217,0.98
0.2160,0.1605,0.8686,0.4218,0.98
0.2170,0.1603,0.8686,0.4216,0.98
0.2170,0.1596,0.8688,0.4210,0.98
0.2170,0.1588,0.8690,0.4206,0.98
0.2170,0.1580,0.8690,0.4199,0.98
0.2180,0.1573,0.8689,0.4196,0.98
0.2180,0.1568,0.8685,0.4200,0.98
0.2180,0.1564,0.8680,0.4204,0.98
0.2180,0.1563,0.8676,0.4208,0.98
0.2180,0.1562,0.8674,0.4210,0.98
0.2190,0.1558,0.8678,0.4213,0.98
0.2190,0.1562,0.8684,0.4206,0.98
0.2190,0.1574,0.8689,0.4193,0.98
0.2190,0.1569,0.8699,0.4196,0.98
0.2200,0.1567,0.8706,0.4203,0.98
0.2200,0.1575,0.8709,0.4199,0.98
0.2200,0.1586,0.8709,0.4193,0.98
0.2200,0.1595,0.8706,0.4193,0.98
0.2210,0.1599,0.8704,0.4199,0.98
0.2210,0.1602,0.8702,0.4206,0.98
0.2210,0.1603,0.8703,0.4210,0.98
0.2210,0.1605,0.8705,0.4212,0.98
0.2220,0.1606,0.8708,0.4213,0.98
0.2220,0.1609,0.8713,0.4212,0.98
0.2220,0.1615,0.8719,0.4213,0.98
0.2220,0.1623,0.8727,0.4214,0.98
0.2230,0.1638,0.8740,0.4216,0.98
0.2230,0.1653,0.8753,0.4217,0.99
0.2230,0.1666,0.8766,0.4215,0.99
0.2230,0.1678,0.8778,0.4209,0.99
0.2240,0.1688,0.8788,0.4204,0.99
0.2240,0.1696,0.8798,0.4204,0.99
0.2240,0.1705,0.8809,0.4208,0.99
0.2240,0.1716,0.8820,0.4211,0.99
0.2250,0.1727,0.8831,0.4214,0.99
0.2250,0.1739,0.8840,0.4216,0.99
0.2250,0.1751,0.8848,0.4217,1.00
0.2250,0.1762,0.8852,0.4218,1.00
0.2250,0.1772,0.8854,0.4218,1.00
0.2260,0.1781,0.8854,0.4218,1.00
0.2260,0.1788,0.8852,0.4219,1.00
0.2260,0.1792,0.8849,0.4219,1.00
0.2260,0.1794,0.8845,0.4219,1.00
0.2270,0.1796,0.8841,0.4218,1.00
0.2270,0.1794,0.8836,0.4215,1.00
0.2270,0.1792,0.8829,0.4211,0.99
0.2270,0.1789,0.8822,0.4206,0.99
0.2280,0.1786,0.8816,0.4203,0.99
0.2280,0.1783,0.8810,0.4198,0.99
0.2330,0.1781,0.8806,0.4193,0.99
0.2360,0.1779,0.8803,0.4187,0.99
0.2400,0.1779,0.8803,0.4181,0.99
0.2440,0.1779,0.8804,0.4176,0.99
