time,gFx,gFy,gFz,TgF
0.1980,-0.1054,0.9552,0.1673,0.98
0.1980,-0.1060,0.9554,0.1671,0.98
0.1980,-0.1065,0.9556,0.1668,0.98
0.1980,-0.1069,0.9558,0.1666,0.98
0.1990,-0.1072,0.9559,0.1664,0.98
0.2000,-0.1077,0.9561,0.1662,0.98
0.2000,-0.1081,0.9562,0.1663,0.98
0.2000,-0.1086,0.9562,0.1665,0.98
0.2000,-0.1092,0.9564,0.1668,0.98
0.2010,-0.1100,0.9566,0.1669,0.98
0.2010,-0.1107,0.9567,0.1669,0.98
0.2010,-0.1114,0.9569,0.1669,0.98
0.2010,-0.1119,0.9570,0.1668,0.98
0.2010,-0.1123,0.9571,0.1668,0.98
0.2020,-0.1129,0.9572,0.1669,0.98
0.2020,-0.1133,0.9573,0.1671,0.98
0.2020,-0.1137,0.9574,0.1672,0.98
0.2020,-0.1140,0.9575,0.1670,0.98
0.2030,-0.1141,0.9575,0.1669,0.98
0.2030,-0.1140,0.9576,0.1669,0.98
0.2040,-0.1140,0.9575,0.1669,0.98
0.2040,-0.1141,0.9574,0.1670,0.98
0.2040,-0.1142,0.9573,0.1670,0.98
0.2040,-0.1143,0.9572,0.1670,0.98
0.2060,-0.1144,0.9571,0.1670,0.98
0.2060,-0.1143,0.9571,0.1668,0.98
0.2060,-0.1142,0.9573,0.1666,0.98
0.2060,-0.1141,0.9575,0.1664,0.98
0.2070,-0.1138,0.9578,0.1662,0.98
0.2080,-0.1134,0.9581,0.1661,0.98
0.2080,-0.1129,0.9583,0.1661,0.98
0.2080,-0.1124,0.9584,0.1665,0.98
0.2080,-0.1120,0.9585,0.1669,0.98
0.2090,-0.1116,0.9585,0.1673,0.98
0.2090,-0.1113,0.9585,0.1676,0.98
0.2090,-0.1109,0.9585,0.1676,0.98
0.2090,-0.1108,0.9586,0.1676,0.98
0.2100,-0.1106,0.9586,0.1676,0.98
0.2100,-0.1106,0.9587,0.1675,0.98
0.2100,-0.1107,0.9588,0.1675,0.98
0.2100,-0.1109,0.9588,0.1675,0.98
0.2100,-0.1111,0.9587,0.1674,0.98
0.2110,-0.1115,0.9587,0.1674,0.98
0.2120,-0.1119,0.9585,0.1675,0.98
0.2120,-0.1121,0.9583,0.1674,0.98
0.2120,-0.1123,0.9581,0.1673,0.98
0.2120,-0.1122,0.9580,0.1671,0.98
0.2120,-0.1119,0.9580,0.1670,0.98
0.2130,-0.1115,0.9579,0.1668,0.98
0.2130,-0.1110,0.9579,0.1666,0.98
0.2130,-0.1105,0.9579,0.1663,0.98
0.2130,-0.1101,0.9579,0.1662,0.98
0.2140,-0.1098,0.9578,0.1660,0.98
0.2140,-0.1095,0.9578,0.1659,0.98
0.2140,-0.1093,0.9578,0.1657,0.98
0.2140,-0.1092,0.9579,0.1657,0.98
0.2150,-0.1090,0.9580,0.1656,0.98
0.2200,-0.1089,0.9581,0.1656,0.98
0.2260,-0.1088,0.9582,0.1654,0.98
0.2280,-0.1087,0.9583,0.1653,0.98
0.2310,-0.1086,0.9583,0.1651,0.98
0.2430,-0.1085,0.9584,0.1649,0.98
0.2440,-0.1084,0.9584,0.1647,0.98
0.2440,-0.1084,0.9585,0.1646,0.98
0.2470,-0.1083,0.9584,0.1643,0.98
0.2650,-0.1082,0.9585,0.1640,0.98
0.2650,-0.1079,0.9585,0.1638,0.98
0.2650,-0.1076,0.9584,0.1635,0.98
0.2670,-0.1073,0.9584,0.1633,0.98
0.2680,-0.1070,0.9583,0.1630,0.98
0.2710,-0.1068,0.9582,0.1629,0.98
0.2750,-0.1069,0.9580,0.1627,0.98
0.2790,-0.1070,0.9580,0.1624,0.98
0.2950,-0.1072,0.9581,0.1622,0.98
0.2960,-0.1074,0.9582,0.1620,0.98
0.2960,-0.1076,0.9583,0.1617,0.98
0.2960,-0.1078,0.9585,0.1616,0.98
0.2990,-0.1081,0.9586,0.1616,0.98
0.3200,-0.1084,0.9585,0.1616,0.98
0.3200,-0.1087,0.9585,0.1616,0.98
0.3200,-0.1089,0.9583,0.1616,0.98
0.3210,-0.1092,0.9582,0.1617,0.98
0.3210,-0.1093,0.9580,0.1617,0.98
0.3270,-0.1093,0.9578,0.1616,0.98
0.3270,-0.1092,0.9575,0.1615,0.98
0.3300,-0.1091,0.9573,0.1613,0.98
0.3410,-0.1089,0.9570,0.1611,0.98
0.3420,-0.1087,0.9567,0.1609,0.98
0.3420,-0.1086,0.9566,0.1607,0.98
0.3460,-0.1086,0.9565,0.1606,0.98
0.3580,-0.1086,0.9565,0.1605,0.98
0.3580,-0.1087,0.9565,0.1603,0.98
0.3580,-0.1088,0.9565,0.1601,0.98
0.3620,-0.1090,0.9564,0.1599,0.98
0.3650,-0.1091,0.9563,0.1596,0.98
0.3750,-0.1091,0.9562,0.1594,0.98
0.3750,-0.1090,0.9561,0.1593,0.98
0.3770,-0.1088,0.9560,0.1593,0.98
0.3820,-0.1086,0.9560,0.1593,0.98
0.3930,-0.1085,0.9561,0.1594,0.98
0.3940,-0.1084,0.9562,0.1593,0.98
0.3940,-0.1084,0.9563,0.1593,0.98
0.3970,-0.1082,0.9564,0.1594,0.98
0.4140,-0.1082,0.9566,0.1594,0.98
0.4140,-0.1081,0.9568,0.1593,0.98
0.4150,-0.1079,0.9568,0.1593,0.98
0.4150,-0.1077,0.9570,0.1594,0.98
0.4260,-0.1075,0.9571,0.1593,0.98
0.4260,-0.1072,0.9572,0.1594,0.98
0.4260,-0.1067,0.9574,0.1593,0.98
0.4280,-0.1062,0.9575,0.1593,0.98
0.4420,-0.1057,0.9575,0.1593,0.98
0.4430,-0.1053,0.9575,0.1593,0.98
0.4430,-0.1052,0.9575,0.1593,0.98
0.4440,-0.1052,0.9575,0.1594,0.98
0.4490,-0.1053,0.9574,0.1596,0.98
0.4590,-0.1053,0.9573,0.1598,0.98
0.4600,-0.1052,0.9573,0.1599,0.98
0.4600,-0.1052,0.9574,0.1600,0.98
0.4640,-0.1053,0.9575,0.1599,0.98
0.4760,-0.1054,0.9575,0.1598,0.98
0.4760,-0.1055,0.9578,0.1596,0.98
0.4760,-0.1056,0.9581,0.1593,0.98
0.4800,-0.1059,0.9584,0.1590,0.98
0.5040,-0.1062,0.9586,0.1586,0.98
0.5050,-0.1065,0.9588,0.1582,0.98
0.5050,-0.1067,0.9589,0.1579,0.98
0.5050,-0.1070,0.9590,0.1577,0.98
0.5060,-0.1071,0.9590,0.1575,0.98
0.5060,-0.1070,0.9590,0.1574,0.98
0.5080,-0.1067,0.9590,0.1576,0.98
0.5110,-0.1063,0.9590,0.1578,0.98
0.5150,-0.1059,0.9589,0.1580,0.98
0.5190,-0.1053,0.9590,0.1583,0.98
0.5230,-0.1044,0.9593,0.1586,0.98
0.5270,-0.1036,0.9594,0.1588,0.98
0.5310,-0.1029,0.9594,0.1589,0.98
0.5410,-0.1023,0.9592,0.1589,0.98
0.5420,-0.1016,0.9590,0.1587,0.98
0.5430,-0.1017,0.9591,0.1586,0.98
0.5480,-0.1021,0.9594,0.1581,0.98
0.5620,-0.1020,0.9595,0.1571,0.98
0.5620,-0.1013,0.9597,0.1561,0.98
0.5630,-0.1003,0.9600,0.1555,0.98
0.5630,-0.0983,0.9614,0.1557,0.98
0.5710,-0.0972,0.9621,0.1559,0.98
0.5720,-0.0974,0.9622,0.1564,0.98
0.5740,-0.0962,0.9624,0.1563,0.98
0.5780,-0.0957,0.9626,0.1563,0.98
0.5850,-0.0964,0.9623,0.1570,0.98
0.5860,-0.0977,0.9618,0.1579,0.98
0.5900,-0.0993,0.9615,0.1587,0.98
0.5940,-0.1010,0.9612,0.1597,0.98
0.5990,-0.1023,0.9611,0.1603,0.98
0.6030,-0.1033,0.9611,0.1604,0.98
0.6060,-0.1043,0.9612,0.1603,0.98
0.6100,-0.1052,0.9612,0.1601,0.98
0.6140,-0.1062,0.9611,0.1601,0.98
0.6170,-0.1069,0.9609,0.1600,0.98
0.6210,-0.1073,0.9606,0.1599,0.98
0.6250,-0.1074,0.9604,0.1598,0.98
0.6290,-0.1072,0.9602,0.1597,0.98
0.6390,-0.1070,0.9600,0.1596,0.98
0.6400,-0.1068,0.9598,0.1594,0.98
0.6410,-0.1066,0.9595,0.1591,0.98
0.6450,-0.1066,0.9594,0.1589,0.98
0.6490,-0.1065,0.9593,0.1586,0.98
0.6570,-0.1064,0.9593,0.1582,0.98
0.6570,-0.1064,0.9593,0.1578,0.98
0.6610,-0.1064,0.9592,0.1574,0.98
0.6640,-0.1067,0.9591,0.1572,0.98
0.6690,-0.1069,0.9589,0.1568,0.98
0.6730,-0.1072,0.9587,0.1566,0.98
0.6760,-0.1075,0.9585,0.1563,0.98
0.6810,-0.1077,0.9584,0.1560,0.98
0.6850,-0.1080,0.9583,0.1556,0.98
0.6880,-0.1083,0.9583,0.1552,0.98
0.6930,-0.1086,0.9583,0.1549,0.98
0.6960,-0.1088,0.9583,0.1545,0.98
0.7020,-0.1088,0.9585,0.1542,0.98
0.7040,-0.1089,0.9585,0.1539,0.98
0.7080,-0.1088,0.9585,0.1537,0.98
0.7120,-0.1087,0.9584,0.1533,0.98
0.7160,-0.1086,0.9583,0.1531,0.98
0.7200,-0.1086,0.9582,0.1528,0.98
0.7240,-0.1086,0.9582,0.1526,0.98
0.7280,-0.1087,0.9582,0.1523,0.98
0.7320,-0.1088,0.9583,0.1521,0.98
0.7360,-0.1088,0.9586,0.1519,0.98
0.7400,-0.1089,0.9589,0.1517,0.98
0.7440,-0.1089,0.9592,0.1514,0.98
0.7480,-0.1089,0.9595,0.1511,0.98
0.7510,-0.1089,0.9597,0.1510,0.98
0.7550,-0.1090,0.9599,0.1508,0.98
0.7590,-0.1091,0.9600,0.1506,0.98
0.7630,-0.1093,0.9602,0.1504,0.98
0.7680,-0.1094,0.9601,0.1503,0.98
0.7710,-0.1094,0.9601,0.1501,0.98
0.7750,-0.1093,0.9600,0.1499,0.98
0.7790,-0.1092,0.9598,0.1496,0.98
0.7830,-0.1092,0.9597,0.1494,0.98
0.7860,-0.1093,0.9596,0.1491,0.98
0.7900,-0.1095,0.9596,0.1489,0.98
0.7950,-0.1099,0.9597,0.1486,0.98
0.7990,-0.1103,0.9598,0.1483,0.98
0.8060,-0.1107,0.9600,0.1480,0.98
0.8070,-0.1111,0.9601,0.1479,0.98
0.8120,-0.1115,0.9601,0.1476,0.98
0.8140,-0.1117,0.9599,0.1474,0.98
0.8240,-0.1120,0.9596,0.1472,0.98
0.8240,-0.1122,0.9593,0.1469,0.98
0.8260,-0.1124,0.9590,0.1467,0.98
0.8300,-0.1125,0.9587,0.1465,0.98
0.8350,-0.1127,0.9586,0.1464,0.98
0.8380,-0.1128,0.9586,0.1464,0.98
0.8420,-0.1129,0.9589,0.1463,0.98
0.8460,-0.1131,0.9592,0.1463,0.98
0.8500,-0.1134,0.9596,0.1462,0.98
0.8540,-0.1138,0.9601,0.1460,0.98
0.8580,-0.1143,0.9604,0.1459,0.98
0.8620,-0.1147,0.9608,0.1458,0.98
0.8660,-0.1151,0.9610,0.1458,0.98
0.8700,-0.1153,0.9612,0.1459,0.98
0.8740,-0.1155,0.9613,0.1459,0.98
0.8940,-0.1156,0.9613,0.1459,0.98
0.8950,-0.1157,0.9612,0.1459,0.98
0.8950,-0.1156,0.9611,0.1459,0.98
0.8950,-0.1155,0.9611,0.1458,0.98
0.8950,-0.1153,0.9610,0.1457,0.98
0.8980,-0.1150,0.9609,0.1456,0.98
0.9020,-0.1147,0.9609,0.1455,0.98
0.9050,-0.1144,0.9608,0.1453,0.98
0.9090,-0.1142,0.9608,0.1453,0.98
0.9130,-0.1141,0.9608,0.1452,0.98
0.9170,-0.1140,0.9609,0.1451,0.98
0.9260,-0.1140,0.9611,0.1452,0.98
0.9260,-0.1142,0.9612,0.1452,0.98
0.9290,-0.1143,0.9614,0.1452,0.98
0.9340,-0.1146,0.9615,0.1452,0.98
0.9420,-0.1148,0.9616,0.1452,0.98
0.9420,-0.1149,0.9614,0.1451,0.98
