time,gFx,gFy,gFz,TgF
0.3110,0.3877,-0.8286,0.3885,0.99
0.3120,0.3881,-0.8283,0.3881,0.99
0.3120,0.3884,-0.8281,0.3877,0.99
0.3120,0.3888,-0.8279,0.3876,0.99
0.3130,0.3892,-0.8277,0.3875,0.99
0.3130,0.3895,-0.8276,0.3874,0.99
0.3140,0.3898,-0.8274,0.3874,0.99
0.3140,0.3900,-0.8273,0.3875,0.99
0.3140,0.3901,-0.8271,0.3875,0.99
0.3140,0.3902,-0.8271,0.3876,0.99
0.3150,0.3903,-0.8271,0.3876,0.99
0.3150,0.3904,-0.8271,0.3875,0.99
0.3160,0.3905,-0.8271,0.3877,0.99
0.3160,0.3906,-0.8272,0.3878,0.99
0.3160,0.3906,-0.8271,0.3879,0.99
0.3170,0.3905,-0.8271,0.3878,0.99
0.3170,0.3905,-0.8270,0.3878,0.99
0.3180,0.3904,-0.8269,0.3879,0.99
0.3180,0.3903,-0.8269,0.3881,0.99
0.3180,0.3902,-0.8269,0.3882,0.99
0.3180,0.3901,-0.8269,0.3884,0.99
0.3190,0.3899,-0.8270,0.3886,0.99
0.3190,0.3898,-0.8271,0.3888,0.99
0.3190,0.3896,-0.8271,0.3891,0.99
0.3190,0.3895,-0.8271,0.3893,0.99
0.3200,0.3893,-0.8271,0.3895,0.99
0.3200,0.3892,-0.8271,0.3896,0.99
0.3200,0.3893,-0.8271,0.3896,0.99
0.3200,0.3893,-0.8271,0.3897,0.99
0.3210,0.3892,-0.8270,0.3897,0.99
0.3210,0.3892,-0.8270,0.3897,0.99
0.3210,0.3892,-0.8271,0.3896,0.99
0.3220,0.3892,-0.8271,0.3895,0.99
0.3220,0.3893,-0.8271,0.3894,0.99
0.3220,0.3893,-0.8271,0.3894,0.99
0.3220,0.3893,-0.8272,0.3895,0.99
0.3230,0.3892,-0.8272,0.3896,0.99
0.3230,0.3891,-0.8272,0.3896,0.99
0.3230,0.3891,-0.8272,0.3896,0.99
0.3230,0.3890,-0.8272,0.3895,0.99
0.3240,0.3891,-0.8271,0.3894,0.99
0.3240,0.3891,-0.8271,0.3893,0.99
0.3240,0.3891,-0.8271,0.3893,0.99
0.3240,0.3891,-0.8271,0.3894,0.99
0.3250,0.3892,-0.8271,0.3893,0.99
0.3250,0.3892,-0.8271,0.3893,0.99
0.3260,0.3891,-0.8271,0.3894,0.99
0.3260,0.3890,-0.8271,0.3894,0.99
