time,gFx,gFy,gFz,TgF
0.0480,0.4649,-0.7849,0.4139,1.00
0.0480,0.4646,-0.7853,0.4131,1.00
0.0480,0.4643,-0.7859,0.4122,1.00
0.0490,0.4643,-0.7866,0.4112,1.00
0.0490,0.4644,-0.7877,0.4104,1.00
0.0490,0.4646,-0.7888,0.4097,1.00
0.0490,0.4648,-0.7900,0.4091,1.00
0.0490,0.4650,-0.7912,0.4086,1.00
0.0500,0.4652,-0.7922,0.4081,1.01
0.0510,0.4654,-0.7930,0.4077,1.01
0.0510,0.4655,-0.7936,0.4075,1.01
0.0510,0.4657,-0.7939,0.4072,1.01
0.0510,0.4659,-0.7940,0.4068,1.01
0.0510,0.4660,-0.7938,0.4062,1.01
0.0520,0.4661,-0.7935,0.4056,1.01
0.0520,0.4661,-0.7930,0.4050,1.01
0.0520,0.4661,-0.7924,0.4045,1.00
0.0530,0.4661,-0.7917,0.4038,1.00
0.0530,0.4662,-0.7912,0.4032,1.00
0.0530,0.4664,-0.7909,0.4027,1.00
0.0530,0.4667,-0.7906,0.4023,1.00
0.0530,0.4671,-0.7905,0.4019,1.00
0.0540,0.4677,-0.7905,0.4015,1.00
0.0550,0.4682,-0.7906,0.4011,1.00
0.0550,0.4689,-0.7906,0.4008,1.00
0.0550,0.4696,-0.7907,0.4005,1.00
0.0560,0.4703,-0.7907,0.4002,1.00
0.0560,0.4712,-0.7906,0.3998,1.00
0.0560,0.4719,-0.7904,0.3995,1.00
0.0560,0.4726,-0.7902,0.3992,1.00
0.0660,0.4732,-0.7900,0.3988,1.00
0.0660,0.4738,-0.7897,0.3984,1.00
0.0660,0.4745,-0.7894,0.3981,1.00
0.0710,0.4752,-0.7893,0.3977,1.00
0.0800,0.4760,-0.7892,0.3975,1.00
0.0800,0.4767,-0.7893,0.3975,1.00
0.0830,0.4775,-0.7895,0.3976,1.00
0.0860,0.4781,-0.7898,0.3978,1.01
0.1030,0.4787,-0.7901,0.3981,1.01
0.1030,0.4791,-0.7904,0.3985,1.01
0.1030,0.4794,-0.7907,0.3989,1.01
0.1040,0.4797,-0.7910,0.3993,1.01
0.1060,0.4798,-0.7912,0.3996,1.01
0.1290,0.4798,-0.7914,0.3999,1.01
0.1300,0.4799,-0.7915,0.4001,1.01
0.1300,0.4799,-0.7914,0.4003,1.01
0.1300,0.4799,-0.7912,0.4003,1.01
0.1300,0.4799,-0.7910,0.4000,1.01
0.1310,0.4800,-0.7907,0.3996,1.01
0.1370,0.4800,-0.7906,0.3990,1.01
0.1370,0.4801,-0.7904,0.3985,1.01
0.1490,0.4801,-0.7905,0.3978,1.01
0.1500,0.4801,-0.7905,0.3972,1.01
0.1500,0.4802,-0.7906,0.3967,1.01
0.1540,0.4802,-0.7908,0.3962,1.01
0.1670,0.4802,-0.7910,0.3960,1.01
0.1670,0.4801,-0.7914,0.3958,1.01
0.1670,0.4800,-0.7918,0.3959,1.01
0.1700,0.4800,-0.7921,0.3960,1.01
0.1730,0.4799,-0.7925,0.3960,1.01
0.1830,0.4798,-0.7927,0.3960,1.01
0.1830,0.4797,-0.7927,0.3959,1.01
0.1850,0.4796,-0.7926,0.3957,1.01
0.1920,0.4794,-0.7925,0.3952,1.01
0.2100,0.4791,-0.7921,0.3945,1.01
0.2110,0.4787,-0.7917,0.3937,1.01
0.2110,0.4783,-0.7911,0.3928,1.00
0.2110,0.4779,-0.7906,0.3919,1.00
0.2110,0.4775,-0.7901,0.3910,1.00
0.2170,0.4774,-0.7897,0.3902,1.00
0.2180,0.4773,-0.7894,0.3893,1.00
