time,gFx,gFy,gFz,TgF
0.3220,0.6003,-0.8104,0.1401,1.02
0.3220,0.6007,-0.8103,0.1398,1.02
0.3230,0.6012,-0.8102,0.1396,1.02
0.3230,0.6016,-0.8099,0.1394,1.02
0.3230,0.6023,-0.8097,0.1392,1.02
0.3240,0.6029,-0.8095,0.1390,1.02
0.3240,0.6035,-0.8094,0.1389,1.02
0.3240,0.6042,-0.8094,0.1387,1.02
0.3240,0.6047,-0.8096,0.1386,1.02
0.3250,0.6054,-0.8098,0.1385,1.02
0.3250,0.6061,-0.8101,0.1384,1.02
0.3250,0.6069,-0.8105,0.1384,1.02
0.3250,0.6076,-0.8109,0.1383,1.02
0.3250,0.6082,-0.8114,0.1383,1.02
0.3260,0.6087,-0.8117,0.1382,1.02
0.3260,0.6093,-0.8119,0.1382,1.02
0.3260,0.6097,-0.8121,0.1382,1.02
0.3260,0.6100,-0.8121,0.1381,1.03
0.3270,0.6102,-0.8121,0.1380,1.03
0.3270,0.6103,-0.8120,0.1379,1.03
0.3270,0.6103,-0.8118,0.1378,1.02
0.3280,0.6102,-0.8116,0.1376,1.02
0.3280,0.6100,-0.8114,0.1373,1.02
0.3280,0.6097,-0.8112,0.1372,1.02
0.3280,0.6093,-0.8110,0.1371,1.02
0.3290,0.6089,-0.8108,0.1370,1.02
0.3290,0.6084,-0.8106,0.1370,1.02
0.3290,0.6079,-0.8105,0.1370,1.02
0.3290,0.6074,-0.8103,0.1369,1.02
0.3300,0.6068,-0.8102,0.1369,1.02
0.3300,0.6061,-0.8102,0.1369,1.02
0.3300,0.6054,-0.8102,0.1370,1.02
0.3300,0.6045,-0.8102,0.1371,1.02
0.3310,0.6037,-0.8102,0.1372,1.02
0.3310,0.6030,-0.8102,0.1373,1.02
0.3310,0.6023,-0.8102,0.1374,1.02
0.3320,0.6016,-0.8101,0.1375,1.02
0.3320,0.6010,-0.8100,0.1377,1.02
0.3320,0.6005,-0.8099,0.1378,1.02
0.3320,0.6001,-0.8098,0.1379,1.02
0.3320,0.5999,-0.8097,0.1379,1.02
0.3330,0.5997,-0.8096,0.1380,1.02
0.3330,0.5997,-0.8096,0.1380,1.02
0.3330,0.5998,-0.8096,0.1381,1.02
0.3330,0.6001,-0.8096,0.1381,1.02
0.3340,0.6006,-0.8096,0.1379,1.02
0.3340,0.6011,-0.8096,0.1378,1.02
0.3340,0.6017,-0.8096,0.1377,1.02
0.3340,0.6022,-0.8096,0.1376,1.02
0.3350,0.6027,-0.8097,0.1375,1.02
0.3350,0.6031,-0.8097,0.1375,1.02
0.3350,0.6036,-0.8097,0.1375,1.02
0.3360,0.6039,-0.8096,0.1374,1.02
0.3360,0.6043,-0.8095,0.1373,1.02
0.3360,0.6046,-0.8094,0.1372,1.02
0.3360,0.6049,-0.8092,0.1370,1.02
0.3370,0.6051,-0.8090,0.1369,1.02
0.3370,0.6052,-0.8089,0.1367,1.02
0.3370,0.6052,-0.8087,0.1365,1.02
0.3370,0.6052,-0.8085,0.1363,1.02
0.3380,0.6053,-0.8084,0.1361,1.02
0.3380,0.6053,-0.8082,0.1359,1.02
0.3380,0.6053,-0.8081,0.1357,1.02
0.3380,0.6053,-0.8080,0.1355,1.02
0.3380,0.6054,-0.8080,0.1352,1.02
0.3390,0.6054,-0.8080,0.1351,1.02
0.3390,0.6055,-0.8080,0.1349,1.02
0.3390,0.6055,-0.8080,0.1349,1.02
0.3400,0.6056,-0.8082,0.1349,1.02
0.3400,0.6057,-0.8082,0.1350,1.02
0.3400,0.6058,-0.8083,0.1351,1.02
0.3400,0.6059,-0.8085,0.1352,1.02
0.3410,0.6059,-0.8086,0.1353,1.02
0.3410,0.6059,-0.8087,0.1354,1.02
0.3410,0.6059,-0.8088,0.1354,1.02
0.3410,0.6060,-0.8088,0.1353,1.02
0.3420,0.6061,-0.8087,0.1353,1.02
0.3420,0.6061,-0.8087,0.1353,1.02
0.3420,0.6062,-0.8087,0.1353,1.02
0.3430,0.6064,-0.8086,0.1353,1.02
0.3430,0.6065,-0.8086,0.1352,1.02
0.3430,0.6066,-0.8085,0.1353,1.02
0.3570,0.6066,-0.8085,0.1355,1.02
0.3570,0.6067,-0.8085,0.1355,1.02
