time,gFx,gFy,gFz,TgF
0.0350,0.5683,-0.8469,-0.0877,1.02
0.0350,0.5683,-0.8470,-0.0875,1.02
0.0360,0.5683,-0.8469,-0.0873,1.02
0.0360,0.5684,-0.8469,-0.0873,1.02
0.0360,0.5687,-0.8470,-0.0872,1.02
0.0360,0.5689,-0.8471,-0.0871,1.02
0.0370,0.5690,-0.8471,-0.0870,1.02
0.0370,0.5693,-0.8472,-0.0868,1.02
0.0370,0.5697,-0.8472,-0.0867,1.02
0.0380,0.5699,-0.8474,-0.0866,1.02
0.0380,0.5700,-0.8475,-0.0865,1.02
0.0380,0.5700,-0.8475,-0.0866,1.03
0.0390,0.5702,-0.8476,-0.0867,1.03
0.0390,0.5702,-0.8477,-0.0867,1.03
0.0390,0.5702,-0.8479,-0.0867,1.03
0.0390,0.5702,-0.8479,-0.0867,1.03
0.0390,0.5702,-0.8479,-0.0868,1.03
0.0400,0.5701,-0.8478,-0.0869,1.03
0.0400,0.5700,-0.8476,-0.0871,1.03
0.0400,0.5698,-0.8475,-0.0873,1.02
0.0400,0.5696,-0.8473,-0.0874,1.02
0.0410,0.5695,-0.8471,-0.0876,1.02
0.0410,0.5692,-0.8470,-0.0877,1.02
0.0410,0.5691,-0.8469,-0.0878,1.02
0.0420,0.5688,-0.8468,-0.0879,1.02
0.0420,0.5686,-0.8468,-0.0879,1.02
0.0420,0.5685,-0.8469,-0.0880,1.02
0.0430,0.5685,-0.8469,-0.0879,1.02
0.0430,0.5686,-0.8470,-0.0877,1.02
0.0430,0.5688,-0.8470,-0.0876,1.02
0.0430,0.5691,-0.8471,-0.0875,1.02
0.0440,0.5695,-0.8472,-0.0874,1.02
0.0440,0.5698,-0.8472,-0.0874,1.02
0.0440,0.5702,-0.8472,-0.0874,1.02
0.0440,0.5706,-0.8471,-0.0874,1.03
0.0450,0.5710,-0.8472,-0.0875,1.03
0.0450,0.5714,-0.8472,-0.0877,1.03
0.0450,0.5715,-0.8472,-0.0880,1.03
0.0450,0.5717,-0.8471,-0.0883,1.03
0.0460,0.5716,-0.8470,-0.0887,1.03
0.0460,0.5715,-0.8468,-0.0891,1.03
0.0460,0.5713,-0.8467,-0.0893,1.03
0.0460,0.5709,-0.8465,-0.0894,1.02
0.0470,0.5705,-0.8464,-0.0894,1.02
0.0470,0.5701,-0.8462,-0.0895,1.02
0.0470,0.5696,-0.8461,-0.0896,1.02
0.0480,0.5691,-0.8459,-0.0896,1.02
0.0480,0.5688,-0.8457,-0.0896,1.02
0.0480,0.5685,-0.8455,-0.0896,1.02
0.0480,0.5683,-0.8455,-0.0894,1.02
0.0520,0.5682,-0.8456,-0.0892,1.02
0.0540,0.5681,-0.8456,-0.0890,1.02
0.0580,0.5681,-0.8458,-0.0888,1.02
0.0620,0.5683,-0.8459,-0.0886,1.02
0.0660,0.5685,-0.8461,-0.0887,1.02
0.0790,0.5687,-0.8463,-0.0887,1.02
0.0790,0.5689,-0.8464,-0.0888,1.02
0.0800,0.5690,-0.8465,-0.0888,1.02
0.0810,0.5691,-0.8466,-0.0889,1.02
0.0950,0.5692,-0.8466,-0.0890,1.02
0.0950,0.5693,-0.8466,-0.0890,1.02
0.0950,0.5694,-0.8466,-0.0892,1.02
0.0970,0.5695,-0.8466,-0.0893,1.02
0.1250,0.5695,-0.8467,-0.0893,1.02
0.1250,0.5695,-0.8466,-0.0894,1.02
0.1260,0.5695,-0.8465,-0.0895,1.02
0.1260,0.5695,-0.8465,-0.0894,1.02
0.1260,0.5696,-0.8465,-0.0895,1.02
0.1260,0.5698,-0.8466,-0.0896,1.02
0.1260,0.5699,-0.8465,-0.0897,1.02
0.1290,0.5699,-0.8466,-0.0899,1.02
0.1460,0.5700,-0.8467,-0.0900,1.02
0.1470,0.5700,-0.8468,-0.0901,1.02
0.1480,0.5699,-0.8468,-0.0901,1.02
0.1480,0.5698,-0.8469,-0.0902,1.02
0.1480,0.5697,-0.8470,-0.0903,1.02
0.1560,0.5696,-0.8470,-0.0905,1.02
0.1560,0.5695,-0.8469,-0.0907,1.02
0.1630,0.5694,-0.8468,-0.0909,1.02
0.1630,0.5693,-0.8467,-0.0911,1.02
0.1700,0.5693,-0.8466,-0.0912,1.02
0.1710,0.5693,-0.8465,-0.0914,1.02
0.1750,0.5693,-0.8464,-0.0915,1.02
0.1790,0.5692,-0.8464,-0.0917,1.02
0.1840,0.5690,-0.8463,-0.0916,1.02
0.1880,0.5689,-0.8463,-0.0916,1.02
0.1910,0.5688,-0.8463,-0.0914,1.02
0.1950,0.5686,-0.8462,-0.0914,1.02
0.2000,0.5684,-0.8462,-0.0912,1.02
0.2120,0.5684,-0.8461,-0.0911,1.02
0.2130,0.5683,-0.8460,-0.0910,1.02
0.2130,0.5683,-0.8459,-0.0910,1.02
0.2140,0.5682,-0.8458,-0.0910,1.02
0.2210,0.5683,-0.8457,-0.0910,1.02
0.2230,0.5684,-0.8457,-0.0909,1.02
0.2270,0.5685,-0.8456,-0.0908,1.02
0.2300,0.5686,-0.8456,-0.0909,1.02
0.2360,0.5687,-0.8455,-0.0908,1.02
0.2380,0.5686,-0.8456,-0.0907,1.02
0.2420,0.5686,-0.8455,-0.0907,1.02
0.2650,0.5685,-0.8455,-0.0907,1.02
0.2650,0.5684,-0.8456,-0.0907,1.02
0.2660,0.5683,-0.8457,-0.0907,1.02
0.2660,0.5682,-0.8458,-0.0909,1.02
0.2660,0.5681,-0.8460,-0.0909,1.02
0.2660,0.5680,-0.8461,-0.0911,1.02
0.2700,0.5680,-0.8462,-0.0910,1.02
0.2740,0.5682,-0.8464,-0.0911,1.02
0.2780,0.5684,-0.8466,-0.0912,1.02
0.2820,0.5685,-0.8468,-0.0914,1.02
0.2860,0.5685,-0.8470,-0.0916,1.02
0.2890,0.5684,-0.8470,-0.0918,1.02
0.2930,0.5685,-0.8471,-0.0921,1.02
0.2980,0.5687,-0.8471,-0.0923,1.02
0.3030,0.5688,-0.8470,-0.0927,1.02
