time,gFx,gFy,gFz,TgF
0.0230,0.3474,-0.9296,0.1207,1.00
0.0230,0.3472,-0.9293,0.1213,1.00
0.0240,0.3469,-0.9292,0.1217,1.00
0.0240,0.3470,-0.9292,0.1220,1.00
0.0240,0.3471,-0.9294,0.1220,1.00
0.0240,0.3472,-0.9298,0.1219,1.00
0.0250,0.3474,-0.9302,0.1217,1.00
0.0250,0.3477,-0.9306,0.1215,1.00
0.0250,0.3478,-0.9309,0.1214,1.00
0.0300,0.3480,-0.9311,0.1214,1.00
0.0370,0.3482,-0.9311,0.1213,1.00
0.0370,0.3484,-0.9309,0.1212,1.00
0.0420,0.3486,-0.9306,0.1209,1.00
0.0530,0.3486,-0.9302,0.1206,1.00
0.0530,0.3484,-0.9297,0.1202,1.00
0.0530,0.3484,-0.9293,0.1200,1.00
0.0570,0.3483,-0.9289,0.1197,1.00
0.0610,0.3484,-0.9285,0.1195,1.00
0.0650,0.3487,-0.9282,0.1192,1.00
0.0690,0.3490,-0.9281,0.1190,1.00
0.0730,0.3493,-0.9282,0.1188,1.00
0.0770,0.3498,-0.9284,0.1185,1.00
0.0810,0.3501,-0.9287,0.1185,1.00
0.0840,0.3505,-0.9291,0.1186,1.00
0.0880,0.3511,-0.9294,0.1188,1.00
0.0930,0.3517,-0.9297,0.1191,1.00
0.0970,0.3523,-0.9299,0.1194,1.00
0.1000,0.3527,-0.9299,0.1197,1.00
0.1040,0.3533,-0.9298,0.1200,1.00
0.1090,0.3538,-0.9296,0.1204,1.00
0.1130,0.3542,-0.9294,0.1208,1.00
0.1160,0.3544,-0.9292,0.1213,1.00
0.1200,0.3545,-0.9290,0.1217,1.00
0.1240,0.3545,-0.9286,0.1220,1.00
0.1280,0.3547,-0.9281,0.1224,1.00
0.1400,0.3549,-0.9275,0.1228,1.00
0.1400,0.3549,-0.9271,0.1232,1.00
0.1400,0.3548,-0.9267,0.1235,1.00
0.1440,0.3545,-0.9263,0.1238,1.00
0.1480,0.3541,-0.9261,0.1241,1.00
0.1510,0.3538,-0.9261,0.1243,1.00
0.1550,0.3536,-0.9262,0.1246,1.00
0.1600,0.3535,-0.9264,0.1248,1.00
0.1720,0.3537,-0.9269,0.1249,1.00
0.1720,0.3542,-0.9275,0.1250,1.00
0.1720,0.3548,-0.9281,0.1251,1.00
0.1750,0.3554,-0.9287,0.1252,1.00
0.1810,0.3560,-0.9291,0.1254,1.00
0.1830,0.3567,-0.9293,0.1253,1.00
0.1870,0.3575,-0.9293,0.1252,1.00
0.1910,0.3582,-0.9292,0.1250,1.00
0.1950,0.3589,-0.9290,0.1247,1.00
0.1980,0.3595,-0.9286,0.1244,1.00
0.2020,0.3602,-0.9283,0.1241,1.00
0.2060,0.3607,-0.9280,0.1239,1.00
0.2110,0.3610,-0.9277,0.1237,1.00
0.2150,0.3612,-0.9275,0.1237,1.00
0.2180,0.3613,-0.9273,0.1239,1.00
0.2220,0.3613,-0.9273,0.1242,1.00
0.2260,0.3613,-0.9273,0.1244,1.00
0.2310,0.3614,-0.9272,0.1243,1.00
0.2340,0.3613,-0.9272,0.1241,1.00
0.2380,0.3613,-0.9273,0.1237,1.00
0.2420,0.3612,-0.9275,0.1234,1.00
0.2470,0.3611,-0.9277,0.1230,1.00
0.2500,0.3609,-0.9279,0.1225,1.00
0.2530,0.3607,-0.9283,0.1222,1.00
0.2580,0.3604,-0.9287,0.1219,1.00
0.2610,0.3601,-0.9290,0.1218,1.00
0.2660,0.3599,-0.9293,0.1218,1.00
0.2690,0.3595,-0.9296,0.1220,1.00
0.2740,0.3591,-0.9298,0.1221,1.00
0.2780,0.3585,-0.9301,0.1222,1.00
0.2820,0.3577,-0.9303,0.1223,1.00
0.2850,0.3569,-0.9305,0.1225,1.00
0.2890,0.3561,-0.9306,0.1227,1.00
0.2930,0.3554,-0.9306,0.1228,1.00
0.3060,0.3547,-0.9303,0.1229,1.00
0.3060,0.3543,-0.9301,0.1231,1.00
0.3060,0.3538,-0.9299,0.1232,1.00
0.3090,0.3534,-0.9296,0.1234,1.00
0.3240,0.3531,-0.9293,0.1236,1.00
0.3250,0.3529,-0.9290,0.1238,1.00
0.3250,0.3528,-0.9288,0.1239,1.00
0.3250,0.3529,-0.9287,0.1239,1.00
0.3280,0.3531,-0.9287,0.1238,1.00
0.3320,0.3535,-0.9288,0.1235,1.00
0.3360,0.3539,-0.9291,0.1231,1.00
0.3400,0.3543,-0.9294,0.1227,1.00
0.3440,0.3546,-0.9299,0.1225,1.00
0.3510,0.3549,-0.9303,0.1226,1.00
0.3510,0.3551,-0.9307,0.1229,1.00
0.3560,0.3554,-0.9311,0.1232,1.00
0.3590,0.3556,-0.9314,0.1234,1.00
0.3650,0.3557,-0.9315,0.1236,1.00
0.3680,0.3556,-0.9315,0.1237,1.00
0.3710,0.3553,-0.9313,0.1238,1.00
0.3760,0.3548,-0.9310,0.1238,1.00
0.3810,0.3541,-0.9306,0.1238,1.00
0.3830,0.3533,-0.9300,0.1235,1.00
0.3870,0.3524,-0.9294,0.1228,1.00
0.3910,0.3512,-0.9287,0.1217,1.00
0.3950,0.3498,-0.9278,0.1200,1.00
0.3990,0.3480,-0.9270,0.1178,1.00
0.4030,0.3456,-0.9262,0.1155,1.00
0.4070,0.3427,-0.9255,0.1136,0.99
0.4110,0.3395,-0.9248,0.1123,0.99
0.4150,0.3360,-0.9243,0.1116,0.99
0.4190,0.3325,-0.9240,0.1115,0.99
0.4230,0.3290,-0.9239,0.1118,0.99
0.4270,0.3256,-0.9240,0.1123,0.99
0.4320,0.3221,-0.9244,0.1128,0.99
0.4340,0.3182,-0.9250,0.1134,0.98
0.4380,0.3145,-0.9256,0.1137,0.98
0.4430,0.3111,-0.9262,0.1141,0.98
0.4530,0.3082,-0.9268,0.1139,0.98
0.4530,0.3062,-0.9272,0.1132,0.98
0.4540,0.3042,-0.9272,0.1125,0.98
0.4590,0.3006,-0.9269,0.1127,0.98
