time,gFx,gFy,gFz,TgF
0.2620,0.4951,-0.8522,0.2216,1.01
0.2620,0.4954,-0.8522,0.2214,1.01
0.2620,0.4956,-0.8522,0.2213,1.01
0.2630,0.4958,-0.8522,0.2213,1.01
0.2630,0.4960,-0.8521,0.2215,1.01
0.2630,0.4963,-0.8519,0.2217,1.01
0.2630,0.4967,-0.8517,0.2218,1.01
0.2640,0.4971,-0.8514,0.2219,1.01
0.2640,0.4974,-0.8511,0.2221,1.01
0.2640,0.4976,-0.8508,0.2222,1.01
0.2640,0.4977,-0.8505,0.2223,1.01
0.2650,0.4977,-0.8503,0.2224,1.01
0.2650,0.4976,-0.8500,0.2226,1.01
0.2650,0.4976,-0.8499,0.2229,1.01
0.2650,0.4975,-0.8498,0.2232,1.01
0.2660,0.4975,-0.8496,0.2234,1.01
0.2660,0.4976,-0.8496,0.2236,1.01
0.2660,0.4976,-0.8495,0.2235,1.01
0.2660,0.4976,-0.8494,0.2235,1.01
0.2670,0.4975,-0.8494,0.2234,1.01
0.2670,0.4975,-0.8495,0.2232,1.01
0.2670,0.4974,-0.8495,0.2231,1.01
0.2670,0.4974,-0.8495,0.2231,1.01
0.2670,0.4973,-0.8495,0.2232,1.01
0.2680,0.4972,-0.8496,0.2233,1.01
0.2680,0.4971,-0.8497,0.2237,1.01
0.2680,0.4970,-0.8497,0.2241,1.01
0.2680,0.4969,-0.8497,0.2243,1.01
0.2690,0.4969,-0.8497,0.2245,1.01
0.2690,0.4968,-0.8497,0.2245,1.01
0.2690,0.4966,-0.8497,0.2243,1.01
0.2690,0.4964,-0.8495,0.2241,1.01
0.2700,0.4962,-0.8494,0.2238,1.01
0.2700,0.4960,-0.8492,0.2236,1.01
0.2700,0.4958,-0.8491,0.2234,1.01
0.2700,0.4957,-0.8492,0.2234,1.01
0.2710,0.4956,-0.8493,0.2232,1.01
0.2710,0.4957,-0.8493,0.2230,1.01
0.2710,0.4958,-0.8494,0.2229,1.01
0.2710,0.4959,-0.8495,0.2228,1.01
0.2720,0.4960,-0.8495,0.2227,1.01
0.2750,0.4962,-0.8495,0.2227,1.01
0.2760,0.4964,-0.8495,0.2226,1.01
0.2760,0.4966,-0.8494,0.2225,1.01
0.2770,0.4967,-0.8494,0.2226,1.01
0.2770,0.4969,-0.8493,0.2228,1.01
0.2770,0.4969,-0.8493,0.2229,1.01
0.2780,0.4970,-0.8493,0.2230,1.01
0.2780,0.4972,-0.8494,0.2230,1.01
0.2780,0.4974,-0.8494,0.2230,1.01
0.2790,0.4978,-0.8496,0.2231,1.01
0.2790,0.4981,-0.8498,0.2232,1.01
