time,gFx,gFy,gFz,TgF
0.2670,-0.4541,-0.4437,0.6946,0.94
0.2670,-0.4540,-0.4433,0.6946,0.94
0.2670,-0.4541,-0.4429,0.6945,0.94
0.2680,-0.4542,-0.4426,0.6943,0.94
0.2680,-0.4543,-0.4422,0.6939,0.94
0.2680,-0.4542,-0.4418,0.6933,0.94
0.2680,-0.4538,-0.4415,0.6928,0.94
0.2690,-0.4534,-0.4411,0.6924,0.94
0.2690,-0.4530,-0.4409,0.6921,0.94
0.2690,-0.4524,-0.4406,0.6918,0.94
0.2690,-0.4519,-0.4403,0.6914,0.94
0.2700,-0.4514,-0.4400,0.6908,0.94
0.2700,-0.4509,-0.4398,0.6902,0.93
0.2700,-0.4505,-0.4397,0.6898,0.93
0.2700,-0.4499,-0.4396,0.6892,0.93
0.2710,-0.4495,-0.4395,0.6886,0.93
0.2710,-0.4492,-0.4395,0.6879,0.93
0.2710,-0.4490,-0.4395,0.6872,0.93
0.2710,-0.4490,-0.4397,0.6865,0.93
0.2720,-0.4492,-0.4401,0.6858,0.93
0.2720,-0.4498,-0.4405,0.6852,0.93
0.2720,-0.4508,-0.4411,0.6847,0.93
0.2720,-0.4519,-0.4418,0.6844,0.93
0.2730,-0.4531,-0.4424,0.6841,0.93
0.2730,-0.4542,-0.4431,0.6838,0.93
0.2730,-0.4551,-0.4439,0.6837,0.93
0.2740,-0.4559,-0.4446,0.6837,0.93
0.2740,-0.4568,-0.4454,0.6836,0.94
0.2740,-0.4578,-0.4462,0.6835,0.94
0.2740,-0.4589,-0.4470,0.6833,0.94
0.2750,-0.4598,-0.4478,0.6829,0.94
0.2750,-0.4603,-0.4485,0.6839,0.94
0.2750,-0.4604,-0.4492,0.6840,0.94
0.2750,-0.4603,-0.4497,0.6846,0.94
0.2750,-0.4603,-0.4501,0.6853,0.94
0.2760,-0.4598,-0.4504,0.6859,0.94
0.2760,-0.4589,-0.4505,0.6865,0.94
0.2760,-0.4579,-0.4505,0.6871,0.94
0.2760,-0.4573,-0.4504,0.6882,0.94
0.2770,-0.4570,-0.4503,0.6892,0.94
0.2770,-0.4568,-0.4501,0.6900,0.94
0.2800,-0.4569,-0.4498,0.6910,0.94
0.2810,-0.4569,-0.4493,0.6919,0.94
0.2810,-0.4572,-0.4486,0.6928,0.94
0.2820,-0.4578,-0.4479,0.6934,0.94
0.2820,-0.4585,-0.4472,0.6937,0.94
0.2820,-0.4590,-0.4465,0.6945,0.94
0.2820,-0.4592,-0.4458,0.6954,0.95
0.2830,-0.4597,-0.4455,0.6962,0.95
0.2830,-0.4603,-0.4454,0.6967,0.95
0.2830,-0.4610,-0.4456,0.6968,0.95
0.2830,-0.4616,-0.4457,0.6967,0.95
0.2840,-0.4625,-0.4459,0.6964,0.95
0.2840,-0.4635,-0.4463,0.6958,0.95
0.2840,-0.4642,-0.4466,0.6950,0.95
0.2850,-0.4645,-0.4467,0.6948,0.95
0.2850,-0.4644,-0.4468,0.6945,0.95
0.2850,-0.4640,-0.4469,0.6941,0.95
0.2860,-0.4631,-0.4469,0.6937,0.95
0.2860,-0.4619,-0.4468,0.6932,0.95
0.2860,-0.4604,-0.4465,0.6936,0.94
0.2860,-0.4588,-0.4464,0.6935,0.94
0.2870,-0.4573,-0.4463,0.6931,0.94
0.2870,-0.4561,-0.4462,0.6923,0.94
0.2870,-0.4543,-0.4460,0.6923,0.94
0.2870,-0.4525,-0.4460,0.6923,0.94
0.2880,-0.4508,-0.4460,0.6919,0.94
0.2880,-0.4486,-0.4459,0.6917,0.94
0.2880,-0.4457,-0.4456,0.6921,0.94
0.2890,-0.4425,-0.4451,0.6925,0.93
0.2890,-0.4395,-0.4444,0.6931,0.93
0.2890,-0.4368,-0.4437,0.6939,0.93
0.2900,-0.4343,-0.4429,0.6947,0.93
0.2900,-0.4315,-0.4419,0.6952,0.93
0.2900,-0.4285,-0.4406,0.6960,0.93
0.2900,-0.4249,-0.4391,0.6974,0.93
0.2940,-0.4217,-0.4376,0.6990,0.93
0.2970,-0.4189,-0.4359,0.7003,0.93
0.3100,-0.4160,-0.4343,0.7017,0.92
0.3100,-0.4131,-0.4327,0.7034,0.92
0.3110,-0.4101,-0.4311,0.7054,0.92
0.3350,-0.4074,-0.4299,0.7078,0.92
0.3370,-0.4052,-0.4290,0.7102,0.92
0.3380,-0.4038,-0.4283,0.7126,0.92
0.3380,-0.4020,-0.4276,0.7150,0.93
0.3380,-0.3999,-0.4269,0.7178,0.93
0.3390,-0.3982,-0.4265,0.7205,0.93
0.3390,-0.3970,-0.4261,0.7229,0.93
0.3640,-0.3960,-0.4258,0.7252,0.93
0.3650,-0.3953,-0.4257,0.7274,0.93
0.3650,-0.3952,-0.4255,0.7292,0.93
0.3650,-0.3960,-0.4254,0.7304,0.93
0.3650,-0.3967,-0.4251,0.7312,0.93
0.3660,-0.3971,-0.4247,0.7320,0.93
0.3660,-0.3966,-0.4243,0.7335,0.94
0.3720,-0.3951,-0.4238,0.7356,0.94
0.3730,-0.3933,-0.4235,0.7382,0.94
0.3760,-0.3909,-0.4233,0.7411,0.94
0.3800,-0.3887,-0.4231,0.7441,0.94
0.3860,-0.3870,-0.4231,0.7467,0.94
0.3880,-0.3859,-0.4231,0.7492,0.94
0.3920,-0.3854,-0.4230,0.7513,0.94
0.3950,-0.3849,-0.4228,0.7531,0.95
0.4000,-0.3841,-0.4224,0.7551,0.95
0.4040,-0.3826,-0.4219,0.7573,0.95
0.4080,-0.3810,-0.4215,0.7596,0.95
0.4110,-0.3794,-0.4211,0.7616,0.95
0.4160,-0.3781,-0.4209,0.7632,0.95
0.4280,-0.3768,-0.4208,0.7646,0.95
0.4280,-0.3752,-0.4205,0.7661,0.95
0.4280,-0.3736,-0.4203,0.7674,0.95
0.4310,-0.3721,-0.4200,0.7685,0.95
0.4370,-0.3708,-0.4198,0.7693,0.95
0.4390,-0.3695,-0.4195,0.7700,0.95
0.4430,-0.3680,-0.4191,0.7706,0.95
0.4470,-0.3664,-0.4185,0.7710,0.95
0.4500,-0.3648,-0.4178,0.7712,0.95
0.4640,-0.3636,-0.4171,0.7711,0.95
0.4640,-0.3624,-0.4162,0.7706,0.95
0.4650,-0.3612,-0.4151,0.7702,0.95
