time,gFx,gFy,gFz,TgF
0.0250,-0.4894,0.8301,-0.1310,0.97
0.0250,-0.4890,0.8300,-0.1310,0.97
0.0250,-0.4888,0.8299,-0.1308,0.97
0.0260,-0.4884,0.8296,-0.1308,0.97
0.0260,-0.4880,0.8295,-0.1306,0.97
0.0260,-0.4874,0.8294,-0.1306,0.97
0.0260,-0.4867,0.8295,-0.1304,0.97
0.0270,-0.4861,0.8297,-0.1304,0.97
0.0270,-0.4855,0.8300,-0.1305,0.97
0.0270,-0.4849,0.8302,-0.1306,0.97
0.0270,-0.4845,0.8304,-0.1306,0.97
0.0280,-0.4843,0.8305,-0.1306,0.97
0.0280,-0.4841,0.8306,-0.1306,0.97
0.0280,-0.4840,0.8308,-0.1308,0.97
0.0280,-0.4840,0.8310,-0.1311,0.97
0.0290,-0.4840,0.8313,-0.1316,0.97
0.0290,-0.4839,0.8315,-0.1321,0.97
0.0290,-0.4840,0.8317,-0.1327,0.97
0.0290,-0.4839,0.8318,-0.1334,0.97
0.0300,-0.4837,0.8319,-0.1339,0.97
0.0300,-0.4836,0.8319,-0.1344,0.97
0.0300,-0.4836,0.8318,-0.1347,0.97
0.0300,-0.4836,0.8317,-0.1348,0.97
0.0310,-0.4835,0.8316,-0.1347,0.97
0.0310,-0.4834,0.8314,-0.1345,0.97
0.0310,-0.4833,0.8312,-0.1342,0.97
0.0310,-0.4832,0.8311,-0.1339,0.97
0.0320,-0.4831,0.8309,-0.1336,0.97
0.0320,-0.4831,0.8308,-0.1333,0.97
0.0320,-0.4830,0.8307,-0.1331,0.97
0.0320,-0.4830,0.8306,-0.1329,0.97
0.0330,-0.4831,0.8305,-0.1327,0.97
0.0330,-0.4833,0.8305,-0.1324,0.97
0.0340,-0.4836,0.8305,-0.1322,0.97
0.0340,-0.4840,0.8304,-0.1319,0.97
0.0350,-0.4844,0.8302,-0.1316,0.97
0.0350,-0.4849,0.8301,-0.1314,0.97
0.0350,-0.4852,0.8299,-0.1312,0.97
0.0350,-0.4856,0.8298,-0.1310,0.97
0.0360,-0.4858,0.8297,-0.1310,0.97
0.0360,-0.4859,0.8297,-0.1312,0.97
0.0360,-0.4860,0.8298,-0.1313,0.97
0.0360,-0.4860,0.8299,-0.1316,0.97
0.0370,-0.4862,0.8300,-0.1319,0.97
0.0370,-0.4862,0.8302,-0.1321,0.97
0.0370,-0.4863,0.8303,-0.1321,0.97
0.0370,-0.4864,0.8304,-0.1321,0.97
0.0380,-0.4865,0.8304,-0.1319,0.97
0.0380,-0.4867,0.8305,-0.1317,0.97
0.0390,-0.4867,0.8305,-0.1314,0.97
0.0390,-0.4866,0.8305,-0.1311,0.97
0.0390,-0.4865,0.8305,-0.1306,0.97
0.0390,-0.4865,0.8304,-0.1302,0.97
0.0400,-0.4865,0.8304,-0.1297,0.97
0.0400,-0.4865,0.8300,-0.1292,0.97
0.0400,-0.4865,0.8297,-0.1289,0.97
0.0400,-0.4865,0.8295,-0.1289,0.97
0.0410,-0.4865,0.8293,-0.1289,0.97
0.0410,-0.4865,0.8291,-0.1290,0.97
0.0410,-0.4864,0.8288,-0.1292,0.97
0.0410,-0.4863,0.8285,-0.1296,0.97
0.0420,-0.4862,0.8281,-0.1298,0.97
0.0420,-0.4862,0.8277,-0.1301,0.97
0.0430,-0.4864,0.8275,-0.1304,0.97
0.0430,-0.4866,0.8273,-0.1307,0.97
0.0430,-0.4869,0.8273,-0.1312,0.97
0.0430,-0.4871,0.8273,-0.1316,0.97
0.0440,-0.4873,0.8273,-0.1318,0.97
0.0560,-0.4874,0.8275,-0.1319,0.97
0.0570,-0.4873,0.8276,-0.1318,0.97
0.0570,-0.4871,0.8278,-0.1315,0.97
0.0590,-0.4868,0.8280,-0.1313,0.97
0.0620,-0.4864,0.8283,-0.1309,0.97
0.0660,-0.4861,0.8287,-0.1305,0.97
