time,gFx,gFy,gFz,TgF
0.0350,0.4063,-0.6616,0.6131,0.99
0.0360,0.4058,-0.6616,0.6137,0.99
0.0360,0.4056,-0.6618,0.6139,0.99
0.0360,0.4055,-0.6621,0.6141,0.99
0.0370,0.4059,-0.6624,0.6144,0.99
0.0370,0.4062,-0.6627,0.6147,0.99
0.0380,0.4065,-0.6632,0.6148,0.99
0.0380,0.4063,-0.6638,0.6151,0.99
0.0380,0.4059,-0.6644,0.6156,0.99
0.0390,0.4053,-0.6650,0.6162,0.99
0.0390,0.4046,-0.6656,0.6167,0.99
0.0390,0.4040,-0.6660,0.6169,0.99
0.0400,0.4034,-0.6664,0.6170,0.99
0.0400,0.4029,-0.6666,0.6169,0.99
0.0400,0.4025,-0.6667,0.6166,0.99
0.0400,0.4021,-0.6669,0.6163,0.99
0.0410,0.4016,-0.6670,0.6159,0.99
0.0460,0.4011,-0.6670,0.6156,0.99
0.0470,0.4004,-0.6671,0.6153,0.99
0.0480,0.3995,-0.6670,0.6150,0.99
0.0510,0.3985,-0.6670,0.6149,0.99
0.0640,0.3973,-0.6668,0.6150,0.99
0.0650,0.3961,-0.6666,0.6150,0.99
0.0650,0.3948,-0.6665,0.6151,0.99
0.0670,0.3935,-0.6664,0.6152,0.99
0.0810,0.3926,-0.6665,0.6154,0.99
0.0810,0.3917,-0.6666,0.6155,0.99
0.0810,0.3912,-0.6668,0.6155,0.99
0.0820,0.3909,-0.6669,0.6156,0.99
0.0890,0.3907,-0.6669,0.6155,0.99
0.0950,0.3905,-0.6667,0.6154,0.99
0.0980,0.3902,-0.6664,0.6152,0.99
0.0980,0.3898,-0.6661,0.6149,0.99
0.1020,0.3894,-0.6659,0.6148,0.99
0.1090,0.3889,-0.6657,0.6148,0.99
0.1110,0.3887,-0.6657,0.6148,0.99
0.1140,0.3886,-0.6658,0.6148,0.99
0.1170,0.3885,-0.6659,0.6149,0.99
0.1230,0.3883,-0.6660,0.6149,0.99
0.1250,0.3883,-0.6662,0.6148,0.99
0.1290,0.3882,-0.6662,0.6147,0.99
0.1330,0.3880,-0.6662,0.6146,0.99
0.1390,0.3878,-0.6663,0.6144,0.99
0.1410,0.3877,-0.6664,0.6141,0.99
0.1450,0.3876,-0.6665,0.6139,0.99
0.1490,0.3874,-0.6666,0.6136,0.99
0.1530,0.3872,-0.6666,0.6135,0.99
0.1570,0.3869,-0.6666,0.6133,0.98
0.1610,0.3865,-0.6666,0.6132,0.98
0.1650,0.3860,-0.6666,0.6131,0.98
0.1690,0.3855,-0.6666,0.6132,0.98
0.1740,0.3850,-0.6666,0.6132,0.98
0.1770,0.3847,-0.6666,0.6132,0.98
0.1800,0.3843,-0.6666,0.6131,0.98
0.1870,0.3839,-0.6666,0.6131,0.98
0.1970,0.3835,-0.6665,0.6131,0.98
0.1970,0.3831,-0.6664,0.6134,0.98
0.1980,0.3827,-0.6665,0.6137,0.98
0.2000,0.3821,-0.6666,0.6140,0.98
0.2060,0.3817,-0.6667,0.6142,0.98
0.2080,0.3814,-0.6669,0.6144,0.98
0.2120,0.3810,-0.6671,0.6146,0.98
0.2160,0.3809,-0.6674,0.6148,0.98
0.2230,0.3808,-0.6676,0.6149,0.98
0.2240,0.3807,-0.6677,0.6150,0.98
0.2280,0.3806,-0.6678,0.6150,0.98
0.2310,0.3805,-0.6680,0.6152,0.98
0.2350,0.3802,-0.6681,0.6154,0.98
0.2400,0.3799,-0.6681,0.6155,0.98
0.2430,0.3794,-0.6681,0.6156,0.98
0.2470,0.3788,-0.6680,0.6157,0.98
0.2510,0.3782,-0.6680,0.6156,0.98
0.2560,0.3777,-0.6679,0.6157,0.98
0.2590,0.3772,-0.6679,0.6155,0.98
0.2630,0.3766,-0.6679,0.6153,0.98
0.2660,0.3761,-0.6679,0.6152,0.98
0.2730,0.3758,-0.6679,0.6150,0.98
0.2750,0.3752,-0.6680,0.6150,0.98
0.2780,0.3746,-0.6682,0.6152,0.98
0.2820,0.3740,-0.6685,0.6152,0.98
0.2880,0.3734,-0.6687,0.6154,0.98
0.2900,0.3730,-0.6690,0.6155,0.98
0.2940,0.3727,-0.6694,0.6156,0.98
0.2980,0.3725,-0.6698,0.6156,0.98
0.3020,0.3721,-0.6700,0.6156,0.98
0.3120,0.3715,-0.6703,0.6156,0.98
0.3130,0.3712,-0.6703,0.6153,0.98
0.3140,0.3707,-0.6703,0.6152,0.98
0.3180,0.3703,-0.6701,0.6149,0.98
0.3320,0.3699,-0.6699,0.6147,0.98
0.3320,0.3693,-0.6698,0.6144,0.98
0.3320,0.3687,-0.6697,0.6142,0.98
0.3340,0.3683,-0.6697,0.6140,0.98
0.3470,0.3680,-0.6697,0.6140,0.98
0.3480,0.3677,-0.6699,0.6140,0.98
