time,gFx,gFy,gFz,TgF
0.1970,0.2350,0.9685,-0.0574,1.00
0.1970,0.2354,0.9684,-0.0571,1.00
0.1970,0.2353,0.9679,-0.0560,1.00
0.1980,0.2349,0.9672,-0.0542,1.00
0.1980,0.2339,0.9664,-0.0521,1.00
0.1980,0.2324,0.9655,-0.0498,0.99
0.1980,0.2302,0.9645,-0.0477,0.99
0.1990,0.2273,0.9637,-0.0460,0.99
0.1990,0.2238,0.9632,-0.0458,0.99
0.1990,0.2214,0.9629,-0.0472,0.99
0.1990,0.2186,0.9630,-0.0496,0.99
0.2000,0.2165,0.9634,-0.0532,0.99
0.2000,0.2153,0.9642,-0.0571,0.99
0.2000,0.2151,0.9651,-0.0614,0.99
0.2000,0.2154,0.9662,-0.0658,0.99
0.2010,0.2161,0.9675,-0.0692,0.99
0.2010,0.2165,0.9687,-0.0711,1.00
0.2010,0.2169,0.9696,-0.0717,1.00
0.2010,0.2175,0.9702,-0.0712,1.00
0.2010,0.2180,0.9702,-0.0699,1.00
0.2020,0.2185,0.9699,-0.0679,1.00
0.2020,0.2189,0.9692,-0.0655,1.00
0.2020,0.2191,0.9683,-0.0628,0.99
0.2030,0.2189,0.9673,-0.0599,0.99
0.2030,0.2183,0.9663,-0.0571,0.99
0.2030,0.2172,0.9652,-0.0546,0.99
0.2030,0.2156,0.9642,-0.0525,0.99
0.2040,0.2135,0.9634,-0.0509,0.99
0.2040,0.2111,0.9627,-0.0500,0.99
0.2050,0.2082,0.9623,-0.0499,0.99
0.2050,0.2052,0.9619,-0.0507,0.98
0.2050,0.2023,0.9619,-0.0521,0.98
0.2050,0.1999,0.9621,-0.0541,0.98
0.2060,0.1982,0.9627,-0.0565,0.98
0.2060,0.1974,0.9635,-0.0590,0.99
0.2060,0.1974,0.9644,-0.0614,0.99
0.2070,0.1982,0.9655,-0.0633,0.99
0.2070,0.1996,0.9665,-0.0648,0.99
0.2070,0.2014,0.9674,-0.0656,0.99
0.2080,0.2032,0.9679,-0.0656,0.99
0.2080,0.2050,0.9682,-0.0649,0.99
0.2080,0.2065,0.9682,-0.0636,0.99
0.2080,0.2075,0.9679,-0.0617,0.99
0.2090,0.2081,0.9674,-0.0597,0.99
0.2090,0.2081,0.9668,-0.0575,0.99
0.2090,0.2076,0.9661,-0.0555,0.99
0.2090,0.2066,0.9655,-0.0539,0.99
0.2100,0.2051,0.9650,-0.0526,0.99
0.2100,0.2033,0.9646,-0.0518,0.99
0.2100,0.2017,0.9644,-0.0516,0.99
0.2100,0.2003,0.9644,-0.0520,0.99
0.2110,0.1995,0.9646,-0.0528,0.99
0.2110,0.1993,0.9651,-0.0539,0.99
0.2110,0.1998,0.9656,-0.0548,0.99
0.2110,0.2008,0.9664,-0.0557,0.99
0.2120,0.2024,0.9671,-0.0562,0.99
0.2150,0.2041,0.9677,-0.0563,0.99
0.2190,0.2060,0.9681,-0.0560,0.99
0.2230,0.2077,0.9683,-0.0551,0.99
0.2260,0.2092,0.9683,-0.0541,0.99
0.2300,0.2102,0.9680,-0.0529,0.99
0.2340,0.2108,0.9675,-0.0516,0.99
0.2470,0.2109,0.9669,-0.0504,0.99
0.2480,0.2106,0.9664,-0.0494,0.99
0.2480,0.2099,0.9658,-0.0486,0.99
0.2500,0.2088,0.9653,-0.0479,0.99
0.2550,0.2073,0.9649,-0.0477,0.99
