time,gFx,gFy,gFz,TgF
0.1990,0.0671,0.9498,-0.2695,0.99
0.1990,0.0668,0.9491,-0.2686,0.99
0.1990,0.0662,0.9487,-0.2676,0.99
0.1990,0.0656,0.9484,-0.2667,0.99
0.2000,0.0650,0.9483,-0.2658,0.99
0.2000,0.0644,0.9482,-0.2652,0.99
0.2000,0.0640,0.9481,-0.2645,0.99
0.2000,0.0636,0.9480,-0.2639,0.99
0.2010,0.0632,0.9478,-0.2634,0.99
0.2010,0.0628,0.9476,-0.2626,0.99
0.2010,0.0622,0.9474,-0.2619,0.98
0.2010,0.0615,0.9473,-0.2610,0.98
0.2020,0.0606,0.9471,-0.2603,0.98
0.2020,0.0597,0.9468,-0.2596,0.98
0.2020,0.0588,0.9465,-0.2589,0.98
0.2030,0.0578,0.9464,-0.2580,0.98
0.2030,0.0569,0.9463,-0.2570,0.98
0.2030,0.0562,0.9462,-0.2561,0.98
0.2030,0.0556,0.9462,-0.2548,0.98
0.2040,0.0553,0.9461,-0.2536,0.98
0.2040,0.0552,0.9458,-0.2526,0.98
0.2040,0.0553,0.9455,-0.2514,0.98
0.2040,0.0557,0.9451,-0.2503,0.98
0.2050,0.0563,0.9448,-0.2493,0.98
0.2050,0.0569,0.9444,-0.2484,0.98
0.2060,0.0576,0.9443,-0.2477,0.98
0.2060,0.0581,0.9441,-0.2470,0.98
0.2060,0.0584,0.9441,-0.2465,0.98
0.2070,0.0584,0.9440,-0.2462,0.98
0.2070,0.0583,0.9440,-0.2460,0.98
0.2080,0.0580,0.9442,-0.2461,0.98
0.2080,0.0575,0.9444,-0.2461,0.98
0.2080,0.0569,0.9447,-0.2461,0.98
0.2090,0.0563,0.9450,-0.2459,0.98
0.2090,0.0556,0.9453,-0.2457,0.98
0.2090,0.0550,0.9458,-0.2453,0.98
0.2090,0.0546,0.9462,-0.2447,0.98
0.2100,0.0544,0.9466,-0.2440,0.98
0.2100,0.0545,0.9471,-0.2432,0.98
0.2100,0.0549,0.9475,-0.2425,0.98
0.2100,0.0555,0.9481,-0.2419,0.98
0.2110,0.0559,0.9486,-0.2416,0.98
0.2110,0.0565,0.9490,-0.2414,0.98
0.2110,0.0570,0.9493,-0.2414,0.98
0.2110,0.0573,0.9495,-0.2415,0.98
0.2120,0.0573,0.9495,-0.2418,0.98
0.2120,0.0571,0.9495,-0.2421,0.98
0.2120,0.0566,0.9493,-0.2425,0.98
0.2120,0.0559,0.9490,-0.2430,0.98
0.2130,0.0550,0.9487,-0.2438,0.98
0.2130,0.0539,0.9486,-0.2445,0.98
0.2130,0.0529,0.9485,-0.2453,0.98
0.2130,0.0520,0.9486,-0.2462,0.98
0.2140,0.0513,0.9488,-0.2471,0.98
0.2140,0.0507,0.9490,-0.2480,0.98
0.2140,0.0506,0.9494,-0.2490,0.98
0.2140,0.0509,0.9499,-0.2498,0.98
0.2240,0.0514,0.9502,-0.2503,0.98
0.2250,0.0522,0.9504,-0.2508,0.98
0.2260,0.0530,0.9505,-0.2511,0.98
0.2570,0.0537,0.9505,-0.2513,0.98
