time,gFx,gFy,gFz,TgF
0.2470,0.3122,0.9381,0.0050,0.99
0.2480,0.3125,0.9379,0.0057,0.99
0.2480,0.3125,0.9375,0.0064,0.99
0.2480,0.3123,0.9372,0.0069,0.99
0.2480,0.3121,0.9371,0.0073,0.99
0.2490,0.3119,0.9373,0.0075,0.99
0.2490,0.3119,0.9376,0.0075,0.99
0.2490,0.3120,0.9382,0.0074,0.99
0.2490,0.3121,0.9389,0.0072,0.99
0.2500,0.3123,0.9393,0.0068,0.99
0.2500,0.3124,0.9397,0.0066,0.99
0.2510,0.3125,0.9400,0.0065,0.99
0.2510,0.3125,0.9401,0.0067,0.99
0.2510,0.3127,0.9403,0.0068,0.99
0.2510,0.3130,0.9404,0.0068,0.99
0.2520,0.3132,0.9405,0.0070,0.99
0.2520,0.3135,0.9406,0.0073,0.99
0.2520,0.3138,0.9406,0.0074,0.99
0.2520,0.3141,0.9406,0.0077,0.99
0.2520,0.3143,0.9406,0.0079,0.99
0.2530,0.3144,0.9406,0.0082,0.99
0.2530,0.3143,0.9404,0.0086,0.99
0.2530,0.3142,0.9403,0.0088,0.99
0.2540,0.3140,0.9402,0.0090,0.99
0.2540,0.3136,0.9401,0.0090,0.99
0.2540,0.3133,0.9401,0.0089,0.99
0.2550,0.3130,0.9400,0.0088,0.99
0.2550,0.3128,0.9401,0.0088,0.99
0.2550,0.3127,0.9402,0.0089,0.99
0.2560,0.3127,0.9402,0.0090,0.99
0.2560,0.3128,0.9403,0.0093,0.99
0.2560,0.3130,0.9404,0.0095,0.99
0.2560,0.3133,0.9406,0.0099,0.99
0.2570,0.3136,0.9407,0.0102,0.99
0.2570,0.3141,0.9407,0.0105,0.99
0.2570,0.3144,0.9407,0.0107,0.99
0.2570,0.3145,0.9407,0.0110,0.99
0.2580,0.3146,0.9405,0.0112,0.99
0.2580,0.3144,0.9403,0.0112,0.99
0.2580,0.3140,0.9401,0.0111,0.99
0.2580,0.3134,0.9397,0.0109,0.99
0.2590,0.3128,0.9395,0.0106,0.99
0.2590,0.3122,0.9393,0.0101,0.99
