time,gFx,gFy,gFz,TgF
0.1830,-0.0069,0.9683,0.1887,0.99
0.1840,-0.0081,0.9683,0.1882,0.99
0.1840,-0.0094,0.9684,0.1875,0.99
0.1840,-0.0108,0.9686,0.1866,0.99
0.1850,-0.0120,0.9687,0.1855,0.99
0.1850,-0.0131,0.9688,0.1845,0.99
0.1850,-0.0143,0.9689,0.1835,0.99
0.1860,-0.0153,0.9689,0.1825,0.99
0.1860,-0.0165,0.9689,0.1816,0.99
0.1860,-0.0176,0.9690,0.1807,0.99
0.1870,-0.0188,0.9690,0.1798,0.99
0.1870,-0.0199,0.9689,0.1791,0.99
0.1870,-0.0211,0.9689,0.1783,0.99
0.1870,-0.0221,0.9687,0.1777,0.99
0.1880,-0.0230,0.9685,0.1773,0.98
0.1880,-0.0238,0.9681,0.1772,0.98
0.1880,-0.0243,0.9678,0.1774,0.98
0.1890,-0.0245,0.9674,0.1778,0.98
0.1890,-0.0243,0.9669,0.1783,0.98
0.1890,-0.0240,0.9663,0.1790,0.98
0.1890,-0.0235,0.9658,0.1798,0.98
0.1900,-0.0229,0.9652,0.1807,0.98
0.1900,-0.0224,0.9646,0.1815,0.98
0.1900,-0.0219,0.9640,0.1823,0.98
0.1910,-0.0214,0.9634,0.1830,0.98
0.1910,-0.0211,0.9628,0.1836,0.98
0.1910,-0.0208,0.9624,0.1841,0.98
0.1920,-0.0206,0.9620,0.1846,0.98
0.1920,-0.0204,0.9617,0.1849,0.98
0.1920,-0.0202,0.9615,0.1852,0.98
0.1920,-0.0201,0.9613,0.1853,0.98
0.1930,-0.0200,0.9613,0.1855,0.98
0.1940,-0.0200,0.9613,0.1855,0.98
0.1950,-0.0201,0.9614,0.1855,0.98
0.1950,-0.0202,0.9615,0.1855,0.98
0.1950,-0.0204,0.9618,0.1853,0.98
0.1960,-0.0205,0.9621,0.1851,0.98
0.1960,-0.0204,0.9624,0.1849,0.98
0.1960,-0.0205,0.9627,0.1848,0.98
0.1970,-0.0205,0.9631,0.1848,0.98
0.1970,-0.0205,0.9635,0.1848,0.98
0.1970,-0.0203,0.9638,0.1850,0.98
0.1980,-0.0202,0.9642,0.1853,0.98
0.1980,-0.0200,0.9644,0.1857,0.98
0.1980,-0.0198,0.9646,0.1862,0.98
0.1980,-0.0196,0.9647,0.1866,0.98
0.1990,-0.0193,0.9647,0.1870,0.98
0.1990,-0.0191,0.9646,0.1874,0.98
0.1990,-0.0188,0.9645,0.1878,0.98
0.2000,-0.0185,0.9643,0.1881,0.98
0.2000,-0.0183,0.9640,0.1884,0.98
0.2000,-0.0181,0.9637,0.1886,0.98
0.2010,-0.0180,0.9634,0.1888,0.98
0.2010,-0.0180,0.9632,0.1889,0.98
0.2010,-0.0180,0.9632,0.1889,0.98
0.2020,-0.0181,0.9632,0.1888,0.98
0.2020,-0.0183,0.9633,0.1886,0.98
0.2020,-0.0186,0.9633,0.1883,0.98
0.2030,-0.0190,0.9634,0.1881,0.98
0.2030,-0.0195,0.9635,0.1878,0.98
0.2030,-0.0202,0.9637,0.1873,0.98
0.2030,-0.0209,0.9638,0.1869,0.98
0.2040,-0.0217,0.9640,0.1864,0.98
0.2050,-0.0225,0.9643,0.1860,0.98
0.2060,-0.0235,0.9645,0.1857,0.98
0.2060,-0.0245,0.9648,0.1857,0.98
0.2060,-0.0254,0.9650,0.1858,0.98
0.2070,-0.0261,0.9653,0.1859,0.98
0.2070,-0.0266,0.9655,0.1862,0.98
0.2090,-0.0269,0.9657,0.1864,0.98
0.2130,-0.0270,0.9657,0.1865,0.98
0.2130,-0.0268,0.9658,0.1866,0.98
0.2210,-0.0264,0.9659,0.1865,0.98
0.2210,-0.0258,0.9659,0.1863,0.98
0.2210,-0.0252,0.9661,0.1861,0.98
0.2220,-0.0246,0.9662,0.1861,0.98
0.2220,-0.0241,0.9664,0.1860,0.98
0.2220,-0.0238,0.9666,0.1859,0.98
0.2220,-0.0237,0.9669,0.1857,0.98
0.2230,-0.0236,0.9672,0.1857,0.99
0.2230,-0.0234,0.9675,0.1858,0.99
0.2230,-0.0233,0.9678,0.1857,0.99
0.2240,-0.0232,0.9680,0.1857,0.99
0.2240,-0.0231,0.9681,0.1857,0.99
0.2250,-0.0231,0.9682,0.1854,0.99
0.2250,-0.0232,0.9683,0.1852,0.99
0.2250,-0.0234,0.9684,0.1848,0.99
0.2250,-0.0241,0.9683,0.1846,0.99
0.2260,-0.0250,0.9683,0.1846,0.99
