time,gFx,gFy,gFz,TgF
0.0260,-0.0164,0.9867,0.1127,0.99
0.0270,-0.0163,0.9875,0.1138,0.99
0.0270,-0.0162,0.9879,0.1150,0.99
0.0270,-0.0159,0.9882,0.1163,1.00
0.0270,-0.0154,0.9882,0.1179,1.00
0.0280,-0.0148,0.9879,0.1194,1.00
0.0280,-0.0142,0.9875,0.1210,1.00
0.0280,-0.0134,0.9870,0.1228,0.99
0.0280,-0.0126,0.9864,0.1245,0.99
0.0290,-0.0118,0.9858,0.1263,0.99
0.0290,-0.0111,0.9852,0.1282,0.99
0.0290,-0.0106,0.9846,0.1299,0.99
0.0290,-0.0103,0.9840,0.1315,0.99
0.0300,-0.0102,0.9834,0.1330,0.99
0.0300,-0.0102,0.9828,0.1341,0.99
0.0300,-0.0102,0.9823,0.1349,0.99
0.0310,-0.0104,0.9817,0.1353,0.99
0.0310,-0.0106,0.9812,0.1354,0.99
0.0310,-0.0111,0.9807,0.1353,0.99
0.0310,-0.0117,0.9801,0.1351,0.99
0.0320,-0.0124,0.9794,0.1349,0.99
0.0320,-0.0134,0.9787,0.1346,0.99
0.0320,-0.0146,0.9779,0.1343,0.99
0.0320,-0.0161,0.9772,0.1341,0.99
0.0330,-0.0177,0.9765,0.1338,0.99
0.0330,-0.0196,0.9757,0.1334,0.98
0.0330,-0.0214,0.9749,0.1329,0.98
0.0330,-0.0232,0.9742,0.1324,0.98
0.0340,-0.0248,0.9734,0.1320,0.98
0.0340,-0.0263,0.9724,0.1318,0.98
0.0340,-0.0277,0.9714,0.1318,0.98
0.0350,-0.0290,0.9705,0.1319,0.98
0.0350,-0.0302,0.9696,0.1321,0.98
0.0350,-0.0313,0.9687,0.1326,0.98
0.0350,-0.0322,0.9680,0.1332,0.98
0.0360,-0.0327,0.9674,0.1340,0.98
0.0360,-0.0330,0.9668,0.1352,0.98
0.0360,-0.0331,0.9663,0.1365,0.98
0.0360,-0.0331,0.9658,0.1377,0.98
0.0370,-0.0329,0.9653,0.1391,0.98
0.0370,-0.0327,0.9649,0.1404,0.98
0.0370,-0.0324,0.9643,0.1417,0.98
0.0370,-0.0318,0.9639,0.1430,0.97
