time,gFx,gFy,gFz,TgF
0.0310,0.1203,0.9638,0.1915,0.99
0.0310,0.1180,0.9632,0.1911,0.99
0.0320,0.1156,0.9627,0.1904,0.99
0.0320,0.1130,0.9622,0.1893,0.99
0.0320,0.1106,0.9618,0.1881,0.99
0.0320,0.1083,0.9614,0.1868,0.99
0.0330,0.1061,0.9611,0.1855,0.98
0.0330,0.1041,0.9608,0.1844,0.98
0.0330,0.1025,0.9605,0.1834,0.98
0.0330,0.1010,0.9602,0.1825,0.98
0.0340,0.0997,0.9599,0.1817,0.98
0.0340,0.0985,0.9595,0.1812,0.98
0.0340,0.0976,0.9593,0.1809,0.98
0.0340,0.0968,0.9590,0.1807,0.98
0.0350,0.0963,0.9588,0.1807,0.98
0.0350,0.0964,0.9588,0.1809,0.98
0.0350,0.0967,0.9589,0.1812,0.98
0.0350,0.0974,0.9588,0.1815,0.98
0.0360,0.0983,0.9587,0.1818,0.98
0.0360,0.0995,0.9587,0.1822,0.98
0.0360,0.1010,0.9586,0.1827,0.98
0.0360,0.1027,0.9585,0.1831,0.98
0.0370,0.1044,0.9586,0.1836,0.98
0.0370,0.1061,0.9586,0.1841,0.98
0.0370,0.1077,0.9586,0.1846,0.98
0.0370,0.1090,0.9587,0.1851,0.98
0.0380,0.1102,0.9587,0.1854,0.98
0.0380,0.1111,0.9587,0.1856,0.98
0.0380,0.1116,0.9585,0.1858,0.98
0.0380,0.1119,0.9584,0.1859,0.98
0.0390,0.1121,0.9582,0.1860,0.98
0.0400,0.1121,0.9580,0.1859,0.98
0.0400,0.1121,0.9579,0.1858,0.98
0.0410,0.1119,0.9577,0.1857,0.98
0.0410,0.1115,0.9576,0.1857,0.98
0.0410,0.1113,0.9575,0.1856,0.98
0.0420,0.1110,0.9575,0.1856,0.98
0.0420,0.1108,0.9575,0.1857,0.98
0.0420,0.1106,0.9576,0.1857,0.98
0.0430,0.1107,0.9576,0.1859,0.98
0.0430,0.1108,0.9577,0.1857,0.98
0.0430,0.1110,0.9579,0.1858,0.98
0.0440,0.1112,0.9581,0.1858,0.98
0.0440,0.1115,0.9582,0.1858,0.98
0.0440,0.1118,0.9585,0.1859,0.98
0.0450,0.1121,0.9588,0.1858,0.98
0.0450,0.1125,0.9590,0.1856,0.98
0.0460,0.1130,0.9593,0.1855,0.98
0.0460,0.1135,0.9596,0.1856,0.98
0.0460,0.1141,0.9598,0.1856,0.98
0.0470,0.1147,0.9601,0.1858,0.98
0.0470,0.1153,0.9603,0.1861,0.98
0.0470,0.1158,0.9604,0.1864,0.99
0.0480,0.1163,0.9606,0.1868,0.99
0.0480,0.1166,0.9608,0.1873,0.99
0.0480,0.1167,0.9610,0.1876,0.99
0.0490,0.1166,0.9611,0.1879,0.99
0.0490,0.1163,0.9612,0.1882,0.99
0.0490,0.1158,0.9612,0.1885,0.99
0.0500,0.1150,0.9612,0.1887,0.99
0.0500,0.1140,0.9613,0.1889,0.99
0.0500,0.1129,0.9613,0.1891,0.99
0.0510,0.1117,0.9614,0.1891,0.99
0.0510,0.1106,0.9614,0.1889,0.99
0.0510,0.1094,0.9615,0.1889,0.99
0.0520,0.1082,0.9615,0.1886,0.99
0.0520,0.1070,0.9615,0.1884,0.99
0.0520,0.1059,0.9615,0.1883,0.99
0.0530,0.1050,0.9613,0.1882,0.99
0.0530,0.1042,0.9612,0.1882,0.98
0.0530,0.1034,0.9611,0.1883,0.98
0.0540,0.1028,0.9611,0.1885,0.98
0.0540,0.1024,0.9611,0.1888,0.98
0.0540,0.1021,0.9613,0.1891,0.98
0.0550,0.1018,0.9614,0.1894,0.99
0.0600,0.1015,0.9616,0.1896,0.99
0.0620,0.1013,0.9617,0.1896,0.99
0.0780,0.1010,0.9618,0.1896,0.99
0.0780,0.1008,0.9618,0.1895,0.99
0.0790,0.1005,0.9619,0.1895,0.99
0.0790,0.1001,0.9619,0.1894,0.99
0.1000,0.0997,0.9619,0.1893,0.99
0.1000,0.0992,0.9620,0.1891,0.99
0.1000,0.0988,0.9620,0.1890,0.99
0.1010,0.0984,0.9621,0.1890,0.99
0.1010,0.0981,0.9622,0.1887,0.99
0.1010,0.0980,0.9623,0.1885,0.99
0.1220,0.0978,0.9625,0.1884,0.99
0.1220,0.0978,0.9627,0.1883,0.99
0.1230,0.0978,0.9630,0.1882,0.99
0.1230,0.0979,0.9632,0.1883,0.99
0.1230,0.0980,0.9634,0.1885,0.99
0.1320,0.0981,0.9635,0.1887,0.99
0.1320,0.0981,0.9636,0.1888,0.99
0.1330,0.0981,0.9637,0.1888,0.99
0.1390,0.0981,0.9637,0.1890,0.99
0.1400,0.0981,0.9637,0.1892,0.99
0.1440,0.0981,0.9637,0.1894,0.99
0.1490,0.0982,0.9638,0.1895,0.99
0.1520,0.0982,0.9638,0.1895,0.99
0.1710,0.0982,0.9639,0.1895,0.99
0.1720,0.0983,0.9639,0.1894,0.99
0.1720,0.0983,0.9639,0.1894,0.99
0.1720,0.0985,0.9638,0.1893,0.99
0.1730,0.0987,0.9637,0.1892,0.99
0.1760,0.0989,0.9636,0.1891,0.99
0.1790,0.0993,0.9635,0.1891,0.99
0.1910,0.0998,0.9633,0.1890,0.99
0.1910,0.1003,0.9633,0.1891,0.99
0.1910,0.1008,0.9633,0.1892,0.99
0.1950,0.1012,0.9634,0.1893,0.99
0.1990,0.1016,0.9634,0.1894,0.99
0.2060,0.1019,0.9636,0.1894,0.99
0.2070,0.1022,0.9637,0.1894,0.99
0.2100,0.1025,0.9638,0.1894,0.99
0.2190,0.1029,0.9639,0.1893,0.99
0.2200,0.1032,0.9640,0.1892,0.99
0.2220,0.1035,0.9641,0.1890,0.99
0.2260,0.1038,0.9642,0.1888,0.99
0.2320,0.1041,0.9644,0.1885,0.99
0.2340,0.1043,0.9646,0.1882,0.99
0.2380,0.1044,0.9648,0.1880,0.99
0.2420,0.1045,0.9649,0.1877,0.99
0.2460,0.1046,0.9650,0.1874,0.99
0.2500,0.1046,0.9649,0.1872,0.99
0.2530,0.1046,0.9649,0.1870,0.99
0.2580,0.1045,0.9648,0.1869,0.99
0.2620,0.1046,0.9647,0.1868,0.99
0.2660,0.1047,0.9645,0.1868,0.99
0.2690,0.1050,0.9643,0.1870,0.99
0.2730,0.1052,0.9640,0.1873,0.99
0.2780,0.1054,0.9638,0.1876,0.99
0.2870,0.1056,0.9635,0.1879,0.99
0.2870,0.1059,0.9633,0.1881,0.99
0.2880,0.1059,0.9632,0.1885,0.99
0.2930,0.1062,0.9632,0.1887,0.99
0.3080,0.1064,0.9633,0.1889,0.99
0.3090,0.1066,0.9635,0.1890,0.99
0.3090,0.1069,0.9636,0.1891,0.99
0.3090,0.1072,0.9637,0.1893,0.99
0.3120,0.1075,0.9637,0.1894,0.99
0.3170,0.1077,0.9635,0.1894,0.99
0.3200,0.1077,0.9633,0.1893,0.99
0.3240,0.1076,0.9630,0.1893,0.99
0.3280,0.1074,0.9627,0.1892,0.99
0.3320,0.1070,0.9624,0.1889,0.99
0.3360,0.1065,0.9621,0.1886,0.99
0.3390,0.1058,0.9618,0.1883,0.99
0.3440,0.1050,0.9616,0.1879,0.99
0.3490,0.1041,0.9614,0.1876,0.99
0.3510,0.1032,0.9612,0.1872,0.98
0.3550,0.1023,0.9611,0.1870,0.98
0.3590,0.1015,0.9609,0.1868,0.98
0.3630,0.1008,0.9607,0.1866,0.98
0.3670,0.1003,0.9605,0.1865,0.98
0.3710,0.1000,0.9602,0.1863,0.98
0.3750,0.1000,0.9600,0.1863,0.98
0.3790,0.1000,0.9597,0.1864,0.98
0.3830,0.1000,0.9595,0.1866,0.98
0.3860,0.1001,0.9593,0.1868,0.98
0.3910,0.1001,0.9592,0.1872,0.98
0.3940,0.1002,0.9590,0.1874,0.98
0.3990,0.1002,0.9589,0.1876,0.98
0.4020,0.1003,0.9588,0.1878,0.98
0.4060,0.1004,0.9587,0.1879,0.98
0.4100,0.1005,0.9587,0.1881,0.98
0.4150,0.1007,0.9586,0.1883,0.98
0.4180,0.1008,0.9585,0.1885,0.98
0.4220,0.1009,0.9584,0.1888,0.98
0.4260,0.1010,0.9583,0.1889,0.98
0.4300,0.1011,0.9582,0.1892,0.98
0.4370,0.1010,0.9581,0.1895,0.98
0.4370,0.1009,0.9579,0.1898,0.98
0.4400,0.1006,0.9577,0.1901,0.98
0.4450,0.1002,0.9575,0.1902,0.98
0.4600,0.0999,0.9572,0.1903,0.98
0.4600,0.0994,0.9570,0.1902,0.98
0.4610,0.0991,0.9569,0.1901,0.98
0.4610,0.0989,0.9567,0.1901,0.98
0.4720,0.0987,0.9566,0.1900,0.98
0.4720,0.0985,0.9567,0.1900,0.98
0.4730,0.0985,0.9568,0.1900,0.98
