time,gFx,gFy,gFz,TgF
0.3270,-0.1138,-0.9786,0.0348,0.99
0.3270,-0.1117,-0.9783,0.0343,0.99
0.3270,-0.1098,-0.9780,0.0338,0.98
0.3280,-0.1079,-0.9776,0.0333,0.98
0.3280,-0.1061,-0.9773,0.0329,0.98
0.3280,-0.1044,-0.9769,0.0326,0.98
0.3290,-0.1028,-0.9766,0.0323,0.98
0.3290,-0.1015,-0.9763,0.0322,0.98
0.3290,-0.1005,-0.9762,0.0320,0.98
0.3290,-0.0995,-0.9761,0.0318,0.98
0.3290,-0.0988,-0.9760,0.0317,0.98
0.3300,-0.0981,-0.9761,0.0316,0.98
0.3300,-0.0976,-0.9761,0.0315,0.98
0.3310,-0.0973,-0.9762,0.0315,0.98
0.3310,-0.0970,-0.9764,0.0313,0.98
0.3310,-0.0968,-0.9766,0.0312,0.98
0.3320,-0.0967,-0.9766,0.0310,0.98
0.3320,-0.0967,-0.9767,0.0308,0.98
0.3330,-0.0970,-0.9769,0.0307,0.98
0.3330,-0.0972,-0.9769,0.0306,0.98
0.3330,-0.0973,-0.9769,0.0304,0.98
0.3330,-0.0976,-0.9769,0.0303,0.98
0.3330,-0.0980,-0.9769,0.0302,0.98
0.3340,-0.0983,-0.9770,0.0301,0.98
0.3340,-0.0987,-0.9771,0.0302,0.98
0.3340,-0.0991,-0.9773,0.0304,0.98
0.3340,-0.0994,-0.9774,0.0305,0.98
0.3350,-0.0997,-0.9776,0.0307,0.98
0.3350,-0.1001,-0.9779,0.0310,0.98
0.3360,-0.1005,-0.9781,0.0313,0.98
0.3360,-0.1009,-0.9784,0.0317,0.98
0.3360,-0.1013,-0.9787,0.0322,0.98
0.3360,-0.1017,-0.9789,0.0327,0.98
0.3370,-0.1020,-0.9792,0.0332,0.99
0.3370,-0.1024,-0.9793,0.0338,0.99
0.3370,-0.1029,-0.9794,0.0343,0.99
0.3370,-0.1036,-0.9796,0.0348,0.99
0.3380,-0.1043,-0.9798,0.0352,0.99
0.3380,-0.1051,-0.9799,0.0357,0.99
0.3380,-0.1058,-0.9800,0.0361,0.99
0.3380,-0.1065,-0.9801,0.0363,0.99
0.3390,-0.1072,-0.9802,0.0366,0.99
0.3390,-0.1077,-0.9802,0.0368,0.99
0.3400,-0.1083,-0.9801,0.0370,0.99
0.3400,-0.1089,-0.9801,0.0369,0.99
0.3400,-0.1094,-0.9801,0.0368,0.99
0.3400,-0.1100,-0.9800,0.0366,0.99
0.3410,-0.1104,-0.9800,0.0365,0.99
0.3410,-0.1108,-0.9800,0.0363,0.99
0.3410,-0.1111,-0.9800,0.0362,0.99
0.3410,-0.1113,-0.9800,0.0360,0.99
0.3420,-0.1114,-0.9800,0.0358,0.99
0.3420,-0.1114,-0.9800,0.0355,0.99
0.3420,-0.1113,-0.9799,0.0352,0.99
0.3420,-0.1113,-0.9799,0.0349,0.99
0.3430,-0.1111,-0.9799,0.0346,0.99
0.3430,-0.1110,-0.9801,0.0343,0.99
0.3440,-0.1109,-0.9801,0.0340,0.99
0.3440,-0.1106,-0.9801,0.0337,0.99
0.3440,-0.1104,-0.9800,0.0335,0.99
0.3450,-0.1101,-0.9800,0.0332,0.99
0.3450,-0.1098,-0.9800,0.0329,0.99
0.3450,-0.1093,-0.9799,0.0326,0.99
0.3450,-0.1088,-0.9799,0.0324,0.99
0.3450,-0.1083,-0.9797,0.0323,0.99
0.3460,-0.1079,-0.9796,0.0321,0.99
0.3460,-0.1073,-0.9794,0.0320,0.99
0.3460,-0.1068,-0.9793,0.0319,0.99
0.3460,-0.1062,-0.9792,0.0319,0.99
0.3470,-0.1057,-0.9790,0.0318,0.99
0.3470,-0.1051,-0.9791,0.0319,0.99
0.3480,-0.1047,-0.9792,0.0319,0.99
0.3480,-0.1043,-0.9793,0.0320,0.99
0.3480,-0.1040,-0.9794,0.0320,0.99
0.3480,-0.1037,-0.9795,0.0321,0.99
0.3490,-0.1033,-0.9795,0.0322,0.99
0.3490,-0.1030,-0.9796,0.0323,0.99
0.3490,-0.1027,-0.9796,0.0324,0.99
0.3490,-0.1024,-0.9796,0.0325,0.99
0.3500,-0.1021,-0.9797,0.0327,0.99
0.3500,-0.1019,-0.9798,0.0327,0.99
0.3500,-0.1016,-0.9798,0.0329,0.99
0.3500,-0.1014,-0.9798,0.0330,0.99
0.3510,-0.1012,-0.9799,0.0332,0.99
0.3510,-0.1009,-0.9799,0.0332,0.99
0.3520,-0.1007,-0.9800,0.0333,0.99
0.3520,-0.1005,-0.9800,0.0332,0.99
0.3520,-0.1002,-0.9800,0.0333,0.99
0.3520,-0.1000,-0.9800,0.0332,0.99
0.3530,-0.0997,-0.9800,0.0332,0.99
