time,gFx,gFy,gFz,TgF
0.2040,0.0081,0.9641,0.2075,0.99
0.2040,0.0073,0.9637,0.2070,0.99
0.2050,0.0065,0.9634,0.2066,0.99
0.2050,0.0054,0.9632,0.2061,0.99
0.2060,0.0041,0.9629,0.2053,0.98
0.2060,0.0027,0.9624,0.2046,0.98
0.2060,0.0012,0.9619,0.2039,0.98
0.2070,-0.0006,0.9613,0.2032,0.98
0.2080,-0.0029,0.9606,0.2029,0.98
0.2080,-0.0052,0.9599,0.2023,0.98
0.2090,-0.0074,0.9591,0.2014,0.98
0.2100,-0.0093,0.9582,0.2003,0.98
0.2100,-0.0111,0.9574,0.1991,0.98
0.2100,-0.0126,0.9567,0.1979,0.98
0.2110,-0.0137,0.9560,0.1967,0.98
0.2110,-0.0147,0.9556,0.1956,0.98
0.2110,-0.0154,0.9554,0.1945,0.98
0.2110,-0.0159,0.9553,0.1936,0.97
0.2120,-0.0161,0.9554,0.1928,0.97
0.2120,-0.0162,0.9555,0.1923,0.97
0.2120,-0.0161,0.9558,0.1919,0.97
0.2120,-0.0157,0.9560,0.1919,0.98
0.2130,-0.0151,0.9562,0.1920,0.98
0.2130,-0.0144,0.9562,0.1924,0.98
0.2130,-0.0135,0.9562,0.1931,0.98
0.2130,-0.0125,0.9561,0.1939,0.98
0.2140,-0.0114,0.9559,0.1948,0.98
0.2140,-0.0106,0.9556,0.1957,0.98
0.2140,-0.0098,0.9554,0.1964,0.98
0.2150,-0.0091,0.9552,0.1969,0.98
0.2150,-0.0087,0.9550,0.1971,0.98
0.2150,-0.0086,0.9547,0.1970,0.97
0.2150,-0.0089,0.9543,0.1967,0.97
0.2160,-0.0095,0.9538,0.1963,0.97
0.2160,-0.0105,0.9532,0.1957,0.97
0.2160,-0.0118,0.9525,0.1950,0.97
0.2170,-0.0134,0.9518,0.1944,0.97
0.2170,-0.0152,0.9510,0.1936,0.97
0.2170,-0.0171,0.9505,0.1928,0.97
0.2170,-0.0191,0.9500,0.1917,0.97
0.2180,-0.0212,0.9498,0.1906,0.97
0.2180,-0.0232,0.9498,0.1894,0.97
0.2180,-0.0252,0.9501,0.1881,0.97
0.2180,-0.0270,0.9506,0.1867,0.97
0.2190,-0.0287,0.9511,0.1851,0.97
0.2190,-0.0303,0.9518,0.1835,0.97
0.2190,-0.0316,0.9526,0.1821,0.97
0.2190,-0.0328,0.9533,0.1809,0.97
0.2200,-0.0336,0.9539,0.1800,0.97
0.2200,-0.0342,0.9542,0.1794,0.97
0.2200,-0.0345,0.9543,0.1791,0.97
0.2200,-0.0347,0.9541,0.1790,0.97
0.2200,-0.0348,0.9536,0.1790,0.97
0.2210,-0.0350,0.9529,0.1792,0.97
0.2210,-0.0355,0.9519,0.1793,0.97
0.2210,-0.0362,0.9510,0.1794,0.97
0.2210,-0.0373,0.9499,0.1796,0.97
0.2220,-0.0388,0.9489,0.1797,0.97
0.2220,-0.0406,0.9480,0.1799,0.97
0.2260,-0.0428,0.9474,0.1801,0.97
0.2330,-0.0450,0.9468,0.1801,0.96
0.2340,-0.0473,0.9466,0.1800,0.96
0.2360,-0.0495,0.9468,0.1798,0.96
0.2430,-0.0515,0.9472,0.1796,0.97
0.2450,-0.0532,0.9481,0.1793,0.97
0.2490,-0.0543,0.9494,0.1789,0.97
0.2520,-0.0548,0.9512,0.1785,0.97
0.2680,-0.0546,0.9533,0.1780,0.97
0.2690,-0.0537,0.9557,0.1777,0.97
0.2690,-0.0521,0.9583,0.1777,0.98
0.2690,-0.0499,0.9610,0.1779,0.98
0.2730,-0.0473,0.9635,0.1783,0.98
0.2770,-0.0445,0.9659,0.1790,0.98
0.2880,-0.0415,0.9680,0.1802,0.99
0.2890,-0.0382,0.9697,0.1815,0.99
0.2890,-0.0352,0.9710,0.1831,0.99
0.2930,-0.0324,0.9721,0.1847,0.99
0.2960,-0.0301,0.9729,0.1864,0.99
0.3000,-0.0284,0.9735,0.1881,0.99
0.3040,-0.0274,0.9738,0.1897,0.99
0.3090,-0.0272,0.9740,0.1913,0.99
0.3120,-0.0275,0.9742,0.1927,0.99
0.3150,-0.0283,0.9743,0.1936,0.99
0.3190,-0.0294,0.9746,0.1941,0.99
0.3230,-0.0305,0.9750,0.1945,0.99
0.3280,-0.0316,0.9756,0.1943,1.00
0.3310,-0.0325,0.9762,0.1937,1.00
0.3350,-0.0332,0.9770,0.1929,1.00
0.3390,-0.0337,0.9779,0.1919,1.00
0.3430,-0.0338,0.9789,0.1910,1.00
0.3470,-0.0337,0.9800,0.1904,1.00
0.3510,-0.0335,0.9810,0.1900,1.00
0.3550,-0.0332,0.9821,0.1898,1.00
0.3670,-0.0332,0.9829,0.1895,1.00
0.3670,-0.0334,0.9837,0.1895,1.00
0.3680,-0.0339,0.9843,0.1895,1.00
0.3700,-0.0349,0.9844,0.1894,1.00
0.3760,-0.0364,0.9843,0.1892,1.00
0.3790,-0.0382,0.9839,0.1887,1.00
0.3830,-0.0404,0.9832,0.1880,1.00
0.3870,-0.0429,0.9823,0.1871,1.00
0.3910,-0.0454,0.9813,0.1861,1.00
0.3950,-0.0481,0.9803,0.1850,1.00
0.3990,-0.0506,0.9794,0.1840,1.00
0.4020,-0.0530,0.9786,0.1830,1.00
0.4070,-0.0551,0.9780,0.1819,1.00
0.4120,-0.0569,0.9775,0.1807,1.00
0.4150,-0.0584,0.9774,0.1796,1.00
0.4180,-0.0594,0.9776,0.1785,1.00
0.4220,-0.0600,0.9779,0.1775,1.00
0.4280,-0.0601,0.9786,0.1766,1.00
0.4300,-0.0597,0.9793,0.1758,1.00
0.4340,-0.0590,0.9799,0.1753,1.00
0.4380,-0.0581,0.9806,0.1749,1.00
0.4430,-0.0573,0.9812,0.1747,1.00
0.4460,-0.0565,0.9815,0.1746,1.00
0.4500,-0.0560,0.9815,0.1747,1.00
0.4540,-0.0558,0.9813,0.1752,1.00
0.4570,-0.0558,0.9808,0.1760,1.00
0.4620,-0.0560,0.9801,0.1773,1.00
0.4660,-0.0563,0.9792,0.1786,1.00
0.4700,-0.0568,0.9781,0.1799,1.00
0.4740,-0.0570,0.9768,0.1812,1.00
0.4780,-0.0567,0.9755,0.1824,0.99
0.4830,-0.0565,0.9739,0.1839,0.99
0.4860,-0.0564,0.9723,0.1857,0.99
0.4900,-0.0562,0.9706,0.1877,0.99
0.4960,-0.0561,0.9688,0.1896,0.99
0.4970,-0.0561,0.9672,0.1914,0.99
0.5020,-0.0563,0.9656,0.1930,0.99
0.5050,-0.0568,0.9644,0.1944,0.99
0.5140,-0.0575,0.9634,0.1953,0.98
0.5150,-0.0584,0.9627,0.1961,0.98
0.5210,-0.0597,0.9621,0.1968,0.98
0.5210,-0.0609,0.9617,0.1973,0.98
0.5270,-0.0625,0.9614,0.1977,0.98
0.5290,-0.0641,0.9610,0.1975,0.98
0.5330,-0.0656,0.9604,0.1967,0.98
0.5370,-0.0669,0.9599,0.1958,0.98
0.5400,-0.0686,0.9595,0.1949,0.98
0.5450,-0.0696,0.9593,0.1940,0.98
0.5480,-0.0700,0.9591,0.1929,0.98
0.5530,-0.0701,0.9589,0.1921,0.98
0.5570,-0.0692,0.9589,0.1914,0.98
0.5610,-0.0678,0.9590,0.1909,0.98
0.5640,-0.0667,0.9592,0.1905,0.98
0.5680,-0.0647,0.9596,0.1896,0.98
0.5730,-0.0628,0.9604,0.1886,0.98
0.5770,-0.0587,0.9615,0.1876,0.98
0.5800,-0.0544,0.9627,0.1871,0.98
0.5840,-0.0499,0.9638,0.1870,0.98
0.5880,-0.0467,0.9647,0.1871,0.98
0.5930,-0.0436,0.9654,0.1873,0.98
0.5960,-0.0405,0.9660,0.1880,0.98
0.5990,-0.0366,0.9664,0.1891,0.99
0.6040,-0.0334,0.9665,0.1905,0.99
0.6080,-0.0314,0.9662,0.1919,0.99
0.6120,-0.0299,0.9656,0.1931,0.99
0.6150,-0.0290,0.9647,0.1942,0.98
0.6200,-0.0273,0.9638,0.1953,0.98
0.6240,-0.0251,0.9630,0.1965,0.98
0.6320,-0.0236,0.9621,0.1975,0.98
0.6330,-0.0219,0.9613,0.1985,0.98
0.6390,-0.0191,0.9609,0.1994,0.98
0.6390,-0.0173,0.9607,0.1996,0.98
0.6480,-0.0155,0.9605,0.1992,0.98
0.6480,-0.0129,0.9606,0.1990,0.98
0.6510,-0.0102,0.9609,0.1985,0.98
0.6550,-0.0062,0.9616,0.1981,0.98
0.6610,-0.0026,0.9623,0.1973,0.98
0.6630,0.0021,0.9634,0.1961,0.98
0.6660,0.0060,0.9645,0.1946,0.98
0.6700,0.0107,0.9656,0.1932,0.98
0.6940,0.0150,0.9667,0.1917,0.99
0.6940,0.0202,0.9678,0.1905,0.99
0.6950,0.0263,0.9689,0.1903,0.99
0.6950,0.0325,0.9697,0.1905,0.99
0.6950,0.0382,0.9700,0.1912,0.99
0.6960,0.0448,0.9700,0.1924,0.99
0.6980,0.0505,0.9697,0.1939,0.99
0.7030,0.0554,0.9693,0.1952,0.99
0.7060,0.0616,0.9687,0.1964,0.99
0.7110,0.0673,0.9681,0.1975,0.99
0.7140,0.0720,0.9681,0.1979,0.99
0.7180,0.0771,0.9682,0.1979,0.99
0.7220,0.0808,0.9683,0.1984,0.99
0.7270,0.0833,0.9690,0.1987,0.99
0.7300,0.0869,0.9702,0.1987,0.99
0.7340,0.0914,0.9714,0.1985,1.00
0.7380,0.0968,0.9727,0.1978,1.00
0.7410,0.1023,0.9737,0.1967,1.00
0.7460,0.1098,0.9749,0.1949,1.00
0.7490,0.1175,0.9757,0.1932,1.00
0.7530,0.1253,0.9759,0.1912,1.00
0.7570,0.1330,0.9752,0.1898,1.00
0.7620,0.1407,0.9743,0.1887,1.00
0.7650,0.1476,0.9734,0.1873,1.00
0.7690,0.1529,0.9725,0.1858,1.00
0.7730,0.1575,0.9714,0.1834,1.00
0.7830,0.1613,0.9704,0.1815,1.00
0.7830,0.1649,0.9691,0.1797,1.00
0.7850,0.1693,0.9675,0.1779,1.00
0.7890,0.1737,0.9662,0.1766,1.00
0.7940,0.1776,0.9647,0.1754,1.00
0.7970,0.1820,0.9633,0.1744,1.00
0.8010,0.1858,0.9615,0.1729,0.99
0.8050,0.1904,0.9603,0.1729,0.99
0.8100,0.1958,0.9592,0.1731,0.99
0.8120,0.2014,0.9584,0.1737,0.99
0.8160,0.2059,0.9576,0.1746,0.99
0.8210,0.2113,0.9568,0.1753,1.00
0.8240,0.2156,0.9557,0.1764,1.00
0.8290,0.2199,0.9541,0.1774,1.00
0.8320,0.2241,0.9527,0.1785,0.99
0.8370,0.2286,0.9511,0.1790,0.99
0.8400,0.2324,0.9491,0.1783,0.99
0.8450,0.2350,0.9467,0.1774,0.99
0.8480,0.2381,0.9445,0.1756,0.99
0.8520,0.2419,0.9424,0.1731,0.99
0.8570,0.2447,0.9401,0.1720,0.99
0.8600,0.2469,0.9377,0.1707,0.98
0.8640,0.2500,0.9358,0.1699,0.98
0.8680,0.2536,0.9340,0.1695,0.98
0.8720,0.2555,0.9322,0.1703,0.98
0.8770,0.2564,0.9306,0.1713,0.98
0.8800,0.2586,0.9297,0.1725,0.98
0.8840,0.2619,0.9283,0.1729,0.98
0.8880,0.2652,0.9270,0.1740,0.98
0.8920,0.2687,0.9260,0.1750,0.98
0.8950,0.2724,0.9249,0.1766,0.98
0.9000,0.2766,0.9242,0.1785,0.98
0.9040,0.2801,0.9236,0.1795,0.98
0.9080,0.2838,0.9228,0.1811,0.98
0.9160,0.2871,0.9219,0.1814,0.98
0.9170,0.2901,0.9210,0.1809,0.98
0.9190,0.2918,0.9196,0.1797,0.98
0.9240,0.2932,0.9188,0.1790,0.98
0.9320,0.2946,0.9179,0.1796,0.98
0.9330,0.2966,0.9170,0.1806,0.98
0.9350,0.2991,0.9154,0.1822,0.98
0.9390,0.3012,0.9130,0.1836,0.98
0.9440,0.3040,0.9103,0.1858,0.98
0.9470,0.3070,0.9073,0.1886,0.98
0.9510,0.3107,0.9050,0.1919,0.98
0.9550,0.3148,0.9026,0.1945,0.98
0.9590,0.3179,0.8990,0.1958,0.97
0.9630,0.3204,0.8952,0.1961,0.97
0.9660,0.3223,0.8918,0.1967,0.97
0.9710,0.3247,0.8893,0.1971,0.97
0.9750,0.3269,0.8871,0.1976,0.97
0.9790,0.3287,0.8857,0.1982,0.97
0.9820,0.3299,0.8846,0.1985,0.96
0.9870,0.3304,0.8837,0.1983,0.96
0.9910,0.3299,0.8828,0.1974,0.96
0.9950,0.3293,0.8817,0.1960,0.96
0.9990,0.3291,0.8808,0.1948,0.96
1.0020,0.3292,0.8797,0.1940,0.96
1.0060,0.3298,0.8785,0.1937,0.96
1.0180,0.3311,0.8769,0.1938,0.96
1.0190,0.3332,0.8753,0.1945,0.96
1.0190,0.3358,0.8738,0.1957,0.96
1.0210,0.3388,0.8723,0.1972,0.96
1.0250,0.3419,0.8707,0.1989,0.96
1.0300,0.3451,0.8691,0.2005,0.96
1.0330,0.3483,0.8675,0.2023,0.96
1.0380,0.3513,0.8661,0.2044,0.96
1.0410,0.3538,0.8651,0.2066,0.96
1.0460,0.3557,0.8647,0.2088,0.96
1.0490,0.3567,0.8647,0.2105,0.96
1.0540,0.3565,0.8652,0.2115,0.96
1.0580,0.3555,0.8663,0.2117,0.96
1.0620,0.3540,0.8680,0.2110,0.96
1.0650,0.3522,0.8703,0.2097,0.96
1.0860,0.3501,0.8730,0.2082,0.96
1.0860,0.3477,0.8757,0.2067,0.96
1.0870,0.3454,0.8783,0.2053,0.97
1.0870,0.3435,0.8808,0.2042,0.97
1.0880,0.3421,0.8829,0.2037,0.97
1.0880,0.3412,0.8848,0.2040,0.97
1.0930,0.3419,0.8867,0.2048,0.97
1.0960,0.3434,0.8885,0.2058,0.97
1.1000,0.3462,0.8901,0.2069,0.98
1.1040,0.3492,0.8915,0.2088,0.98
1.1080,0.3539,0.8927,0.2106,0.98
1.1130,0.3589,0.8935,0.2124,0.99
1.1160,0.3642,0.8940,0.2136,0.99
1.1200,0.3693,0.8942,0.2140,0.99
1.1240,0.3736,0.8943,0.2138,0.99
1.1350,0.3770,0.8944,0.2132,0.99
1.1350,0.3798,0.8947,0.2123,0.99
1.1370,0.3798,0.8948,0.2115,0.99
1.1400,0.3792,0.8949,0.2103,0.99
1.1460,0.3784,0.8948,0.2086,0.99
1.1480,0.3771,0.8948,0.2069,0.99
1.1520,0.3741,0.8943,0.2052,0.99
1.1560,0.3714,0.8937,0.2029,0.99
1.1610,0.3692,0.8929,0.2005,0.99
1.1650,0.3672,0.8921,0.1977,0.98
1.1670,0.3651,0.8913,0.1955,0.98
1.1710,0.3635,0.8907,0.1935,0.98
1.1760,0.3616,0.8902,0.1913,0.98
1.1800,0.3604,0.8899,0.1898,0.98
1.1830,0.3592,0.8898,0.1893,0.98
1.1870,0.3606,0.8902,0.1894,0.98
1.1910,0.3653,0.8910,0.1884,0.98
1.1960,0.3716,0.8919,0.1873,0.98
1.1990,0.3770,0.8924,0.1859,0.99
1.2030,0.3822,0.8926,0.1838,0.99
1.2070,0.3877,0.8928,0.1810,0.99
1.2120,0.3903,0.8924,0.1784,0.99
1.2150,0.3909,0.8916,0.1754,0.99
1.2190,0.3905,0.8907,0.1718,0.99
1.2230,0.3906,0.8898,0.1677,0.99
1.2270,0.3888,0.8888,0.1634,0.98
1.2310,0.3847,0.8879,0.1591,0.98
1.2350,0.3820,0.8874,0.1540,0.98
1.2390,0.3785,0.8871,0.1488,0.98
1.2430,0.3744,0.8870,0.1440,0.97
1.2470,0.3699,0.8874,0.1410,0.97
1.2500,0.3656,0.8881,0.1392,0.97
1.2550,0.3616,0.8893,0.1375,0.97
1.2590,0.3588,0.8911,0.1362,0.97
1.2630,0.3569,0.8933,0.1345,0.97
1.2660,0.3559,0.8957,0.1324,0.97
1.2710,0.3555,0.8985,0.1307,0.98
1.2740,0.3553,0.9016,0.1287,0.98
1.2850,0.3557,0.9046,0.1266,0.98
1.2860,0.3556,0.9077,0.1240,0.98
1.2860,0.3542,0.9106,0.1211,0.98
1.2900,0.3529,0.9136,0.1180,0.99
1.2960,0.3515,0.9161,0.1137,0.99
1.2980,0.3498,0.9181,0.1095,0.99
1.3010,0.3464,0.9194,0.1063,0.99
1.3050,0.3427,0.9201,0.1039,0.99
1.3090,0.3402,0.9199,0.1013,0.99
1.3140,0.3374,0.9192,0.0996,0.98
1.3170,0.3338,0.9182,0.0993,0.98
1.3210,0.3313,0.9167,0.0998,0.98
1.3250,0.3283,0.9152,0.1013,0.98
1.3290,0.3268,0.9140,0.1027,0.98
1.3330,0.3250,0.9135,0.1047,0.98
1.3380,0.3234,0.9135,0.1058,0.97
1.3410,0.3226,0.9143,0.1063,0.98
1.3450,0.3221,0.9159,0.1068,0.98
1.3490,0.3212,0.9184,0.1072,0.98
1.3530,0.3214,0.9216,0.1070,0.98
1.3570,0.3212,0.9251,0.1064,0.99
1.3610,0.3211,0.9287,0.1063,0.99
1.3650,0.3203,0.9323,0.1066,0.99
1.3690,0.3194,0.9351,0.1072,0.99
1.3730,0.3162,0.9375,0.1088,1.00
1.3780,0.3127,0.9394,0.1102,1.00
1.3810,0.3093,0.9409,0.1107,1.00
1.3850,0.3062,0.9420,0.1108,1.00
1.3890,0.3027,0.9428,0.1107,1.00
1.3930,0.2994,0.9434,0.1110,1.00
1.3960,0.2967,0.9435,0.1117,1.00
1.4010,0.2944,0.9428,0.1126,0.99
1.4050,0.2922,0.9416,0.1134,0.99
1.4090,0.2906,0.9403,0.1137,0.99
1.4200,0.2894,0.9388,0.1137,0.99
1.4200,0.2878,0.9374,0.1138,0.99
1.4200,0.2861,0.9359,0.1139,0.99
1.4240,0.2840,0.9345,0.1144,0.98
1.4340,0.2814,0.9334,0.1148,0.98
1.4350,0.2785,0.9324,0.1150,0.98
1.4350,0.2750,0.9320,0.1157,0.98
1.4390,0.2705,0.9320,0.1166,0.98
1.4450,0.2652,0.9324,0.1177,0.98
1.4480,0.2596,0.9331,0.1191,0.98
1.4510,0.2535,0.9344,0.1208,0.98
1.4550,0.2474,0.9362,0.1221,0.98
1.4590,0.2407,0.9384,0.1234,0.98
1.4810,0.2337,0.9408,0.1251,0.98
1.4820,0.2269,0.9430,0.1270,0.98
1.4820,0.2192,0.9450,0.1299,0.98
1.4820,0.2112,0.9464,0.1328,0.98
1.4830,0.2034,0.9476,0.1360,0.98
1.4830,0.1971,0.9485,0.1383,0.98
1.4880,0.1918,0.9490,0.1402,0.98
1.4910,0.1863,0.9495,0.1417,0.98
1.4950,0.1806,0.9501,0.1432,0.98
1.4990,0.1757,0.9507,0.1433,0.98
1.5020,0.1712,0.9515,0.1420,0.98
1.5060,0.1671,0.9523,0.1397,0.98
1.5130,0.1616,0.9534,0.1378,0.98
1.5140,0.1553,0.9550,0.1366,0.98
1.5180,0.1489,0.9571,0.1360,0.98
1.5220,0.1425,0.9595,0.1361,0.98
1.5260,0.1360,0.9621,0.1371,0.98
1.5300,0.1291,0.9647,0.1386,0.98
1.5340,0.1216,0.9673,0.1403,0.98
1.5380,0.1131,0.9699,0.1426,0.99
1.5420,0.1043,0.9727,0.1455,0.99
1.5550,0.0956,0.9758,0.1487,0.99
1.5550,0.0868,0.9792,0.1521,0.99
