time,gFx,gFy,gFz,TgF
0.1950,0.1381,0.9758,0.0084,0.99
0.1950,0.1376,0.9758,0.0083,0.99
0.1950,0.1372,0.9757,0.0083,0.99
0.1950,0.1369,0.9755,0.0085,0.99
0.1960,0.1364,0.9752,0.0088,0.98
0.1960,0.1359,0.9749,0.0090,0.98
0.1960,0.1354,0.9745,0.0093,0.98
0.1970,0.1348,0.9743,0.0096,0.98
0.1970,0.1341,0.9742,0.0101,0.98
0.1970,0.1335,0.9742,0.0106,0.98
0.1980,0.1330,0.9743,0.0109,0.98
0.1980,0.1325,0.9745,0.0113,0.98
0.1990,0.1323,0.9748,0.0115,0.98
0.1990,0.1324,0.9750,0.0116,0.98
0.1990,0.1327,0.9753,0.0117,0.98
0.2000,0.1331,0.9757,0.0120,0.98
0.2000,0.1338,0.9763,0.0123,0.99
0.2000,0.1343,0.9767,0.0125,0.99
0.2010,0.1346,0.9769,0.0130,0.99
0.2010,0.1348,0.9772,0.0133,0.99
0.2020,0.1346,0.9773,0.0139,0.99
0.2020,0.1343,0.9773,0.0145,0.99
0.2020,0.1338,0.9774,0.0150,0.99
0.2020,0.1330,0.9773,0.0157,0.99
0.2030,0.1321,0.9771,0.0161,0.99
0.2030,0.1311,0.9769,0.0163,0.99
0.2030,0.1300,0.9767,0.0163,0.99
0.2030,0.1289,0.9766,0.0162,0.99
0.2040,0.1278,0.9764,0.0160,0.98
0.2040,0.1265,0.9762,0.0159,0.98
0.2040,0.1252,0.9760,0.0158,0.98
0.2040,0.1240,0.9758,0.0156,0.98
0.2050,0.1228,0.9757,0.0154,0.98
0.2050,0.1219,0.9755,0.0153,0.98
0.2050,0.1213,0.9753,0.0151,0.98
0.2060,0.1207,0.9751,0.0150,0.98
0.2060,0.1203,0.9750,0.0151,0.98
0.2060,0.1201,0.9750,0.0152,0.98
0.2070,0.1200,0.9749,0.0153,0.98
0.2070,0.1201,0.9750,0.0154,0.98
0.2070,0.1202,0.9750,0.0155,0.98
0.2070,0.1205,0.9751,0.0157,0.98
0.2070,0.1207,0.9752,0.0158,0.98
0.2080,0.1210,0.9753,0.0158,0.98
0.2080,0.1214,0.9754,0.0160,0.98
0.2080,0.1218,0.9754,0.0162,0.98
0.2080,0.1220,0.9755,0.0165,0.98
0.2090,0.1224,0.9755,0.0167,0.98
0.2090,0.1225,0.9756,0.0170,0.98
0.2090,0.1226,0.9757,0.0172,0.98
0.2100,0.1227,0.9757,0.0173,0.98
