time,gFx,gFy,gFz,TgF
0.2590,0.3309,0.9206,0.1317,0.99
0.2590,0.3299,0.9213,0.1305,0.99
0.2590,0.3286,0.9218,0.1303,0.99
0.2600,0.3272,0.9220,0.1302,0.99
0.2600,0.3260,0.9219,0.1299,0.99
0.2600,0.3249,0.9215,0.1296,0.99
0.2600,0.3241,0.9211,0.1294,0.98
0.2610,0.3237,0.9207,0.1293,0.98
0.2610,0.3237,0.9207,0.1289,0.98
0.2610,0.3240,0.9209,0.1284,0.98
0.2620,0.3246,0.9212,0.1280,0.99
0.2620,0.3254,0.9218,0.1277,0.99
0.2620,0.3263,0.9223,0.1275,0.99
0.2620,0.3272,0.9228,0.1275,0.99
0.2630,0.3279,0.9231,0.1277,0.99
0.2630,0.3284,0.9235,0.1279,0.99
0.2630,0.3286,0.9236,0.1283,0.99
0.2630,0.3288,0.9236,0.1286,0.99
0.2630,0.3289,0.9235,0.1288,0.99
0.2640,0.3290,0.9235,0.1291,0.99
0.2640,0.3292,0.9234,0.1293,0.99
0.2640,0.3292,0.9234,0.1294,0.99
0.2640,0.3292,0.9233,0.1293,0.99
0.2650,0.3290,0.9233,0.1290,0.99
0.2650,0.3288,0.9232,0.1286,0.99
0.2650,0.3285,0.9231,0.1282,0.99
0.2660,0.3282,0.9230,0.1278,0.99
0.2660,0.3281,0.9229,0.1275,0.99
0.2660,0.3280,0.9228,0.1275,0.99
0.2660,0.3279,0.9226,0.1275,0.99
0.2670,0.3279,0.9225,0.1275,0.99
0.2670,0.3279,0.9225,0.1275,0.99
0.2670,0.3280,0.9224,0.1276,0.99
0.2670,0.3282,0.9224,0.1278,0.99
0.2680,0.3286,0.9225,0.1279,0.99
0.2680,0.3291,0.9225,0.1279,0.99
0.2680,0.3295,0.9226,0.1279,0.99
0.2680,0.3299,0.9227,0.1280,0.99
0.2680,0.3302,0.9226,0.1281,0.99
0.2690,0.3305,0.9227,0.1282,0.99
0.2690,0.3307,0.9228,0.1284,0.99
0.2690,0.3309,0.9228,0.1284,0.99
0.2700,0.3311,0.9228,0.1283,0.99
0.2700,0.3313,0.9228,0.1282,0.99
0.2700,0.3315,0.9229,0.1281,0.99
0.2700,0.3315,0.9230,0.1280,0.99
0.2710,0.3316,0.9229,0.1279,0.99
0.2710,0.3313,0.9232,0.1280,0.99
0.2710,0.3311,0.9236,0.1274,0.99
0.2710,0.3318,0.9239,0.1265,0.99
0.2720,0.3324,0.9239,0.1265,0.99
0.2720,0.3330,0.9238,0.1266,0.99
0.2720,0.3333,0.9235,0.1270,0.99
0.2720,0.3334,0.9232,0.1272,0.99
0.2720,0.3333,0.9230,0.1274,0.99
0.2730,0.3331,0.9229,0.1274,0.99
0.2730,0.3331,0.9228,0.1274,0.99
0.2730,0.3331,0.9228,0.1271,0.99
0.2740,0.3334,0.9228,0.1267,0.99
0.2740,0.3337,0.9228,0.1266,0.99
0.2740,0.3344,0.9230,0.1263,0.99
0.2740,0.3349,0.9230,0.1259,0.99
0.2750,0.3354,0.9230,0.1253,0.99
0.2750,0.3360,0.9232,0.1249,0.99
0.2750,0.3372,0.9242,0.1238,0.99
0.2760,0.3373,0.9248,0.1232,0.99
0.2760,0.3368,0.9249,0.1229,0.99
0.2760,0.3364,0.9248,0.1228,0.99
0.2770,0.3366,0.9247,0.1227,0.99
0.2770,0.3364,0.9242,0.1226,0.99
0.2770,0.3362,0.9237,0.1224,0.99
0.2770,0.3361,0.9235,0.1222,0.99
0.2780,0.3360,0.9234,0.1219,0.99
0.2830,0.3359,0.9234,0.1218,0.99
0.2850,0.3358,0.9235,0.1217,0.99
0.2890,0.3357,0.9236,0.1217,0.99
0.2930,0.3358,0.9237,0.1216,0.99
0.2960,0.3361,0.9238,0.1214,0.99
0.3010,0.3362,0.9237,0.1213,0.99
0.3040,0.3364,0.9235,0.1211,0.99
0.3080,0.3365,0.9234,0.1207,0.99
0.3130,0.3366,0.9232,0.1204,0.99
0.3260,0.3368,0.9230,0.1203,0.99
